"2016-11-16 01:18:21,027",I,R,Rule,Input size,Input area,Automaton size,Concat before,Training sets,Testing sets,Distractor period,Successful,Soft successful
"2016-11-16 02:56:18,210",8,8,90,4,40,40,True,32,32,200,26,6
"2016-11-16 02:57:26,016",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 02:58:32,048",8,8,90,4,40,40,True,32,32,200,27,5
"2016-11-16 02:59:45,746",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 03:00:55,088",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 03:01:59,952",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 03:03:09,552",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 03:04:26,289",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 03:05:59,942",8,8,90,4,40,40,True,32,32,200,0,59
"2016-11-16 03:07:25,872",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 03:08:47,917",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 03:10:00,326",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 03:11:23,202",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 03:12:33,472",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 03:13:38,647",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 03:14:59,816",8,8,90,4,40,40,True,32,32,200,6,45
"2016-11-16 03:16:16,633",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 03:17:26,744",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 03:18:32,745",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 03:19:42,983",8,8,90,4,40,40,True,32,32,200,31,1
"2016-11-16 03:20:47,256",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 03:21:58,968",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 03:22:53,730",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 03:24:07,577",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 03:25:22,452",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 03:26:26,003",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 03:27:38,890",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 03:28:50,998",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 03:30:01,702",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 03:31:09,500",8,8,90,4,40,40,True,32,32,200,30,2
"2016-11-16 03:32:23,369",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 03:33:38,068",8,8,90,4,40,40,True,32,32,200,19,13
"2016-11-16 03:34:49,377",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 03:35:48,311",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 03:37:11,950",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 03:38:33,059",8,8,90,4,40,40,True,32,32,200,27,7
"2016-11-16 03:39:48,729",8,8,90,4,40,40,True,32,32,200,19,17
"2016-11-16 03:41:08,168",8,8,90,4,40,40,True,32,32,200,10,36
"2016-11-16 03:42:12,777",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 03:43:26,048",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 03:44:42,427",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 03:46:02,671",8,8,90,4,40,40,True,32,32,200,7,50
"2016-11-16 03:47:19,013",8,8,90,4,40,40,True,32,32,200,13,22
"2016-11-16 03:48:31,294",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 03:49:41,997",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 03:50:56,165",8,8,90,4,40,40,True,32,32,200,30,2
"2016-11-16 03:52:09,980",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 03:53:22,810",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 03:54:42,462",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 03:55:47,954",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 03:56:47,940",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 03:58:00,547",8,8,90,4,40,40,True,32,32,200,32,0
