"2016-11-17 14:34:24,958",I,R,Rule,Input size,Input area,Automaton size,Concat before,Estimator,Training sets,Testing sets,Distractor period,R1 successful,R1 wrong bits,R2 successful,R2 wrong bits
"2016-11-17 14:34:26,438",4,4,102,4,40,40,True,LinearRegression,32,32,20,32,0,32,0
"2016-11-17 14:34:27,782",4,4,102,4,40,40,True,LinearRegression,32,32,20,16,17,26,6
"2016-11-17 14:34:29,144",4,4,102,4,40,40,True,LinearRegression,32,32,20,16,16,32,0
"2016-11-17 14:34:30,550",4,4,102,4,40,40,True,LinearRegression,32,32,20,7,36,14,21
"2016-11-17 14:34:31,928",4,4,102,4,40,40,True,LinearRegression,32,32,20,32,0,32,0
"2016-11-17 14:34:33,290",4,4,102,4,40,40,True,LinearRegression,32,32,20,16,16,32,0
"2016-11-17 14:34:34,639",4,4,102,4,40,40,True,LinearRegression,32,32,20,8,33,4,33
"2016-11-17 14:34:36,183",4,4,102,4,40,40,True,LinearRegression,32,32,20,7,35,18,19
"2016-11-17 14:34:37,651",4,4,102,4,40,40,True,LinearRegression,32,32,20,15,17,16,16
"2016-11-17 14:34:39,038",4,4,102,4,40,40,True,LinearRegression,32,32,20,21,11,26,6
"2016-11-17 14:34:41,075",4,4,102,4,40,40,True,LinearRegression,32,32,20,16,16,32,0
"2016-11-17 14:34:43,213",4,4,102,4,40,40,True,LinearRegression,32,32,20,4,60,9,29
"2016-11-17 14:34:45,297",4,4,102,4,40,40,True,LinearRegression,32,32,20,6,36,6,38
"2016-11-17 14:34:47,428",4,4,102,4,40,40,True,LinearRegression,32,32,20,22,10,22,10
"2016-11-17 14:34:49,416",4,4,102,4,40,40,True,LinearRegression,32,32,20,6,41,14,20
"2016-11-17 14:34:51,668",4,4,102,4,40,40,True,LinearRegression,32,32,20,9,29,19,16
"2016-11-17 14:34:53,905",4,4,102,4,40,40,True,LinearRegression,32,32,20,16,16,20,12
"2016-11-17 14:34:56,224",4,4,102,4,40,40,True,LinearRegression,32,32,20,16,28,17,15
"2016-11-17 14:34:58,443",4,4,102,4,40,40,True,LinearRegression,32,32,20,32,0,32,0
"2016-11-17 14:35:00,578",4,4,102,4,40,40,True,LinearRegression,32,32,20,15,17,31,1
"2016-11-17 14:35:02,857",4,4,102,4,40,40,True,LinearRegression,32,32,20,28,4,30,2
"2016-11-17 14:35:05,132",4,4,102,4,40,40,True,LinearRegression,32,32,20,32,0,32,0
"2016-11-17 14:35:07,428",4,4,102,4,40,40,True,LinearRegression,32,32,20,16,16,32,0
"2016-11-17 14:35:09,826",4,4,102,4,40,40,True,LinearRegression,32,32,20,32,0,32,0
"2016-11-17 14:35:11,983",4,4,102,4,40,40,True,LinearRegression,32,32,20,8,32,18,14
"2016-11-17 14:35:14,249",4,4,102,4,40,40,True,LinearRegression,32,32,20,6,34,4,33
"2016-11-17 14:35:16,390",4,4,102,4,40,40,True,LinearRegression,32,32,20,8,25,27,6
"2016-11-17 14:35:18,820",4,4,102,4,40,40,True,LinearRegression,32,32,20,20,14,24,10
"2016-11-17 14:35:20,935",4,4,102,4,40,40,True,LinearRegression,32,32,20,4,35,12,27
"2016-11-17 14:35:23,208",4,4,102,4,40,40,True,LinearRegression,32,32,20,14,36,14,18
"2016-11-17 14:35:26,923",4,4,102,4,40,40,True,LinearRegression,32,32,20,5,49,20,16
"2016-11-17 14:35:29,543",4,4,102,4,40,40,True,LinearRegression,32,32,20,2,62,17,19
"2016-11-17 14:35:31,999",4,4,102,4,40,40,True,LinearRegression,32,32,20,15,17,22,10
"2016-11-17 14:35:34,115",4,4,102,4,40,40,True,LinearRegression,32,32,20,6,33,10,30
"2016-11-17 14:35:36,201",4,4,102,4,40,40,True,LinearRegression,32,32,20,16,16,32,0
"2016-11-17 14:35:38,326",4,4,102,4,40,40,True,LinearRegression,32,32,20,8,24,24,8
"2016-11-17 14:35:40,534",4,4,102,4,40,40,True,LinearRegression,32,32,20,26,6,28,4
"2016-11-17 14:35:42,712",4,4,102,4,40,40,True,LinearRegression,32,32,20,1,57,14,25
"2016-11-17 14:35:45,950",4,4,102,4,40,40,True,LinearRegression,32,32,20,24,8,24,8
"2016-11-17 14:35:48,899",4,4,102,4,40,40,True,LinearRegression,32,32,20,13,19,27,5
"2016-11-17 14:35:51,665",4,4,102,4,40,40,True,LinearRegression,32,32,20,13,19,26,6
"2016-11-17 14:35:54,065",4,4,102,4,40,40,True,LinearRegression,32,32,20,32,0,32,0
"2016-11-17 14:35:56,298",4,4,102,4,40,40,True,LinearRegression,32,32,20,0,61,18,17
"2016-11-17 14:35:58,588",4,4,102,4,40,40,True,LinearRegression,32,32,20,25,7,28,4
"2016-11-17 14:36:00,872",4,4,102,4,40,40,True,LinearRegression,32,32,20,14,19,27,5
"2016-11-17 14:36:03,267",4,4,102,4,40,40,True,LinearRegression,32,32,20,32,0,32,0
"2016-11-17 14:36:05,662",4,4,102,4,40,40,True,LinearRegression,32,32,20,4,39,17,15
"2016-11-17 14:36:07,881",4,4,102,4,40,40,True,LinearRegression,32,32,20,16,21,28,4
"2016-11-17 14:36:10,050",4,4,102,4,40,40,True,LinearRegression,32,32,20,0,78,4,38
"2016-11-17 14:36:12,778",4,4,102,4,40,40,True,LinearRegression,32,32,20,11,28,21,13
"2016-11-17 14:36:16,042",4,4,102,4,40,40,True,LinearRegression,32,32,20,20,12,28,4
"2016-11-17 14:36:18,737",4,4,102,4,40,40,True,LinearRegression,32,32,20,11,31,12,27
"2016-11-17 14:36:20,920",4,4,102,4,40,40,True,LinearRegression,32,32,20,16,16,32,0
"2016-11-17 14:36:23,121",4,4,102,4,40,40,True,LinearRegression,32,32,20,16,16,32,0
"2016-11-17 14:36:25,612",4,4,102,4,40,40,True,LinearRegression,32,32,20,19,13,24,8
"2016-11-17 14:36:27,915",4,4,102,4,40,40,True,LinearRegression,32,32,20,11,22,22,10
"2016-11-17 14:36:30,112",4,4,102,4,40,40,True,LinearRegression,32,32,20,14,21,26,6
"2016-11-17 14:36:32,493",4,4,102,4,40,40,True,LinearRegression,32,32,20,12,28,24,8
"2016-11-17 14:36:34,638",4,4,102,4,40,40,True,LinearRegression,32,32,20,2,51,18,15
