"2016-11-17 20:34:47,191",I,R,Rule,Input size,Input area,Automaton size,Concat before,Estimator,Training sets,Testing sets,Distractor period,Points,Successful,Wrong bits
"2016-11-17 20:34:48,051",4,4,102,4,40,40,True,LinearRegression,32,32,20,0,16,16
"2016-11-17 20:34:48,761",4,4,102,4,40,40,True,LinearRegression,32,32,20,0,13,20
"2016-11-17 20:34:49,444",4,4,102,4,40,40,True,LinearRegression,32,32,20,0,16,32
"2016-11-17 20:34:50,030",4,4,102,4,40,40,True,LinearRegression,32,32,20,0,16,19
"2016-11-17 20:34:50,675",4,4,102,4,40,40,True,LinearRegression,32,32,20,1,32,0
"2016-11-17 20:34:51,363",4,4,102,4,40,40,True,LinearRegression,32,32,20,0,1,63
"2016-11-17 20:34:52,004",4,4,102,4,40,40,True,LinearRegression,32,32,20,0,2,55
"2016-11-17 20:34:52,629",4,4,102,4,40,40,True,LinearRegression,32,32,20,0,2,61
"2016-11-17 20:34:53,287",4,4,102,4,40,40,True,LinearRegression,32,32,20,0,17,22
"2016-11-17 20:34:53,878",4,4,102,4,40,40,True,LinearRegression,32,32,20,1,32,0
