"2016-11-17 20:35:51,149",I,R,Rule,Input size,Input area,Automaton size,Concat before,Estimator,Training sets,Testing sets,Distractor period,Points,Successful,Wrong bits
"2016-11-17 20:35:51,747",4,4,102,4,40,40,True,LinearRegression,32,32,20,0,11,26
"2016-11-17 20:35:52,434",4,4,102,4,40,40,True,LinearRegression,32,32,20,0,13,19
"2016-11-17 20:35:53,116",4,4,102,4,40,40,True,LinearRegression,32,32,20,0,8,38
"2016-11-17 20:35:53,850",4,4,102,4,40,40,True,LinearRegression,32,32,20,0,23,9
"2016-11-17 20:35:54,524",4,4,102,4,40,40,True,LinearRegression,32,32,20,0,8,28
"2016-11-17 20:35:55,163",4,4,102,4,40,40,True,LinearRegression,32,32,20,0,15,17
"2016-11-17 20:35:55,797",4,4,102,4,40,40,True,LinearRegression,32,32,20,1,32,0
"2016-11-17 20:35:56,544",4,4,102,4,40,40,True,LinearRegression,32,32,20,0,17,15
"2016-11-17 20:35:57,205",4,4,102,4,40,40,True,LinearRegression,32,32,20,0,26,6
"2016-11-17 20:35:57,834",4,4,102,4,40,40,True,LinearRegression,32,32,20,0,16,16
