"2016-11-23 11:58:17,276",I,R,Rule,Input size,Input area,Automaton size,Concat before,Estimator,Training sets,Testing sets,Distractor period,Point (success),R1 correct,R1 wrong bits,R2 correct,R2 wrong bits
"2016-11-23 12:16:50,913",4,8,180,4,40,40,True,LinearRegression,32,32,200,0,1,80,1,80
"2016-11-23 12:17:08,748",4,8,180,4,40,40,True,LinearRegression,32,32,200,0,4,48,4,46
"2016-11-23 12:17:28,360",4,8,180,4,40,40,True,LinearRegression,32,32,200,0,4,52,4,52
"2016-11-23 12:17:46,798",4,8,180,4,40,40,True,LinearRegression,32,32,200,0,1,80,1,80
"2016-11-23 12:18:07,825",4,8,180,4,40,40,True,LinearRegression,32,32,200,0,6,49,8,40
"2016-11-23 12:18:27,974",4,8,180,4,40,40,True,LinearRegression,32,32,200,0,0,96,0,96
"2016-11-23 12:18:48,727",4,8,180,4,40,40,True,LinearRegression,32,32,200,0,0,96,1,80
"2016-11-23 12:19:07,963",4,8,180,4,40,40,True,LinearRegression,32,32,200,0,0,96,1,80
"2016-11-23 12:19:29,365",4,8,180,4,40,40,True,LinearRegression,32,32,200,0,5,47,8,34
"2016-11-23 12:19:48,138",4,8,180,4,40,40,True,LinearRegression,32,32,200,0,1,80,1,80
"2016-11-23 12:20:05,560",4,8,180,4,40,40,True,LinearRegression,32,32,200,0,2,70,2,70
"2016-11-23 12:20:27,492",4,8,180,4,40,40,True,LinearRegression,32,32,200,0,1,80,1,80
"2016-11-23 12:20:50,816",4,8,180,4,40,40,True,LinearRegression,32,32,200,0,0,96,0,96
"2016-11-23 12:21:09,403",4,8,180,4,40,40,True,LinearRegression,32,32,200,0,0,104,0,80
"2016-11-23 12:21:27,181",4,8,180,4,40,40,True,LinearRegression,32,32,200,0,1,80,1,80
"2016-11-23 12:21:46,391",4,8,180,4,40,40,True,LinearRegression,32,32,200,0,3,53,3,48
"2016-11-23 12:22:04,633",4,8,180,4,40,40,True,LinearRegression,32,32,200,0,0,112,1,80
"2016-11-23 12:22:24,559",4,8,180,4,40,40,True,LinearRegression,32,32,200,0,1,80,0,96
"2016-11-23 12:22:44,713",4,8,180,4,40,40,True,LinearRegression,32,32,200,0,1,80,1,80
"2016-11-23 12:23:03,369",4,8,180,4,40,40,True,LinearRegression,32,32,200,0,1,80,1,80
"2016-11-23 12:23:23,145",4,8,180,4,40,40,True,LinearRegression,32,32,200,0,1,80,0,144
"2016-11-23 12:23:43,135",4,8,180,4,40,40,True,LinearRegression,32,32,200,0,1,80,1,80
"2016-11-23 12:24:02,451",4,8,180,4,40,40,True,LinearRegression,32,32,200,0,1,80,1,80
"2016-11-23 12:24:21,663",4,8,180,4,40,40,True,LinearRegression,32,32,200,0,0,58,7,42
"2016-11-23 12:24:40,169",4,8,180,4,40,40,True,LinearRegression,32,32,200,0,0,96,0,96
"2016-11-23 12:25:03,065",4,8,180,4,40,40,True,LinearRegression,32,32,200,0,2,64,3,56
"2016-11-23 12:25:23,756",4,8,180,4,40,40,True,LinearRegression,32,32,200,0,1,80,0,96
"2016-11-23 12:25:44,314",4,8,180,4,40,40,True,LinearRegression,32,32,200,0,4,53,6,45
"2016-11-23 12:26:06,509",4,8,180,4,40,40,True,LinearRegression,32,32,200,0,1,80,0,96
"2016-11-23 12:26:26,550",4,8,180,4,40,40,True,LinearRegression,32,32,200,0,6,47,8,41
"2016-11-23 12:26:46,667",4,8,180,4,40,40,True,LinearRegression,32,32,200,0,0,96,1,80
"2016-11-23 12:27:08,400",4,8,180,4,40,40,True,LinearRegression,32,32,200,0,0,96,0,128
"2016-11-23 12:27:29,202",4,8,180,4,40,40,True,LinearRegression,32,32,200,0,0,96,1,80
"2016-11-23 12:27:50,148",4,8,180,4,40,40,True,LinearRegression,32,32,200,0,5,44,4,47
"2016-11-23 12:28:08,062",4,8,180,4,40,40,True,LinearRegression,32,32,200,0,1,80,1,80
"2016-11-23 12:28:29,783",4,8,180,4,40,40,True,LinearRegression,32,32,200,0,1,80,0,112
