"2016-11-17 21:47:27,995",I,R,Rule,Input size,Input area,Automaton size,Concat before,Estimator,Training sets,Testing sets,Distractor period,Points,R1 successful,R1 wrong bits,R2 successful,R2 wrong bits
"2016-11-17 21:47:32,253",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,8,31,7,33
"2016-11-17 21:47:36,261",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,0,96,14,22
"2016-11-17 21:47:40,359",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,22,10,22,10
"2016-11-17 21:47:44,168",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,15,17,26,6
"2016-11-17 21:47:48,165",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,17,15,31,1
"2016-11-17 21:47:52,176",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,22,10,23,9
"2016-11-17 21:47:56,048",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,11,27,15,22
"2016-11-17 21:47:59,948",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,14,19,22,10
"2016-11-17 21:48:03,834",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-17 21:48:07,920",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,14,18,14,18
"2016-11-17 21:48:11,935",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,0,97,10,36
"2016-11-17 21:48:15,663",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,11,29,27,5
"2016-11-17 21:48:19,589",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,21,11,22,10
"2016-11-17 21:48:23,484",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,13,24,16,16
"2016-11-17 21:48:27,368",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-17 21:48:31,401",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,23,9,23,9
"2016-11-17 21:48:35,312",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-17 21:48:39,405",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,9,31,14,21
"2016-11-17 21:48:43,190",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,29,3,29,3
"2016-11-17 21:48:47,329",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-17 21:48:51,120",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,28,4,27,5
"2016-11-17 21:48:55,004",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-17 21:48:58,950",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,25,7,29,3
"2016-11-17 21:49:03,148",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,13,22,22,10
"2016-11-17 21:49:07,241",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-17 21:49:11,344",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,10,28,27,5
"2016-11-17 21:49:15,548",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,29,3,29,3
"2016-11-17 21:49:19,710",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-17 21:49:23,674",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-17 21:49:27,830",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-17 21:49:31,858",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,0,140,4,50
"2016-11-17 21:49:35,921",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-17 21:49:40,004",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,30,2,30,2
"2016-11-17 21:49:44,084",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-17 21:49:48,293",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,6,34,18,18
"2016-11-17 21:49:52,541",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-17 21:49:56,776",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-17 21:50:00,993",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,10,29,28,5
"2016-11-17 21:50:05,179",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,14,18,30,2
"2016-11-17 21:50:09,528",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,12,31,26,6
"2016-11-17 21:50:13,774",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,18,14,21,11
"2016-11-17 21:50:17,958",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-17 21:50:22,173",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,22,12,21,12
"2016-11-17 21:50:26,398",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,24,8,24,8
"2016-11-17 21:50:30,265",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,11,30,24,8
"2016-11-17 21:50:34,453",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-17 21:50:38,468",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,20,12,23,9
"2016-11-17 21:50:42,363",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-17 21:50:46,237",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-17 21:50:50,096",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,31,1,31,1
"2016-11-17 21:50:54,233",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-17 21:50:58,100",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,28,4,28,4
"2016-11-17 21:51:02,322",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-17 21:51:06,184",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-17 21:51:10,277",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,16,16,32,0
"2016-11-17 21:51:16,260",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,20,12,30,2
"2016-11-17 21:51:20,685",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-17 21:51:24,757",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,17,15,29,3
"2016-11-17 21:51:28,691",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,27,5,29,3
"2016-11-17 21:51:32,549",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,18,14,26,6
"2016-11-17 21:51:36,521",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,23,9,22,10
"2016-11-17 21:51:40,499",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,30,2,30,2
"2016-11-17 21:51:44,398",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-17 21:51:48,532",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,16,16,12,20
"2016-11-17 21:51:52,561",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,30,2,29,3
"2016-11-17 21:51:56,439",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,18,14,30,2
"2016-11-17 21:52:00,563",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,30,2,29,3
"2016-11-17 21:52:04,615",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-17 21:52:08,553",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,18,14,22,10
"2016-11-17 21:52:12,705",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-17 21:52:16,645",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,16,17,32,0
"2016-11-17 21:52:20,447",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,23,9,21,11
"2016-11-17 21:52:24,433",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,31,1,31,1
"2016-11-17 21:52:29,735",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,28,7,28,7
"2016-11-17 21:52:34,586",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,14,31,19,13
"2016-11-17 21:52:38,702",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,25,7,29,3
"2016-11-17 21:52:42,492",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,16,20,28,4
"2016-11-17 21:52:46,402",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,9,30,10,28
"2016-11-17 21:52:50,512",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,16,18,26,6
"2016-11-17 21:52:54,611",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,23,9,27,5
"2016-11-17 21:52:58,555",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,14,18,24,8
"2016-11-17 21:53:02,795",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,31,1,31,1
"2016-11-17 21:53:06,878",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,18,14,30,2
"2016-11-17 21:53:11,046",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,20,12,27,5
"2016-11-17 21:53:14,982",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,0,64,7,34
"2016-11-17 21:53:18,546",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,15,19,15,18
"2016-11-17 21:53:22,144",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-17 21:53:25,943",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,18,14,19,13
"2016-11-17 21:53:29,532",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-17 21:53:33,375",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-17 21:53:36,965",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,13,21,25,9
"2016-11-17 21:53:40,581",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-17 21:53:44,184",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,14,19,0,35
