"2016-11-29 13:19:17,604",I,R,Rule,Input size,Input area,Automaton size,Concat before,Estimator,Training sets,Testing sets,Distractor period,Point (success),Successful,Wrong bits
"2016-11-29 13:19:26,799",16,32,90,4,4,4,True,LinearRegression,32,32,199,0,0,145
"2016-11-29 13:19:36,094",16,32,90,4,4,4,True,LinearRegression,32,32,199,0,13,44
"2016-11-29 13:19:45,449",16,32,90,4,4,4,True,LinearRegression,32,32,199,0,14,40
