"2016-11-17 13:55:12,551",I,R,Rule,Input size,Input area,Automaton size,Concat before,Estimator,Training sets,Testing sets,Distractor period,R1 successful,R1 wrong bits,R2 successful,R2 wrong bits
"2016-11-17 13:55:13,919",4,4,102,4,40,40,True,LinearRegression,32,32,20,4,48,8,32
"2016-11-17 13:55:15,326",4,4,102,4,40,40,True,LinearRegression,32,32,20,6,34,19,13
"2016-11-17 13:55:16,697",4,4,102,4,40,40,True,LinearRegression,32,32,20,24,8,24,8
"2016-11-17 13:55:18,109",4,4,102,4,40,40,True,LinearRegression,32,32,20,0,86,8,33
"2016-11-17 13:55:19,427",4,4,102,4,40,40,True,LinearRegression,32,32,20,4,38,11,26
"2016-11-17 13:55:20,841",4,4,102,4,40,40,True,LinearRegression,32,32,20,1,63,7,29
"2016-11-17 13:55:22,313",4,4,102,4,40,40,True,LinearRegression,32,32,20,17,15,19,13
"2016-11-17 13:55:23,758",4,4,102,4,40,40,True,LinearRegression,32,32,20,1,61,8,31
"2016-11-17 13:55:25,185",4,4,102,4,40,40,True,LinearRegression,32,32,20,7,36,18,14
"2016-11-17 13:55:26,506",4,4,102,4,40,40,True,LinearRegression,32,32,20,16,20,26,6
"2016-11-17 13:55:27,860",4,4,102,4,40,40,True,LinearRegression,32,32,20,14,22,15,19
"2016-11-17 13:55:29,233",4,4,102,4,40,40,True,LinearRegression,32,32,20,15,17,24,8
"2016-11-17 13:55:30,613",4,4,102,4,40,40,True,LinearRegression,32,32,20,8,32,16,16
"2016-11-17 13:55:32,080",4,4,102,4,40,40,True,LinearRegression,32,32,20,32,0,32,0
"2016-11-17 13:55:33,417",4,4,102,4,40,40,True,LinearRegression,32,32,20,8,31,10,29
"2016-11-17 13:55:34,794",4,4,102,4,40,40,True,LinearRegression,32,32,20,14,18,29,3
"2016-11-17 13:55:36,246",4,4,102,4,40,40,True,LinearRegression,32,32,20,16,16,32,0
"2016-11-17 13:55:37,563",4,4,102,4,40,40,True,LinearRegression,32,32,20,12,32,24,8
"2016-11-17 13:55:38,977",4,4,102,4,40,40,True,LinearRegression,32,32,20,22,12,23,9
"2016-11-17 13:55:40,366",4,4,102,4,40,40,True,LinearRegression,32,32,20,14,18,25,7
"2016-11-17 13:55:41,843",4,4,102,4,40,40,True,LinearRegression,32,32,20,32,0,32,0
"2016-11-17 13:55:43,313",4,4,102,4,40,40,True,LinearRegression,32,32,20,29,3,29,3
"2016-11-17 13:55:44,731",4,4,102,4,40,40,True,LinearRegression,32,32,20,32,0,32,0
"2016-11-17 13:55:46,211",4,4,102,4,40,40,True,LinearRegression,32,32,20,10,28,17,15
"2016-11-17 13:55:47,719",4,4,102,4,40,40,True,LinearRegression,32,32,20,16,16,18,14
"2016-11-17 13:55:49,172",4,4,102,4,40,40,True,LinearRegression,32,32,20,16,16,32,0
"2016-11-17 13:55:50,658",4,4,102,4,40,40,True,LinearRegression,32,32,20,16,16,32,0
"2016-11-17 13:55:52,104",4,4,102,4,40,40,True,LinearRegression,32,32,20,15,17,23,9
"2016-11-17 13:55:53,429",4,4,102,4,40,40,True,LinearRegression,32,32,20,16,16,17,15
