"2016-11-21 15:26:14,871",I,R,Rule,Input size,Input area,Automaton size,Concat before,Estimator,Training sets,Testing sets,Distractor period,Point (success),R1 correct,R1 wrong bits,R2 correct,R2 wrong bits
"2016-11-21 15:27:06,631",8,8,182,4,40,40,True,LinearRegression,32,32,200,0,2,95,23,11
"2016-11-21 15:28:09,755",8,8,182,4,40,40,True,LinearRegression,32,32,200,0,2,62,19,15
"2016-11-21 15:29:24,486",8,8,182,4,40,40,True,LinearRegression,32,32,200,0,2,59,20,13
"2016-11-21 15:30:29,685",8,8,182,4,40,40,True,LinearRegression,32,32,200,0,22,16,27,7
"2016-11-21 15:31:37,371",8,8,182,4,40,40,True,LinearRegression,32,32,200,0,7,48,26,6
"2016-11-21 15:32:37,177",8,8,182,4,40,40,True,LinearRegression,32,32,200,0,1,108,17,22
"2016-11-21 15:27:26,491",8,8,182,4,40,40,True,LinearRegression,32,32,200,0,2,84,22,16
"2016-11-21 15:28:37,102",8,8,182,4,40,40,True,LinearRegression,32,32,200,0,6,54,26,6
"2016-11-21 15:29:37,028",8,8,182,4,40,40,True,LinearRegression,32,32,200,0,2,91,22,12
"2016-11-21 15:30:45,242",8,8,182,4,40,40,True,LinearRegression,32,32,200,0,4,77,21,15
"2016-11-21 15:32:07,050",8,8,182,4,40,40,True,LinearRegression,32,32,200,0,6,68,23,12
"2016-11-21 15:32:56,759",8,8,182,4,40,40,True,LinearRegression,32,32,200,0,11,75,25,10
