"2017-02-15 10:39:21,762",I,R,Rule,Input size,Input area,Automaton size,Concat before,Estimator,Training sets,Testing sets,Distractor period,Point (success),First res. correct,First res. wrong bits,Last res. correct,Last res. wrong bits
"2017-02-15 10:39:46,336",8,8,150,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2017-02-15 10:40:10,970",8,8,150,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2017-02-15 10:40:35,758",8,8,150,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2017-02-15 10:41:00,959",8,8,150,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2017-02-15 10:41:25,003",8,8,150,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2017-02-15 10:41:49,503",8,8,150,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2017-02-15 10:42:12,836",8,8,150,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2017-02-15 10:42:37,533",8,8,150,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2017-02-15 10:43:05,654",8,8,150,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2017-02-15 10:43:29,027",8,8,150,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
