"2016-11-19 00:26:55,469",I,R,Rule,Input size,Input area,Automaton size,Concat before,Estimator,Training sets,Testing sets,Distractor period,Point (success),R1 correct,R1 wrong bits,R2 correct,R2 wrong bits
"2016-11-19 00:27:01,887",4,4,150,4,40,40,True,LinearRegression,32,32,200,0,0,46,18,17
"2016-11-19 00:27:08,468",4,4,150,4,40,40,True,LinearRegression,32,32,200,0,19,14,21,11
"2016-11-19 00:27:15,272",4,4,150,4,40,40,True,LinearRegression,32,32,200,0,8,41,9,26
"2016-11-19 00:27:22,028",4,4,150,4,40,40,True,LinearRegression,32,32,200,0,15,21,19,13
"2016-11-19 00:27:28,694",4,4,150,4,40,40,True,LinearRegression,32,32,200,0,31,1,31,1
"2016-11-19 00:27:35,239",4,4,150,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-19 00:27:41,846",4,4,150,4,40,40,True,LinearRegression,32,32,200,0,31,1,31,1
"2016-11-19 00:27:48,764",4,4,150,4,40,40,True,LinearRegression,32,32,200,0,12,20,14,20
"2016-11-19 00:27:55,487",4,4,150,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-19 00:28:02,071",4,4,150,4,40,40,True,LinearRegression,32,32,200,0,8,32,16,16
"2016-11-19 00:28:08,895",4,4,150,4,40,40,True,LinearRegression,32,32,200,0,16,20,22,11
"2016-11-19 00:28:15,240",4,4,150,4,40,40,True,LinearRegression,32,32,200,0,14,20,21,15
"2016-11-19 00:28:21,725",4,4,150,4,40,40,True,LinearRegression,32,32,200,0,0,157,2,75
"2016-11-19 00:28:28,837",4,4,150,4,40,40,True,LinearRegression,32,32,200,0,30,2,30,2
"2016-11-19 00:28:35,938",4,4,150,4,40,40,True,LinearRegression,32,32,200,0,24,8,26,6
"2016-11-19 00:28:42,543",4,4,150,4,40,40,True,LinearRegression,32,32,200,0,23,11,26,8
"2016-11-19 00:28:48,859",4,4,150,4,40,40,True,LinearRegression,32,32,200,0,16,23,22,10
"2016-11-19 00:28:55,852",4,4,150,4,40,40,True,LinearRegression,32,32,200,0,15,18,23,12
"2016-11-19 00:29:02,751",4,4,150,4,40,40,True,LinearRegression,32,32,200,0,28,4,28,4
"2016-11-19 00:29:09,394",4,4,150,4,40,40,True,LinearRegression,32,32,200,0,14,27,7,27
"2016-11-19 00:29:16,325",4,4,150,4,40,40,True,LinearRegression,32,32,200,0,1,63,20,14
"2016-11-19 00:29:23,387",4,4,150,4,40,40,True,LinearRegression,32,32,200,0,0,75,13,24
"2016-11-19 00:29:29,695",4,4,150,4,40,40,True,LinearRegression,32,32,200,0,0,141,2,66
"2016-11-19 00:29:36,809",4,4,150,4,40,40,True,LinearRegression,32,32,200,0,0,154,8,49
"2016-11-19 00:29:43,552",4,4,150,4,40,40,True,LinearRegression,32,32,200,0,4,37,13,22
"2016-11-19 00:29:50,581",4,4,150,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-19 00:29:57,175",4,4,150,4,40,40,True,LinearRegression,32,32,200,0,16,16,14,18
"2016-11-19 00:30:03,505",4,4,150,4,40,40,True,LinearRegression,32,32,200,0,0,96,3,52
"2016-11-19 00:30:11,272",4,4,150,4,40,40,True,LinearRegression,32,32,200,0,16,16,30,2
"2016-11-19 00:30:18,045",4,4,150,4,40,40,True,LinearRegression,32,32,200,0,9,25,27,6
"2016-11-19 00:30:24,869",4,4,150,4,40,40,True,LinearRegression,32,32,200,0,21,13,25,9
"2016-11-19 00:30:31,020",4,4,150,4,40,40,True,LinearRegression,32,32,200,0,22,10,22,10
"2016-11-19 00:30:38,274",4,4,150,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
