"2017-02-15 10:18:09,278",I,R,Rule,Input size,Input area,Automaton size,Concat before,Estimator,Training sets,Testing sets,Distractor period,Point (success),First res. correct,First res. wrong bits,Last res. correct,Last res. wrong bits
"2017-02-15 10:18:15,638",4,8,90,4,40,40,True,LinearRegression,32,32,200,0,16,16,14,18
"2017-02-15 10:18:21,803",4,8,90,4,40,40,True,LinearRegression,32,32,200,1,16,16,32,0
"2017-02-15 10:18:28,147",4,8,90,4,40,40,True,LinearRegression,32,32,200,0,0,32,13,19
"2017-02-15 10:18:34,334",4,8,90,4,40,40,True,LinearRegression,32,32,200,0,17,20,23,16
"2017-02-15 10:18:40,491",4,8,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2017-02-15 10:18:46,734",4,8,90,4,40,40,True,LinearRegression,32,32,200,0,31,1,31,1
"2017-02-15 10:18:52,922",4,8,90,4,40,40,True,LinearRegression,32,32,200,0,19,15,21,12
"2017-02-15 10:18:59,388",4,8,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2017-02-15 10:19:05,831",4,8,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2017-02-15 10:19:12,712",4,8,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
