"2016-11-17 12:34:35,944",I,R,Rule,Input size,Input area,Automaton size,Concat before,Estimator,Training sets,Testing sets,Distractor period,R1 successful,R1 wrong bits,R2 successful,R2 wrong bits
"2016-11-17 12:36:03,203",4,4,102,4,40,40,True,LinearRegression,32,32,20,4,35,15,23
"2016-11-17 12:36:04,598",4,4,102,4,40,40,True,LinearRegression,32,32,20,31,1,32,0
"2016-11-17 12:36:05,963",4,4,102,4,40,40,True,LinearRegression,32,32,20,5,50,14,25
"2016-11-17 12:36:07,424",4,4,102,4,40,40,True,LinearRegression,32,32,20,8,34,12,23
"2016-11-17 12:36:08,741",4,4,102,4,40,40,True,LinearRegression,32,32,20,15,19,22,10
"2016-11-17 12:36:10,101",4,4,102,4,40,40,True,LinearRegression,32,32,20,8,32,8,31
"2016-11-17 12:36:11,613",4,4,102,4,40,40,True,LinearRegression,32,32,20,14,22,29,6
"2016-11-17 12:36:12,945",4,4,102,4,40,40,True,LinearRegression,32,32,20,8,32,20,12
"2016-11-17 12:36:14,280",4,4,102,4,40,40,True,LinearRegression,32,32,20,30,2,30,2
"2016-11-17 12:36:15,750",4,4,102,4,40,40,True,LinearRegression,32,32,20,16,16,32,0
"2016-11-17 12:36:17,092",4,4,102,4,40,40,True,LinearRegression,32,32,20,14,18,22,10
"2016-11-17 12:36:18,478",4,4,102,4,40,40,True,LinearRegression,32,32,20,3,55,4,41
"2016-11-17 12:36:20,063",4,4,102,4,40,40,True,LinearRegression,32,32,20,16,16,32,0
"2016-11-17 12:36:21,443",4,4,102,4,40,40,True,LinearRegression,32,32,20,12,24,20,14
"2016-11-17 12:36:22,991",4,4,102,4,40,40,True,LinearRegression,32,32,20,3,65,15,24
"2016-11-17 12:36:24,432",4,4,102,4,40,40,True,LinearRegression,32,32,20,8,34,23,9
"2016-11-17 12:36:25,913",4,4,102,4,40,40,True,LinearRegression,32,32,20,20,12,28,4
"2016-11-17 12:36:27,352",4,4,102,4,40,40,True,LinearRegression,32,32,20,3,53,26,6
"2016-11-17 12:36:28,716",4,4,102,4,40,40,True,LinearRegression,32,32,20,14,23,29,3
"2016-11-17 12:36:30,169",4,4,102,4,40,40,True,LinearRegression,32,32,20,3,50,14,22
"2016-11-17 12:36:31,613",4,4,102,4,40,40,True,LinearRegression,32,32,20,15,17,17,15
"2016-11-17 12:36:32,943",4,4,102,4,40,40,True,LinearRegression,32,32,20,32,0,32,0
"2016-11-17 12:36:34,415",4,4,102,4,40,40,True,LinearRegression,32,32,20,16,16,32,0
