"2017-02-15 10:21:32,605",I,R,Rule,Input size,Input area,Automaton size,Concat before,Estimator,Training sets,Testing sets,Distractor period,Point (success),First res. correct,First res. wrong bits,Last res. correct,Last res. wrong bits
"2017-02-15 10:21:38,760",4,8,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2017-02-15 10:21:44,870",4,8,90,4,40,40,True,LinearRegression,32,32,200,0,19,13,29,3
"2017-02-15 10:21:50,938",4,8,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2017-02-15 10:21:57,132",4,8,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2017-02-15 10:22:03,367",4,8,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2017-02-15 10:22:09,684",4,8,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2017-02-15 10:22:15,947",4,8,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2017-02-15 10:22:22,249",4,8,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2017-02-15 10:22:28,542",4,8,90,4,40,40,True,LinearRegression,32,32,200,1,31,1,32,0
"2017-02-15 10:22:35,181",4,8,90,4,40,40,True,LinearRegression,32,32,200,0,17,21,27,5
