"2016-11-16 23:13:28,998",I,R,Rule,Input size,Input area,Automaton size,Concat before,EstimatorTraining sets,Testing sets,Distractor period,Successful,Wrong bits
"2016-11-16 23:13:29,032",I,R,Rule,Input size,Input area,Automaton size,Concat before,EstimatorTraining sets,Testing sets,Distractor period,R1 successful,R1 wrong bits,R2 successful,R2 wrong bits
"2016-11-16 23:13:38,014",4,4,102,4,40,40,True,LinearRegression,32,32,200,32,0,32,0
"2016-11-16 23:13:46,742",4,4,102,4,40,40,True,LinearRegression,32,32,200,11,30,12,24
"2016-11-16 23:13:54,710",4,4,102,4,40,40,True,LinearRegression,32,32,200,12,24,28,4
"2016-11-16 23:14:02,763",4,4,102,4,40,40,True,LinearRegression,32,32,200,32,0,32,0
"2016-11-16 23:14:11,504",4,4,102,4,40,40,True,LinearRegression,32,32,200,16,16,16,16
