"2017-02-15 10:34:39,485",I,R,Rule,Input size,Input area,Automaton size,Concat before,Estimator,Training sets,Testing sets,Distractor period,Point (success),First res. correct,First res. wrong bits,Last res. correct,Last res. wrong bits
"2017-02-15 10:35:04,179",8,8,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2017-02-15 10:35:30,886",8,8,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2017-02-15 10:35:55,962",8,8,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2017-02-15 10:36:22,017",8,8,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2017-02-15 10:36:46,734",8,8,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2017-02-15 10:37:15,569",8,8,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2017-02-15 10:37:43,043",8,8,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2017-02-15 10:38:08,750",8,8,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2017-02-15 10:38:33,568",8,8,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2017-02-15 10:38:58,017",8,8,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
