"2017-05-16 21:40:46,341",Is,Rs,Rule,Input size,Input area,Automaton size,Concat before,Estimator,D,Tot. fit time,Final misclassif.,1 out of,1 misclassif,2 out of,2 misclassif,3 out of,3 misclassif
"2017-05-16 21:43:01,569","20,20,20","20,20,20","153,153,153",12,12,12,True,LinearRegression,4,16.24,106,1480,824,1480,734,370,106
"2017-05-16 21:45:15,466","20,20,20","20,20,20","153,153,153",12,12,12,True,LinearRegression,4,13.30,106,1480,789,1480,715,370,106
"2017-05-16 21:47:28,358","20,20,20","20,20,20","153,153,153",12,12,12,True,LinearRegression,4,12.74,104,1480,783,1480,742,370,104
"2017-05-16 21:49:46,155","20,20,20","20,20,20","153,153,153",12,12,12,True,LinearRegression,4,16.53,118,1480,795,1480,713,370,118
"2017-05-16 21:52:02,365","20,20,20","20,20,20","153,153,153",12,12,12,True,LinearRegression,4,15.37,97,1480,766,1480,741,370,97
"2017-05-16 21:54:19,407","20,20,20","20,20,20","153,153,153",12,12,12,True,LinearRegression,4,15.26,105,1480,771,1480,699,370,105
"2017-05-16 21:56:35,046","20,20,20","20,20,20","153,153,153",12,12,12,True,LinearRegression,4,14.72,100,1480,787,1480,721,370,100
"2017-05-16 21:58:50,111","20,20,20","20,20,20","153,153,153",12,12,12,True,LinearRegression,4,13.64,96,1480,814,1480,721,370,96
"2017-05-16 22:01:07,192","20,20,20","20,20,20","153,153,153",12,12,12,True,LinearRegression,4,15.44,108,1480,801,1480,742,370,108
"2017-05-16 22:03:23,902","20,20,20","20,20,20","153,153,153",12,12,12,True,LinearRegression,4,14.82,106,1480,776,1480,732,370,106
"2017-05-16 22:05:41,675","20,20,20","20,20,20","153,153,153",12,12,12,True,LinearRegression,4,15.20,91,1480,791,1480,701,370,91
"2017-05-16 22:07:55,023","20,20,20","20,20,20","153,153,153",12,12,12,True,LinearRegression,4,13.30,101,1480,817,1480,701,370,101
"2017-05-16 22:10:10,520","20,20,20","20,20,20","153,153,153",12,12,12,True,LinearRegression,4,14.31,95,1480,790,1480,669,370,95
"2017-05-16 22:12:23,691","20,20,20","20,20,20","153,153,153",12,12,12,True,LinearRegression,4,12.07,103,1480,787,1480,691,370,103
"2017-05-16 22:14:35,868","20,20,20","20,20,20","153,153,153",12,12,12,True,LinearRegression,4,11.54,101,1480,776,1480,709,370,101
"2017-05-16 22:16:50,540","20,20,20","20,20,20","153,153,153",12,12,12,True,LinearRegression,4,14.20,91,1480,767,1480,702,370,91
"2017-05-16 22:19:05,497","20,20,20","20,20,20","153,153,153",12,12,12,True,LinearRegression,4,14.85,125,1480,791,1480,701,370,125
"2017-05-16 22:21:21,924","20,20,20","20,20,20","153,153,153",12,12,12,True,LinearRegression,4,13.95,91,1480,766,1480,747,370,91
"2017-05-16 22:23:38,063","20,20,20","20,20,20","153,153,153",12,12,12,True,LinearRegression,4,15.42,103,1480,788,1480,726,370,103
"2017-05-16 22:25:50,214","20,20,20","20,20,20","153,153,153",12,12,12,True,LinearRegression,4,12.29,107,1480,807,1480,723,370,107
"2017-05-16 22:28:06,154","20,20,20","20,20,20","153,153,153",12,12,12,True,LinearRegression,4,14.95,82,1480,812,1480,719,370,82
"2017-05-16 22:30:23,311","20,20,20","20,20,20","153,153,153",12,12,12,True,LinearRegression,4,14.78,109,1480,773,1480,675,370,109
"2017-05-16 22:32:39,717","20,20,20","20,20,20","153,153,153",12,12,12,True,LinearRegression,4,13.62,108,1480,819,1480,723,370,108
"2017-05-16 22:34:54,531","20,20,20","20,20,20","153,153,153",12,12,12,True,LinearRegression,4,14.43,104,1480,761,1480,693,370,104
"2017-05-16 22:37:08,345","20,20,20","20,20,20","153,153,153",12,12,12,True,LinearRegression,4,13.93,106,1480,762,1480,721,370,106
"2017-05-16 21:43:17,130","20,20,20","20,20,20","153,153,153",12,12,12,True,LinearRegression,4,23.69,102,1480,798,1480,688,370,102
"2017-05-16 21:45:52,808","20,20,20","20,20,20","153,153,153",12,12,12,True,LinearRegression,4,26.22,97,1480,791,1480,682,370,97
"2017-05-16 21:48:34,963","20,20,20","20,20,20","153,153,153",12,12,12,True,LinearRegression,4,30.78,96,1480,758,1480,745,370,96
"2017-05-16 21:51:12,778","20,20,20","20,20,20","153,153,153",12,12,12,True,LinearRegression,4,28.71,103,1480,808,1480,705,370,103
"2017-05-16 21:53:36,970","20,20,20","20,20,20","153,153,153",12,12,12,True,LinearRegression,4,17.11,97,1480,781,1480,711,370,97
"2017-05-16 21:56:08,401","20,20,20","20,20,20","153,153,153",12,12,12,True,LinearRegression,4,20.83,94,1480,787,1480,742,370,94
"2017-05-16 21:58:45,960","20,20,20","20,20,20","153,153,153",12,12,12,True,LinearRegression,4,27.99,89,1480,781,1480,678,370,89
"2017-05-16 22:01:16,280","20,20,20","20,20,20","153,153,153",12,12,12,True,LinearRegression,4,18.67,102,1480,764,1480,689,370,102
"2017-05-16 22:03:43,271","20,20,20","20,20,20","153,153,153",12,12,12,True,LinearRegression,4,17.42,95,1480,791,1480,725,370,95
"2017-05-16 22:06:19,475","20,20,20","20,20,20","153,153,153",12,12,12,True,LinearRegression,4,24.49,91,1480,797,1480,735,370,91
"2017-05-16 22:08:55,448","20,20,20","20,20,20","153,153,153",12,12,12,True,LinearRegression,4,26.20,109,1480,803,1480,679,370,109
"2017-05-16 22:11:19,651","20,20,20","20,20,20","153,153,153",12,12,12,True,LinearRegression,4,15.95,101,1480,793,1480,739,370,101
"2017-05-16 22:13:54,862","20,20,20","20,20,20","153,153,153",12,12,12,True,LinearRegression,4,26.55,104,1480,824,1480,748,370,104
"2017-05-16 22:16:33,397","20,20,20","20,20,20","153,153,153",12,12,12,True,LinearRegression,4,26.11,99,1480,770,1480,689,370,99
"2017-05-16 22:19:12,725","20,20,20","20,20,20","153,153,153",12,12,12,True,LinearRegression,4,29.30,94,1480,760,1480,695,370,94
"2017-05-16 22:21:45,958","20,20,20","20,20,20","153,153,153",12,12,12,True,LinearRegression,4,24.19,106,1480,792,1480,717,370,106
"2017-05-16 22:24:14,141","20,20,20","20,20,20","153,153,153",12,12,12,True,LinearRegression,4,18.32,91,1480,732,1480,720,370,91
"2017-05-16 22:26:44,291","20,20,20","20,20,20","153,153,153",12,12,12,True,LinearRegression,4,22.35,103,1480,807,1480,737,370,103
"2017-05-16 22:29:18,131","20,20,20","20,20,20","153,153,153",12,12,12,True,LinearRegression,4,24.77,92,1480,821,1480,697,370,92
"2017-05-16 22:31:45,872","20,20,20","20,20,20","153,153,153",12,12,12,True,LinearRegression,4,17.93,85,1480,747,1480,730,370,85
"2017-05-16 22:34:20,162","20,20,20","20,20,20","153,153,153",12,12,12,True,LinearRegression,4,24.80,94,1480,764,1480,713,370,94
"2017-05-16 22:36:57,251","20,20,20","20,20,20","153,153,153",12,12,12,True,LinearRegression,4,27.06,104,1480,761,1480,733,370,104
"2017-05-16 22:39:36,140","20,20,20","20,20,20","153,153,153",12,12,12,True,LinearRegression,4,28.21,90,1480,790,1480,730,370,90
"2017-05-16 22:42:14,053","20,20,20","20,20,20","153,153,153",12,12,12,True,LinearRegression,4,28.18,98,1480,770,1480,704,370,98
"2017-05-16 22:44:39,962","20,20,20","20,20,20","153,153,153",12,12,12,True,LinearRegression,4,18.21,95,1480,768,1480,711,370,95
"2017-05-16 21:43:02,335","20,20,20","20,20,20","153,153,153",12,12,12,True,LinearRegression,4,16.38,99,1480,812,1480,738,370,99
"2017-05-16 21:45:17,743","20,20,20","20,20,20","153,153,153",12,12,12,True,LinearRegression,4,16.31,110,1480,797,1480,721,370,110
"2017-05-16 21:47:31,849","20,20,20","20,20,20","153,153,153",12,12,12,True,LinearRegression,4,15.31,107,1480,774,1480,742,370,107
"2017-05-16 21:49:48,256","20,20,20","20,20,20","153,153,153",12,12,12,True,LinearRegression,4,15.34,112,1480,802,1480,707,370,112
"2017-05-16 21:52:06,568","20,20,20","20,20,20","153,153,153",12,12,12,True,LinearRegression,4,17.50,106,1480,797,1480,717,370,106
"2017-05-16 21:54:23,821","20,20,20","20,20,20","153,153,153",12,12,12,True,LinearRegression,4,17.25,96,1480,792,1480,735,370,96
"2017-05-16 21:56:39,481","20,20,20","20,20,20","153,153,153",12,12,12,True,LinearRegression,4,15.24,95,1480,768,1480,742,370,95
"2017-05-16 21:58:57,359","20,20,20","20,20,20","153,153,153",12,12,12,True,LinearRegression,4,16.24,93,1480,818,1480,714,370,93
"2017-05-16 22:01:17,294","20,20,20","20,20,20","153,153,153",12,12,12,True,LinearRegression,4,18.43,102,1480,760,1480,690,370,102
"2017-05-16 22:03:31,416","20,20,20","20,20,20","153,153,153",12,12,12,True,LinearRegression,4,13.13,99,1480,815,1480,706,370,99
"2017-05-16 22:05:45,725","20,20,20","20,20,20","153,153,153",12,12,12,True,LinearRegression,4,13.67,94,1480,773,1480,733,370,94
"2017-05-16 22:08:03,289","20,20,20","20,20,20","153,153,153",12,12,12,True,LinearRegression,4,16.92,93,1480,824,1480,702,370,93
"2017-05-16 22:10:19,530","20,20,20","20,20,20","153,153,153",12,12,12,True,LinearRegression,4,13.87,96,1480,811,1480,721,370,96
"2017-05-16 22:12:35,618","20,20,20","20,20,20","153,153,153",12,12,12,True,LinearRegression,4,12.71,96,1480,804,1480,703,370,96
"2017-05-16 22:14:51,447","20,20,20","20,20,20","153,153,153",12,12,12,True,LinearRegression,4,16.46,99,1480,800,1480,699,370,99
"2017-05-16 22:17:09,596","20,20,20","20,20,20","153,153,153",12,12,12,True,LinearRegression,4,15.91,87,1480,780,1480,725,370,87
"2017-05-16 22:19:24,848","20,20,20","20,20,20","153,153,153",12,12,12,True,LinearRegression,4,13.62,99,1480,806,1480,735,370,99
"2017-05-16 22:21:40,915","20,20,20","20,20,20","153,153,153",12,12,12,True,LinearRegression,4,15.55,101,1480,747,1480,708,370,101
"2017-05-16 22:23:55,019","20,20,20","20,20,20","153,153,153",12,12,12,True,LinearRegression,4,14.04,104,1480,771,1480,710,370,104
"2017-05-16 22:26:09,792","20,20,20","20,20,20","153,153,153",12,12,12,True,LinearRegression,4,15.63,105,1480,735,1480,724,370,105
"2017-05-16 22:28:23,375","20,20,20","20,20,20","153,153,153",12,12,12,True,LinearRegression,4,13.72,102,1480,795,1480,681,370,102
"2017-05-16 22:30:39,312","20,20,20","20,20,20","153,153,153",12,12,12,True,LinearRegression,4,15.91,119,1480,792,1480,721,370,119
"2017-05-16 22:32:53,322","20,20,20","20,20,20","153,153,153",12,12,12,True,LinearRegression,4,13.78,107,1480,753,1480,708,370,107
"2017-05-16 22:35:10,046","20,20,20","20,20,20","153,153,153",12,12,12,True,LinearRegression,4,17.25,101,1480,807,1480,697,370,101
"2017-05-16 22:37:24,388","20,20,20","20,20,20","153,153,153",12,12,12,True,LinearRegression,4,14.05,115,1480,816,1480,763,370,115
"2017-05-16 21:43:05,665","20,20,20","20,20,20","153,153,153",12,12,12,True,LinearRegression,4,19.79,90,1480,813,1480,717,370,90
"2017-05-16 21:45:23,487","20,20,20","20,20,20","153,153,153",12,12,12,True,LinearRegression,4,15.97,110,1480,775,1480,710,370,110
"2017-05-16 21:47:45,514","20,20,20","20,20,20","153,153,153",12,12,12,True,LinearRegression,4,21.38,89,1480,757,1480,698,370,89
"2017-05-16 21:50:00,079","20,20,20","20,20,20","153,153,153",12,12,12,True,LinearRegression,4,14.49,100,1480,805,1480,714,370,100
"2017-05-16 21:52:17,989","20,20,20","20,20,20","153,153,153",12,12,12,True,LinearRegression,4,15.12,95,1480,768,1480,729,370,95
"2017-05-16 21:54:34,607","20,20,20","20,20,20","153,153,153",12,12,12,True,LinearRegression,4,16.00,101,1480,745,1480,723,370,101
"2017-05-16 21:56:51,153","20,20,20","20,20,20","153,153,153",12,12,12,True,LinearRegression,4,15.15,109,1480,802,1480,715,370,109
"2017-05-16 21:59:06,220","20,20,20","20,20,20","153,153,153",12,12,12,True,LinearRegression,4,14.41,92,1480,801,1480,696,370,92
"2017-05-16 22:01:22,337","20,20,20","20,20,20","153,153,153",12,12,12,True,LinearRegression,4,13.62,99,1480,817,1480,749,370,99
"2017-05-16 22:03:39,502","20,20,20","20,20,20","153,153,153",12,12,12,True,LinearRegression,4,16.26,107,1480,773,1480,706,370,107
"2017-05-16 22:05:55,079","20,20,20","20,20,20","153,153,153",12,12,12,True,LinearRegression,4,15.75,97,1480,799,1480,709,370,97
"2017-05-16 22:08:09,717","20,20,20","20,20,20","153,153,153",12,12,12,True,LinearRegression,4,14.64,103,1480,773,1480,704,370,103
"2017-05-16 22:10:25,324","20,20,20","20,20,20","153,153,153",12,12,12,True,LinearRegression,4,14.74,104,1480,780,1480,740,370,104
"2017-05-16 22:12:38,346","20,20,20","20,20,20","153,153,153",12,12,12,True,LinearRegression,4,13.73,104,1480,804,1480,731,370,104
"2017-05-16 22:14:52,012","20,20,20","20,20,20","153,153,153",12,12,12,True,LinearRegression,4,14.05,95,1480,814,1480,705,370,95
"2017-05-16 22:17:05,435","20,20,20","20,20,20","153,153,153",12,12,12,True,LinearRegression,4,13.82,105,1480,789,1480,717,370,105
"2017-05-16 22:19:22,186","20,20,20","20,20,20","153,153,153",12,12,12,True,LinearRegression,4,14.89,104,1480,799,1480,676,370,104
"2017-05-16 22:21:37,481","20,20,20","20,20,20","153,153,153",12,12,12,True,LinearRegression,4,13.87,101,1480,794,1480,720,370,101
"2017-05-16 22:23:52,692","20,20,20","20,20,20","153,153,153",12,12,12,True,LinearRegression,4,13.86,94,1480,805,1480,716,370,94
"2017-05-16 22:26:05,967","20,20,20","20,20,20","153,153,153",12,12,12,True,LinearRegression,4,13.68,86,1480,811,1480,747,370,86
"2017-05-16 22:28:20,380","20,20,20","20,20,20","153,153,153",12,12,12,True,LinearRegression,4,12.72,106,1480,771,1480,745,370,106
"2017-05-16 22:30:35,360","20,20,20","20,20,20","153,153,153",12,12,12,True,LinearRegression,4,13.40,97,1480,791,1480,709,370,97
"2017-05-16 22:32:47,907","20,20,20","20,20,20","153,153,153",12,12,12,True,LinearRegression,4,12.70,90,1480,809,1480,705,370,90
"2017-05-16 22:35:03,774","20,20,20","20,20,20","153,153,153",12,12,12,True,LinearRegression,4,13.94,97,1480,763,1480,719,370,97
"2017-05-16 22:37:17,994","20,20,20","20,20,20","153,153,153",12,12,12,True,LinearRegression,4,13.78,95,1480,807,1480,717,370,95
