"2017-05-02 19:06:25,093",I,R,Rule,Input size,Input area,Automaton size,Concat before,Estimator,Tot. fit time,Training sets,Testing sets,Distractor period,Point (success),1 fully correct seq.,1 mispredicted time steps,2 fully correct seq.,2 mispredicted time steps,3 fully correct seq.,3 mispredicted time steps
"2017-05-02 19:20:29,588","30,30,30","30,20,20",54,4,0,0,True,LinearRegression,23.83,32,32,200,0,3,60,1,83,0,120
"2017-05-02 19:21:07,664","30,30,30","30,20,20",54,4,0,0,True,LinearRegression,20.49,32,32,200,0,6,54,8,45,2,68
"2017-05-02 19:21:46,700","30,30,30","30,20,20",54,4,0,0,True,LinearRegression,20.75,32,32,200,0,1,62,2,83,2,72
"2017-05-02 19:22:24,621","30,30,30","30,20,20",54,4,0,0,True,LinearRegression,20.32,32,32,200,0,3,57,2,78,2,81
"2017-05-02 19:23:01,627","30,30,30","30,20,20",54,4,0,0,True,LinearRegression,20.04,32,32,200,0,5,59,7,50,0,83
"2017-05-02 19:23:40,641","30,30,30","30,20,20",54,4,0,0,True,LinearRegression,20.88,32,32,200,0,4,57,7,50,2,87
"2017-05-02 19:06:46,162","30,30,30","30,20,20",54,4,0,0,True,LinearRegression,22.95,32,32,200,0,8,42,2,73,0,86
"2017-05-02 19:07:26,037","30,30,30","30,20,20",54,4,0,0,True,LinearRegression,21.98,32,32,200,0,7,51,6,49,5,66
"2017-05-02 19:08:06,510","30,30,30","30,20,20",54,4,0,0,True,LinearRegression,21.51,32,32,200,0,0,66,8,41,3,71
"2017-05-02 19:08:47,603","30,30,30","30,20,20",54,4,0,0,True,LinearRegression,22.41,32,32,200,0,9,50,12,46,5,69
"2017-05-02 19:09:28,988","30,30,30","30,20,20",54,4,0,0,True,LinearRegression,22.62,32,32,200,0,5,47,3,68,3,77
"2017-05-02 19:10:08,952","30,30,30","30,20,20",54,4,0,0,True,LinearRegression,21.35,32,32,200,0,2,49,6,52,10,44
"2017-05-02 19:10:48,394","30,30,30","30,20,20",54,4,0,0,True,LinearRegression,21.65,32,32,200,0,4,59,5,73,3,79
"2017-05-02 19:11:28,866","30,30,30","30,20,20",54,4,0,0,True,LinearRegression,21.79,32,32,200,0,5,45,1,102,0,119
"2017-05-02 19:12:08,054","30,30,30","30,20,20",54,4,0,0,True,LinearRegression,20.72,32,32,200,0,8,45,3,60,0,83
"2017-05-02 19:12:49,020","30,30,30","30,20,20",54,4,0,0,True,LinearRegression,22.27,32,32,200,0,5,53,2,63,3,78
"2017-05-02 19:13:29,764","30,30,30","30,20,20",54,4,0,0,True,LinearRegression,21.94,32,32,200,0,4,53,1,86,0,97
"2017-05-02 19:14:10,109","30,30,30","30,20,20",54,4,0,0,True,LinearRegression,21.92,32,32,200,0,7,57,1,87,1,96
"2017-05-02 19:14:50,440","30,30,30","30,20,20",54,4,0,0,True,LinearRegression,22.56,32,32,200,0,5,61,6,70,8,58
"2017-05-02 19:15:29,061","30,30,30","30,20,20",54,4,0,0,True,LinearRegression,20.69,32,32,200,0,6,55,7,51,4,61
"2017-05-02 19:16:09,916","30,30,30","30,20,20",54,4,0,0,True,LinearRegression,23.02,32,32,200,0,7,54,2,88,2,97
"2017-05-02 19:16:51,090","30,30,30","30,20,20",54,4,0,0,True,LinearRegression,23.03,32,32,200,0,6,54,5,65,4,65
"2017-05-02 19:17:30,282","30,30,30","30,20,20",54,4,0,0,True,LinearRegression,20.93,32,32,200,0,7,51,4,58,1,98
"2017-05-02 19:18:12,341","30,30,30","30,20,20",54,4,0,0,True,LinearRegression,24.05,32,32,200,0,7,44,2,62,6,72
"2017-05-02 19:18:55,713","30,30,30","30,20,20",54,4,0,0,True,LinearRegression,25.51,32,32,200,0,4,51,6,66,2,81
"2017-05-02 19:19:36,089","30,30,30","30,20,20",54,4,0,0,True,LinearRegression,22.49,32,32,200,0,8,53,4,69,0,115
"2017-05-02 19:20:16,557","30,30,30","30,20,20",54,4,0,0,True,LinearRegression,22.90,32,32,200,0,5,45,1,83,0,111
"2017-05-02 19:21:00,439","30,30,30","30,20,20",54,4,0,0,True,LinearRegression,25.70,32,32,200,0,2,68,0,82,1,91
"2017-05-02 19:21:42,431","30,30,30","30,20,20",54,4,0,0,True,LinearRegression,23.72,32,32,200,0,5,59,1,92,3,85
"2017-05-02 19:22:23,850","30,30,30","30,20,20",54,4,0,0,True,LinearRegression,23.55,32,32,200,0,6,54,0,97,0,121
"2017-05-02 19:23:04,740","30,30,30","30,20,20",54,4,0,0,True,LinearRegression,22.37,32,32,200,0,5,66,0,112,0,119
"2017-05-02 19:06:31,579","30,30,30","30,20,20",54,4,0,0,True,LinearRegression,21.27,32,32,200,0,6,51,3,61,2,74
"2017-05-02 19:07:11,511","30,30,30","30,20,20",54,4,0,0,True,LinearRegression,21.58,32,32,200,0,7,52,2,73,0,115
"2017-05-02 19:07:51,296","30,30,30","30,20,20",54,4,0,0,True,LinearRegression,21.49,32,32,200,0,5,57,5,57,2,72
"2017-05-02 19:08:31,412","30,30,30","30,20,20",54,4,0,0,True,LinearRegression,21.45,32,32,200,0,5,52,1,94,0,119
"2017-05-02 19:09:10,795","30,30,30","30,20,20",54,4,0,0,True,LinearRegression,21.44,32,32,200,0,9,42,6,65,0,114
"2017-05-02 19:09:51,300","30,30,30","30,20,20",54,4,0,0,True,LinearRegression,22.01,32,32,200,0,1,74,1,81,0,102
"2017-05-02 19:10:30,582","30,30,30","30,20,20",54,4,0,0,True,LinearRegression,21.16,32,32,200,0,7,47,1,92,0,124
"2017-05-02 19:11:09,957","30,30,30","30,20,20",54,4,0,0,True,LinearRegression,21.19,32,32,200,0,2,58,5,63,4,68
"2017-05-02 19:11:48,911","30,30,30","30,20,20",54,4,0,0,True,LinearRegression,20.72,32,32,200,0,6,56,4,68,0,93
"2017-05-02 19:12:27,392","30,30,30","30,20,20",54,4,0,0,True,LinearRegression,20.58,32,32,200,0,9,49,9,43,9,49
"2017-05-02 19:13:05,347","30,30,30","30,20,20",54,4,0,0,True,LinearRegression,19.86,32,32,200,0,3,63,0,98,0,123
"2017-05-02 19:13:42,872","30,30,30","30,20,20",54,4,0,0,True,LinearRegression,19.59,32,32,200,0,6,45,3,71,1,86
"2017-05-02 19:14:20,676","30,30,30","30,20,20",54,4,0,0,True,LinearRegression,19.76,32,32,200,0,5,55,4,64,6,53
"2017-05-02 19:15:00,129","30,30,30","30,20,20",54,4,0,0,True,LinearRegression,21.41,32,32,200,0,7,43,9,49,1,81
"2017-05-02 19:15:39,786","30,30,30","30,20,20",54,4,0,0,True,LinearRegression,21.62,32,32,200,0,7,49,4,52,0,85
"2017-05-02 19:16:19,805","30,30,30","30,20,20",54,4,0,0,True,LinearRegression,21.59,32,32,200,0,11,32,3,61,0,90
"2017-05-02 19:16:59,439","30,30,30","30,20,20",54,4,0,0,True,LinearRegression,21.03,32,32,200,0,5,49,2,65,2,85
"2017-05-02 19:17:39,078","30,30,30","30,20,20",54,4,0,0,True,LinearRegression,21.30,32,32,200,0,6,50,0,85,1,78
"2017-05-02 19:18:18,772","30,30,30","30,20,20",54,4,0,0,True,LinearRegression,21.47,32,32,200,0,7,45,9,42,2,90
"2017-05-02 19:18:59,032","30,30,30","30,20,20",54,4,0,0,True,LinearRegression,21.50,32,32,200,0,11,47,7,61,3,73
"2017-05-02 19:19:38,038","30,30,30","30,20,20",54,4,0,0,True,LinearRegression,21.15,32,32,200,0,4,46,2,67,0,87
"2017-05-02 19:20:17,265","30,30,30","30,20,20",54,4,0,0,True,LinearRegression,21.11,32,32,200,0,10,43,7,63,4,63
"2017-05-02 19:20:56,696","30,30,30","30,20,20",54,4,0,0,True,LinearRegression,21.34,32,32,200,0,2,65,1,81,1,88
"2017-05-02 19:21:36,030","30,30,30","30,20,20",54,4,0,0,True,LinearRegression,21.22,32,32,200,0,7,46,3,55,10,33
"2017-05-02 19:22:15,397","30,30,30","30,20,20",54,4,0,0,True,LinearRegression,21.06,32,32,200,0,7,43,2,61,1,96
