"2017-05-16 21:40:48,587",I,R,Rule,Input size,Input area,Automaton size,Concat before,Estimator,Tot. fit time,Training sets,Testing sets,Distractor period,Point (success),1 fully correct seq.,1 mispredicted time steps,2 fully correct seq.,2 mispredicted time steps,3 fully correct seq.,3 mispredicted time steps,4 fully correct seq.,4 mispredicted time steps
"2017-05-16 21:57:05,101","30,30,30,30","30,35,35,35","153,153,153,153",4,0,0,True,LinearRegression,46.63,32,32,200,0,6,55,19,14,24,8,28,4
"2017-05-16 21:58:23,739","30,30,30,30","30,35,35,35","153,153,153,153",4,0,0,True,LinearRegression,47.30,32,32,200,0,6,69,14,26,21,15,24,9
"2017-05-16 21:59:39,953","30,30,30,30","30,35,35,35","153,153,153,153",4,0,0,True,LinearRegression,44.99,32,32,200,0,8,55,18,21,24,8,28,4
"2017-05-16 22:01:00,354","30,30,30,30","30,35,35,35","153,153,153,153",4,0,0,True,LinearRegression,48.70,32,32,200,0,4,61,13,25,20,15,22,11
"2017-05-16 22:02:19,010","30,30,30,30","30,35,35,35","153,153,153,153",4,0,0,True,LinearRegression,47.13,32,32,200,0,8,40,19,17,26,6,30,2
"2017-05-16 22:03:36,700","30,30,30,30","30,35,35,35","153,153,153,153",4,0,0,True,LinearRegression,45.56,32,32,200,0,5,47,17,17,25,8,30,2
"2017-05-16 22:04:54,616","30,30,30,30","30,35,35,35","153,153,153,153",4,0,0,True,LinearRegression,46.34,32,32,200,0,3,58,13,24,15,17,24,8
"2017-05-16 22:06:12,617","30,30,30,30","30,35,35,35","153,153,153,153",4,0,0,True,LinearRegression,45.58,32,32,200,0,9,43,17,20,22,11,24,8
"2017-05-16 22:07:30,537","30,30,30,30","30,35,35,35","153,153,153,153",4,0,0,True,LinearRegression,45.17,32,32,200,0,3,52,11,27,18,16,24,8
"2017-05-16 22:08:47,121","30,30,30,30","30,35,35,35","153,153,153,153",4,0,0,True,LinearRegression,44.55,32,32,200,0,2,54,15,22,26,6,30,2
"2017-05-16 22:10:04,487","30,30,30,30","30,35,35,35","153,153,153,153",4,0,0,True,LinearRegression,45.41,32,32,200,0,7,46,15,20,25,8,28,5
"2017-05-16 22:11:22,875","30,30,30,30","30,35,35,35","153,153,153,153",4,0,0,True,LinearRegression,46.50,32,32,200,0,2,75,11,29,20,16,24,9
"2017-05-16 22:12:38,535","30,30,30,30","30,35,35,35","153,153,153,153",4,0,0,True,LinearRegression,43.93,32,32,200,0,2,65,9,35,21,15,27,7
"2017-05-16 22:13:56,659","30,30,30,30","30,35,35,35","153,153,153,153",4,0,0,True,LinearRegression,45.94,32,32,200,0,5,49,19,15,31,1,29,3
"2017-05-16 21:42:13,322","30,30,30,30","30,35,35,35","153,153,153,153",4,0,0,True,LinearRegression,53.80,32,32,200,0,4,62,18,21,20,14,26,6
"2017-05-16 21:43:38,177","30,30,30,30","30,35,35,35","153,153,153,153",4,0,0,True,LinearRegression,53.65,32,32,200,0,1,76,16,22,25,9,27,5
"2017-05-16 21:45:02,290","30,30,30,30","30,35,35,35","153,153,153,153",4,0,0,True,LinearRegression,53.96,32,32,200,0,4,48,18,18,25,8,27,5
"2017-05-16 21:46:28,666","30,30,30,30","30,35,35,35","153,153,153,153",4,0,0,True,LinearRegression,55.03,32,32,200,0,5,52,15,22,23,10,27,5
"2017-05-16 21:47:50,990","30,30,30,30","30,35,35,35","153,153,153,153",4,0,0,True,LinearRegression,51.43,32,32,200,0,2,60,9,32,15,22,25,7
"2017-05-16 21:49:08,448","30,30,30,30","30,35,35,35","153,153,153,153",4,0,0,True,LinearRegression,45.96,32,32,200,0,5,49,21,15,22,11,25,7
