"2017-05-17 14:37:46,896",I,R,Rule,Input size,Input area,Automaton size,Concat before,Estimator,Tot. fit time,Training sets,Testing sets,Distractor period,Point (success),1 fully correct seq.,1 mispredicted time steps,2 fully correct seq.,2 mispredicted time steps,3 fully correct seq.,3 mispredicted time steps,4 fully correct seq.,4 mispredicted time steps,5 fully correct seq.,5 mispredicted time steps
"2017-05-17 14:29:43,872","30,30,30,30,30","30,30,30,30,30","165,165,165,165,165",4,0,0,True,LinearRegression,46.09,32,32,200,0,3,49,8,33,14,26,13,26,13,24
"2017-05-17 14:30:59,578","30,30,30,30,30","30,30,30,30,30","165,165,165,165,165",4,0,0,True,LinearRegression,43.04,32,32,200,0,9,42,12,26,10,30,12,29,12,32
"2017-05-17 14:32:14,085","30,30,30,30,30","30,30,30,30,30","165,165,165,165,165",4,0,0,True,LinearRegression,42.17,32,32,200,0,5,60,9,50,9,45,7,44,8,43
"2017-05-17 14:33:32,199","30,30,30,30,30","30,30,30,30,30","165,165,165,165,165",4,0,0,True,LinearRegression,46.12,32,32,200,0,7,52,8,45,6,55,6,53,9,41
"2017-05-17 14:34:47,485","30,30,30,30,30","30,30,30,30,30","165,165,165,165,165",4,0,0,True,LinearRegression,42.84,32,32,200,0,2,58,4,47,6,45,9,40,5,50
"2017-05-17 14:36:04,012","30,30,30,30,30","30,30,30,30,30","165,165,165,165,165",4,0,0,True,LinearRegression,44.32,32,32,200,0,1,68,4,39,8,39,10,37,13,30
"2017-05-17 14:37:22,390","30,30,30,30,30","30,30,30,30,30","165,165,165,165,165",4,0,0,True,LinearRegression,46.49,32,32,200,0,2,61,3,53,5,49,7,49,9,46
"2017-05-17 14:38:40,924","30,30,30,30,30","30,30,30,30,30","165,165,165,165,165",4,0,0,True,LinearRegression,47.36,32,32,200,0,4,54,7,42,7,34,7,35,6,32
"2017-05-17 14:39:57,821","30,30,30,30,30","30,30,30,30,30","165,165,165,165,165",4,0,0,True,LinearRegression,44.32,32,32,200,0,4,51,8,39,9,36,9,35,11,31
"2017-05-17 14:41:15,946","30,30,30,30,30","30,30,30,30,30","165,165,165,165,165",4,0,0,True,LinearRegression,46.03,32,32,200,0,2,62,3,59,3,59,2,58,1,58
"2017-05-17 14:42:35,214","30,30,30,30,30","30,30,30,30,30","165,165,165,165,165",4,0,0,True,LinearRegression,46.95,32,32,200,0,7,38,13,28,14,25,15,25,16,23
"2017-05-17 14:43:53,693","30,30,30,30,30","30,30,30,30,30","165,165,165,165,165",4,0,0,True,LinearRegression,46.55,32,32,200,0,2,70,3,56,2,55,9,41,9,44
