"2017-05-16 22:44:40,984",Is,Rs,Rule,Input size,Input area,Automaton size,Concat before,Estimator,D,Tot. fit time,Final misclassif.,1 out of,1 misclassif,2 out of,2 misclassif,3 out of,3 misclassif
"2017-05-16 22:47:20,595","20,20,20","20,20,20","195,195,195",12,12,12,True,LinearRegression,4,27.55,89,1480,812,1480,707,370,89
"2017-05-16 22:49:56,609","20,20,20","20,20,20","195,195,195",12,12,12,True,LinearRegression,4,26.68,96,1480,792,1480,714,370,96
"2017-05-16 22:52:26,141","20,20,20","20,20,20","195,195,195",12,12,12,True,LinearRegression,4,18.10,95,1480,762,1480,725,370,95
"2017-05-16 22:54:52,821","20,20,20","20,20,20","195,195,195",12,12,12,True,LinearRegression,4,18.16,100,1480,785,1480,724,370,100
"2017-05-16 22:57:27,877","20,20,20","20,20,20","195,195,195",12,12,12,True,LinearRegression,4,24.51,110,1480,788,1480,757,370,110
"2017-05-16 23:00:04,645","20,20,20","20,20,20","195,195,195",12,12,12,True,LinearRegression,4,25.27,90,1480,796,1480,722,370,90
"2017-05-16 23:02:30,083","20,20,20","20,20,20","195,195,195",12,12,12,True,LinearRegression,4,17.37,97,1480,798,1480,699,370,97
"2017-05-16 23:05:07,108","20,20,20","20,20,20","195,195,195",12,12,12,True,LinearRegression,4,27.36,93,1480,796,1480,740,370,93
"2017-05-16 23:07:47,714","20,20,20","20,20,20","195,195,195",12,12,12,True,LinearRegression,4,26.35,100,1480,816,1480,757,370,100
"2017-05-16 23:10:26,953","20,20,20","20,20,20","195,195,195",12,12,12,True,LinearRegression,4,28.37,101,1480,786,1480,741,370,101
"2017-05-16 23:12:59,508","20,20,20","20,20,20","195,195,195",12,12,12,True,LinearRegression,4,22.34,102,1480,778,1480,701,370,102
"2017-05-16 23:15:29,733","20,20,20","20,20,20","195,195,195",12,12,12,True,LinearRegression,4,18.58,102,1480,818,1480,729,370,102
"2017-05-16 23:18:00,354","20,20,20","20,20,20","195,195,195",12,12,12,True,LinearRegression,4,21.70,106,1480,802,1480,718,370,106
"2017-05-16 23:20:32,548","20,20,20","20,20,20","195,195,195",12,12,12,True,LinearRegression,4,22.62,105,1480,758,1480,742,370,105
"2017-05-16 23:23:01,256","20,20,20","20,20,20","195,195,195",12,12,12,True,LinearRegression,4,17.52,95,1480,764,1480,707,370,95
"2017-05-16 23:25:34,029","20,20,20","20,20,20","195,195,195",12,12,12,True,LinearRegression,4,23.08,101,1480,791,1480,731,370,101
"2017-05-16 23:28:11,463","20,20,20","20,20,20","195,195,195",12,12,12,True,LinearRegression,4,26.34,108,1480,823,1480,735,370,108
"2017-05-16 23:30:52,180","20,20,20","20,20,20","195,195,195",12,12,12,True,LinearRegression,4,28.48,99,1480,809,1480,756,370,99
"2017-05-16 23:33:30,389","20,20,20","20,20,20","195,195,195",12,12,12,True,LinearRegression,4,28.07,105,1480,746,1480,728,370,105
"2017-05-16 23:35:57,812","20,20,20","20,20,20","195,195,195",12,12,12,True,LinearRegression,4,19.10,101,1480,836,1480,715,370,101
"2017-05-16 23:38:35,560","20,20,20","20,20,20","195,195,195",12,12,12,True,LinearRegression,4,26.25,97,1480,786,1480,718,370,97
"2017-05-16 23:41:15,477","20,20,20","20,20,20","195,195,195",12,12,12,True,LinearRegression,4,29.71,93,1480,789,1480,734,370,93
"2017-05-16 23:43:49,761","20,20,20","20,20,20","195,195,195",12,12,12,True,LinearRegression,4,22.05,94,1480,789,1480,729,370,94
"2017-05-16 23:46:19,317","20,20,20","20,20,20","195,195,195",12,12,12,True,LinearRegression,4,17.99,96,1480,819,1480,736,370,96
"2017-05-16 23:48:51,583","20,20,20","20,20,20","195,195,195",12,12,12,True,LinearRegression,4,23.26,104,1480,796,1480,726,370,104
"2017-05-16 22:39:37,521","20,20,20","20,20,20","195,195,195",12,12,12,True,LinearRegression,4,11.55,99,1480,771,1480,731,370,99
"2017-05-16 22:41:53,756","20,20,20","20,20,20","195,195,195",12,12,12,True,LinearRegression,4,14.26,109,1480,781,1480,762,370,109
"2017-05-16 22:44:11,630","20,20,20","20,20,20","195,195,195",12,12,12,True,LinearRegression,4,17.64,96,1480,773,1480,774,370,96
"2017-05-16 22:46:25,290","20,20,20","20,20,20","195,195,195",12,12,12,True,LinearRegression,4,14.26,106,1480,799,1480,718,370,106
"2017-05-16 22:48:42,765","20,20,20","20,20,20","195,195,195",12,12,12,True,LinearRegression,4,16.68,102,1480,797,1480,744,370,102
"2017-05-16 22:50:59,102","20,20,20","20,20,20","195,195,195",12,12,12,True,LinearRegression,4,15.38,105,1480,800,1480,734,370,105
"2017-05-16 22:53:14,294","20,20,20","20,20,20","195,195,195",12,12,12,True,LinearRegression,4,14.26,100,1480,819,1480,744,370,100
"2017-05-16 22:55:28,540","20,20,20","20,20,20","195,195,195",12,12,12,True,LinearRegression,4,14.82,87,1480,803,1480,721,370,87
"2017-05-16 22:57:44,079","20,20,20","20,20,20","195,195,195",12,12,12,True,LinearRegression,4,15.80,102,1480,746,1480,687,370,102
"2017-05-16 23:00:01,649","20,20,20","20,20,20","195,195,195",12,12,12,True,LinearRegression,4,16.56,108,1480,790,1480,751,370,108
"2017-05-16 23:02:15,897","20,20,20","20,20,20","195,195,195",12,12,12,True,LinearRegression,4,13.54,99,1480,800,1480,699,370,99
"2017-05-16 23:04:30,303","20,20,20","20,20,20","195,195,195",12,12,12,True,LinearRegression,4,14.08,100,1480,804,1480,724,370,100
"2017-05-16 23:06:44,027","20,20,20","20,20,20","195,195,195",12,12,12,True,LinearRegression,4,13.06,105,1480,783,1480,716,370,105
"2017-05-16 23:08:56,821","20,20,20","20,20,20","195,195,195",12,12,12,True,LinearRegression,4,13.72,108,1480,780,1480,716,370,108
"2017-05-16 23:11:10,822","20,20,20","20,20,20","195,195,195",12,12,12,True,LinearRegression,4,13.86,101,1480,777,1480,734,370,101
"2017-05-16 23:13:28,063","20,20,20","20,20,20","195,195,195",12,12,12,True,LinearRegression,4,16.03,92,1480,796,1480,711,370,92
"2017-05-16 23:15:43,787","20,20,20","20,20,20","195,195,195",12,12,12,True,LinearRegression,4,15.15,106,1480,807,1480,716,370,106
"2017-05-16 23:17:59,281","20,20,20","20,20,20","195,195,195",12,12,12,True,LinearRegression,4,14.64,92,1480,783,1480,733,370,92
"2017-05-16 23:20:14,312","20,20,20","20,20,20","195,195,195",12,12,12,True,LinearRegression,4,16.13,99,1480,820,1480,758,370,99
"2017-05-16 23:22:16,593","20,20,20","20,20,20","195,195,195",12,12,12,True,LinearRegression,4,12.51,103,1480,815,1480,699,370,103
"2017-05-16 23:24:17,935","20,20,20","20,20,20","195,195,195",12,12,12,True,LinearRegression,4,13.52,96,1480,827,1480,760,370,96
"2017-05-16 23:26:21,009","20,20,20","20,20,20","195,195,195",12,12,12,True,LinearRegression,4,14.30,103,1480,822,1480,742,370,103
"2017-05-16 23:28:20,666","20,20,20","20,20,20","195,195,195",12,12,12,True,LinearRegression,4,12.19,114,1480,790,1480,717,370,114
"2017-05-16 23:30:17,838","20,20,20","20,20,20","195,195,195",12,12,12,True,LinearRegression,4,10.78,96,1480,758,1480,703,370,96
"2017-05-16 23:32:18,651","20,20,20","20,20,20","195,195,195",12,12,12,True,LinearRegression,4,13.53,94,1480,791,1480,732,370,94
