"2017-05-18 11:32:09,264",I,R,Rule,Input size,Input area,Automaton size,Concat before,Estimator,Tot. fit time,Training sets,Testing sets,Distractor period,Point (success),1 fully correct seq.,1 mispredicted time steps,2 fully correct seq.,2 mispredicted time steps,3 fully correct seq.,3 mispredicted time steps
"2017-05-18 11:32:53,393","30,30,30","30,20,20","146,146,146",4,0,0,True,LinearRegression,25.56,32,32,200,0,3,58,0,92,0,156
"2017-05-18 11:33:37,164","30,30,30","30,20,20","146,146,146",4,0,0,True,LinearRegression,25.46,32,32,200,0,8,53,1,98,0,143
"2017-05-18 11:34:21,157","30,30,30","30,20,20","146,146,146",4,0,0,True,LinearRegression,25.59,32,32,200,0,4,54,0,107,0,152
"2017-05-18 11:35:01,047","30,30,30","30,20,20","146,146,146",4,0,0,True,LinearRegression,22.07,32,32,200,0,8,57,0,122,0,134
"2017-05-18 11:35:40,166","30,30,30","30,20,20","146,146,146",4,0,0,True,LinearRegression,22.38,32,32,200,0,4,43,1,86,0,125
"2017-05-18 11:36:17,621","30,30,30","30,20,20","146,146,146",4,0,0,True,LinearRegression,20.01,32,32,200,0,3,55,3,66,0,103
"2017-05-18 11:36:54,658","30,30,30","30,20,20","146,146,146",4,0,0,True,LinearRegression,19.53,32,32,200,0,7,57,6,61,3,78
"2017-05-18 11:37:29,411","30,30,30","30,20,20","146,146,146",4,0,0,True,LinearRegression,18.32,32,32,200,0,7,51,0,112,0,157
"2017-05-18 11:38:05,436","30,30,30","30,20,20","146,146,146",4,0,0,True,LinearRegression,19.87,32,32,200,0,6,46,1,128,0,148
"2017-05-18 11:38:46,285","30,30,30","30,20,20","146,146,146",4,0,0,True,LinearRegression,23.40,32,32,200,0,5,54,1,91,0,134
"2017-05-18 11:39:24,271","30,30,30","30,20,20","146,146,146",4,0,0,True,LinearRegression,20.96,32,32,200,0,4,56,2,90,1,94
"2017-05-18 11:39:58,890","30,30,30","30,20,20","146,146,146",4,0,0,True,LinearRegression,18.40,32,32,200,0,2,61,2,89,1,101
"2017-05-18 11:40:37,120","30,30,30","30,20,20","146,146,146",4,0,0,True,LinearRegression,21.14,32,32,200,0,7,55,0,123,0,154
"2017-05-18 11:41:17,615","30,30,30","30,20,20","146,146,146",4,0,0,True,LinearRegression,22.47,32,32,200,0,3,56,0,133,0,157
"2017-05-18 11:42:00,830","30,30,30","30,20,20","146,146,146",4,0,0,True,LinearRegression,25.66,32,32,200,0,4,58,0,108,0,130
"2017-05-18 11:42:43,635","30,30,30","30,20,20","146,146,146",4,0,0,True,LinearRegression,25.27,32,32,200,0,3,54,0,126,0,160
"2017-05-18 11:43:27,301","30,30,30","30,20,20","146,146,146",4,0,0,True,LinearRegression,25.18,32,32,200,0,6,48,0,117,0,146
