"2017-04-30 19:03:06,873",Is,Rs,Rule,Input size,Input area,Automaton size,Concat before,Estimator,D,Tot. fit time,Final misclassif.,
"2017-04-30 19:35:31,544","20,20,20","20,20,20",45,12,12,12,True,LinearRegression,4,12.91,106,1480,1022,1480,933,370,106
"2017-04-30 19:37:32,087","20,20,20","20,20,20",45,12,12,12,True,LinearRegression,4,12.50,125,1480,985,1480,927,370,125
"2017-04-30 19:39:33,809","20,20,20","20,20,20",45,12,12,12,True,LinearRegression,4,12.25,122,1480,1017,1480,919,370,122
"2017-04-30 19:41:35,143","20,20,20","20,20,20",45,12,12,12,True,LinearRegression,4,11.92,111,1480,1045,1480,890,370,111
"2017-04-30 19:43:37,530","20,20,20","20,20,20",45,12,12,12,True,LinearRegression,4,14.15,110,1480,1022,1480,947,370,110
"2017-04-30 19:45:39,783","20,20,20","20,20,20",45,12,12,12,True,LinearRegression,4,13.02,104,1480,1006,1480,903,370,104
"2017-04-30 19:47:41,721","20,20,20","20,20,20",45,12,12,12,True,LinearRegression,4,13.46,122,1480,1001,1480,928,370,122
"2017-04-30 19:49:45,814","20,20,20","20,20,20",45,12,12,12,True,LinearRegression,4,14.53,103,1480,1006,1480,919,370,103
"2017-04-30 19:51:45,274","20,20,20","20,20,20",45,12,12,12,True,LinearRegression,4,11.17,115,1480,1024,1480,941,370,115
"2017-04-30 19:53:46,318","20,20,20","20,20,20",45,12,12,12,True,LinearRegression,4,11.58,121,1480,1021,1480,914,370,121
"2017-04-30 19:05:10,285","20,20,20","20,20,20",45,12,12,12,True,LinearRegression,4,14.21,111,1480,965,1480,929,370,111
"2017-04-30 19:07:13,047","20,20,20","20,20,20",45,12,12,12,True,LinearRegression,4,13.78,106,1480,1033,1480,933,370,106
"2017-04-30 19:09:17,882","20,20,20","20,20,20",45,12,12,12,True,LinearRegression,4,15.10,106,1480,995,1480,893,370,106
"2017-04-30 19:11:21,720","20,20,20","20,20,20",45,12,12,12,True,LinearRegression,4,14.41,122,1480,1001,1480,901,370,122
"2017-04-30 19:13:24,496","20,20,20","20,20,20",45,12,12,12,True,LinearRegression,4,14.23,107,1480,1029,1480,917,370,107
"2017-04-30 19:15:28,209","20,20,20","20,20,20",45,12,12,12,True,LinearRegression,4,14.11,117,1480,980,1480,906,370,117
"2017-04-30 19:17:30,914","20,20,20","20,20,20",45,12,12,12,True,LinearRegression,4,13.68,128,1480,968,1480,906,370,128
"2017-04-30 19:19:31,508","20,20,20","20,20,20",45,12,12,12,True,LinearRegression,4,12.17,126,1480,992,1480,908,370,126
"2017-04-30 19:21:32,845","20,20,20","20,20,20",45,12,12,12,True,LinearRegression,4,13.15,111,1480,1046,1480,933,370,111
"2017-04-30 19:23:33,646","20,20,20","20,20,20",45,12,12,12,True,LinearRegression,4,12.98,106,1480,1021,1480,920,370,106
"2017-04-30 19:25:32,779","20,20,20","20,20,20",45,12,12,12,True,LinearRegression,4,10.86,121,1480,973,1480,908,370,121
"2017-04-30 19:27:31,182","20,20,20","20,20,20",45,12,12,12,True,LinearRegression,4,10.97,115,1480,1058,1480,899,370,115
"2017-04-30 19:29:34,595","20,20,20","20,20,20",45,12,12,12,True,LinearRegression,4,13.96,118,1480,1011,1480,921,370,118
"2017-04-30 19:31:38,818","20,20,20","20,20,20",45,12,12,12,True,LinearRegression,4,14.89,125,1480,1015,1480,911,370,125
"2017-04-30 19:33:38,110","20,20,20","20,20,20",45,12,12,12,True,LinearRegression,4,10.91,110,1480,1033,1480,905,370,110
"2017-04-30 19:35:41,361","20,20,20","20,20,20",45,12,12,12,True,LinearRegression,4,14.67,122,1480,1027,1480,885,370,122
"2017-04-30 19:37:44,429","20,20,20","20,20,20",45,12,12,12,True,LinearRegression,4,14.39,115,1480,1017,1480,886,370,115
"2017-04-30 19:39:48,240","20,20,20","20,20,20",45,12,12,12,True,LinearRegression,4,14.38,120,1480,1013,1480,885,370,120
"2017-04-30 19:41:51,772","20,20,20","20,20,20",45,12,12,12,True,LinearRegression,4,14.42,118,1480,987,1480,921,370,118
"2017-04-30 19:43:53,576","20,20,20","20,20,20",45,12,12,12,True,LinearRegression,4,13.92,106,1480,1019,1480,891,370,106
"2017-04-30 19:45:57,107","20,20,20","20,20,20",45,12,12,12,True,LinearRegression,4,13.02,120,1480,1006,1480,933,370,120
"2017-04-30 19:47:59,513","20,20,20","20,20,20",45,12,12,12,True,LinearRegression,4,13.80,113,1480,1017,1480,892,370,113
"2017-04-30 19:50:03,408","20,20,20","20,20,20",45,12,12,12,True,LinearRegression,4,14.21,105,1480,1011,1480,917,370,105
"2017-04-30 19:52:05,807","20,20,20","20,20,20",45,12,12,12,True,LinearRegression,4,12.95,120,1480,997,1480,886,370,120
"2017-04-30 19:54:07,841","20,20,20","20,20,20",45,12,12,12,True,LinearRegression,4,13.69,126,1480,985,1480,914,370,126
"2017-06-06 12:00:50,915","20,20,20","20,20,20","45,45,45",12,12,12,True,LinearRegression,4,12.13,99,1480,1015,1480,897,370,99
"2017-06-06 12:03:04,277","20,20,20","20,20,20","45,45,45",12,12,12,True,LinearRegression,4,15.00,109,1480,1009,1480,920,370,109
"2017-06-06 12:05:16,457","20,20,20","20,20,20","45,45,45",12,12,12,True,LinearRegression,4,14.03,107,1480,1028,1480,892,370,107
"2017-06-06 12:07:20,282","20,20,20","20,20,20","45,45,45",12,12,12,True,LinearRegression,4,14.45,119,1480,995,1480,907,370,119
"2017-06-06 12:09:23,331","20,20,20","20,20,20","45,45,45",12,12,12,True,LinearRegression,4,14.02,122,1480,1018,1480,941,370,122
"2017-06-06 12:11:32,539","20,20,20","20,20,20","45,45,45",12,12,12,True,LinearRegression,4,14.71,113,1480,1017,1480,928,370,113
"2017-06-06 12:13:42,210","20,20,20","20,20,20","45,45,45",12,12,12,True,LinearRegression,4,14.87,116,1480,1027,1480,909,370,116
"2017-06-06 12:15:51,462","20,20,20","20,20,20","45,45,45",12,12,12,True,LinearRegression,4,15.58,118,1480,1017,1480,902,370,118
"2017-06-06 12:17:57,730","20,20,20","20,20,20","45,45,45",12,12,12,True,LinearRegression,4,14.24,111,1480,1035,1480,914,370,111
"2017-06-06 12:20:04,030","20,20,20","20,20,20","45,45,45",12,12,12,True,LinearRegression,4,13.96,117,1480,1024,1480,885,370,117
"2017-06-06 12:22:10,175","20,20,20","20,20,20","45,45,45",12,12,12,True,LinearRegression,4,13.03,107,1480,1017,1480,910,370,107
"2017-06-06 12:24:17,850","20,20,20","20,20,20","45,45,45",12,12,12,True,LinearRegression,4,14.45,107,1480,999,1480,941,370,107
"2017-06-06 12:26:26,087","20,20,20","20,20,20","45,45,45",12,12,12,True,LinearRegression,4,14.73,119,1480,950,1480,897,370,119
"2017-06-06 12:28:33,346","20,20,20","20,20,20","45,45,45",12,12,12,True,LinearRegression,4,14.48,120,1480,999,1480,889,370,120
"2017-06-06 12:30:40,832","20,20,20","20,20,20","45,45,45",12,12,12,True,LinearRegression,4,14.50,112,1480,1018,1480,916,370,112
"2017-06-06 12:32:48,651","20,20,20","20,20,20","45,45,45",12,12,12,True,LinearRegression,4,14.13,112,1480,973,1480,907,370,112
"2017-06-06 12:34:56,685","20,20,20","20,20,20","45,45,45",12,12,12,True,LinearRegression,4,14.27,109,1480,990,1480,871,370,109
"2017-06-06 12:37:03,528","20,20,20","20,20,20","45,45,45",12,12,12,True,LinearRegression,4,13.48,120,1480,1021,1480,926,370,120
"2017-06-06 12:39:11,899","20,20,20","20,20,20","45,45,45",12,12,12,True,LinearRegression,4,15.75,121,1480,996,1480,914,370,121
"2017-06-06 12:41:18,618","20,20,20","20,20,20","45,45,45",12,12,12,True,LinearRegression,4,13.67,112,1480,1023,1480,908,370,112
"2017-06-06 12:43:26,996","20,20,20","20,20,20","45,45,45",12,12,12,True,LinearRegression,4,14.56,111,1480,1043,1480,891,370,111
"2017-06-06 12:45:35,622","20,20,20","20,20,20","45,45,45",12,12,12,True,LinearRegression,4,15.67,131,1480,1025,1480,939,370,131
"2017-06-06 12:47:42,635","20,20,20","20,20,20","45,45,45",12,12,12,True,LinearRegression,4,13.01,126,1480,1048,1480,936,370,126
"2017-06-06 12:49:49,896","20,20,20","20,20,20","45,45,45",12,12,12,True,LinearRegression,4,13.39,112,1480,982,1480,878,370,112
"2017-06-06 12:51:55,816","20,20,20","20,20,20","45,45,45",12,12,12,True,LinearRegression,4,14.07,106,1480,1007,1480,933,370,106
