"2017-05-04 05:13:16,945",Is,Rs,Rule,Input size,Input area,Automaton size,Concat before,Estimator,D,Tot. fit time,Final misclassif.,1 out of,1 misclassif
"2017-05-04 05:15:09,439","20","50",102,12,12,12,True,LinearRegression,4,6.10,58,370,58
"2017-05-04 05:16:58,690","20","50",102,12,12,12,True,LinearRegression,4,4.90,54,370,54
"2017-05-04 05:18:50,541","20","50",102,12,12,12,True,LinearRegression,4,4.98,59,370,59
"2017-05-04 05:20:41,386","20","50",102,12,12,12,True,LinearRegression,4,5.40,59,370,59
"2017-05-04 05:22:30,458","20","50",102,12,12,12,True,LinearRegression,4,4.67,61,370,61
"2017-05-04 05:24:20,137","20","50",102,12,12,12,True,LinearRegression,4,4.63,60,370,60
"2017-05-04 05:26:11,435","20","50",102,12,12,12,True,LinearRegression,4,7.04,55,370,55
"2017-05-04 05:28:04,078","20","50",102,12,12,12,True,LinearRegression,4,6.82,57,370,57
"2017-05-04 05:29:58,388","20","50",102,12,12,12,True,LinearRegression,4,7.02,55,370,55
"2017-05-04 05:31:51,910","20","50",102,12,12,12,True,LinearRegression,4,6.61,60,370,60
"2017-05-04 05:33:44,019","20","50",102,12,12,12,True,LinearRegression,4,4.66,54,370,54
"2017-05-04 05:35:36,612","20","50",102,12,12,12,True,LinearRegression,4,6.41,56,370,56
"2017-05-04 05:37:28,310","20","50",102,12,12,12,True,LinearRegression,4,4.62,55,370,55
"2017-05-04 05:39:19,634","20","50",102,12,12,12,True,LinearRegression,4,5.66,55,370,55
"2017-05-04 05:41:10,049","20","50",102,12,12,12,True,LinearRegression,4,4.60,57,370,57
"2017-05-04 05:43:03,223","20","50",102,12,12,12,True,LinearRegression,4,5.82,57,370,57
"2017-05-04 05:44:54,457","20","50",102,12,12,12,True,LinearRegression,4,4.54,56,370,56
"2017-05-04 05:46:44,718","20","50",102,12,12,12,True,LinearRegression,4,4.77,54,370,54
"2017-05-04 05:48:35,208","20","50",102,12,12,12,True,LinearRegression,4,4.77,53,370,53
"2017-05-04 05:50:25,321","20","50",102,12,12,12,True,LinearRegression,4,5.35,43,370,43
"2017-05-04 05:52:18,876","20","50",102,12,12,12,True,LinearRegression,4,6.06,55,370,55
