"2017-05-02 21:00:33,050",I,R,Rule,Input size,Input area,Automaton size,Concat before,Estimator,Tot. fit time,Training sets,Testing sets,Distractor period,Point (success),1 fully correct seq.,1 mispredicted time steps,2 fully correct seq.,2 mispredicted time steps,3 fully correct seq.,3 mispredicted time steps,4 fully correct seq.,4 mispredicted time steps,5 fully correct seq.,5 mispredicted time steps
"2017-05-02 21:01:53,511","30,30,30,30,30","30,30,30,30,30",102,4,0,0,True,LinearRegression,44.75,32,32,200,0,2,56,3,53,3,46,7,44,8,44
"2017-05-02 21:03:17,061","30,30,30,30,30","30,30,30,30,30",102,4,0,0,True,LinearRegression,48.75,32,32,200,0,2,66,3,46,8,35,11,31,8,41
"2017-05-02 21:04:45,065","30,30,30,30,30","30,30,30,30,30",102,4,0,0,True,LinearRegression,51.71,32,32,200,0,1,67,4,53,8,43,10,41,13,33
"2017-05-02 21:06:19,055","30,30,30,30,30","30,30,30,30,30",102,4,0,0,True,LinearRegression,56.76,32,32,200,0,7,44,7,45,12,32,15,28,14,28
"2017-05-02 21:07:48,928","30,30,30,30,30","30,30,30,30,30",102,4,0,0,True,LinearRegression,53.08,32,32,200,0,5,52,8,38,12,32,15,26,12,29
"2017-05-02 21:09:12,556","30,30,30,30,30","30,30,30,30,30",102,4,0,0,True,LinearRegression,47.32,32,32,200,0,3,51,4,36,12,28,15,25,15,27
"2017-05-02 21:10:37,484","30,30,30,30,30","30,30,30,30,30",102,4,0,0,True,LinearRegression,50.01,32,32,200,0,3,59,6,49,7,48,6,39,9,33
"2017-05-02 21:12:09,153","30,30,30,30,30","30,30,30,30,30",102,4,0,0,True,LinearRegression,53.91,32,32,200,0,5,56,12,30,13,22,13,27,13,24
"2017-05-02 21:13:39,416","30,30,30,30,30","30,30,30,30,30",102,4,0,0,True,LinearRegression,53.59,32,32,200,0,4,54,8,33,13,25,16,20,17,18
"2017-05-02 21:15:13,192","30,30,30,30,30","30,30,30,30,30",102,4,0,0,True,LinearRegression,56.93,32,32,200,0,3,60,6,41,4,46,3,47,8,42
"2017-05-02 21:16:40,668","30,30,30,30,30","30,30,30,30,30",102,4,0,0,True,LinearRegression,50.61,32,32,200,0,1,61,10,30,11,32,12,33,10,37
"2017-05-02 21:18:01,156","30,30,30,30,30","30,30,30,30,30",102,4,0,0,True,LinearRegression,44.62,32,32,200,0,4,53,8,43,10,36,9,43,12,36
"2017-05-02 21:19:20,566","30,30,30,30,30","30,30,30,30,30",102,4,0,0,True,LinearRegression,44.74,32,32,200,0,8,44,8,32,13,26,11,27,12,25
"2017-05-02 21:20:39,200","30,30,30,30,30","30,30,30,30,30",102,4,0,0,True,LinearRegression,43.72,32,32,200,0,2,62,10,38,11,40,8,40,7,37
"2017-05-02 21:22:00,692","30,30,30,30,30","30,30,30,30,30",102,4,0,0,True,LinearRegression,45.56,32,32,200,0,3,57,9,36,7,37,6,37,5,36
"2017-05-02 21:23:18,573","30,30,30,30,30","30,30,30,30,30",102,4,0,0,True,LinearRegression,42.93,32,32,200,0,11,34,13,30,17,19,16,20,14,23
"2017-05-02 21:24:37,551","30,30,30,30,30","30,30,30,30,30",102,4,0,0,True,LinearRegression,43.28,32,32,200,0,4,68,6,44,4,47,5,41,8,34
"2017-05-02 21:26:01,176","30,30,30,30,30","30,30,30,30,30",102,4,0,0,True,LinearRegression,47.06,32,32,200,0,3,64,2,50,4,43,6,41,5,42
"2017-05-02 21:27:22,877","30,30,30,30,30","30,30,30,30,30",102,4,0,0,True,LinearRegression,45.86,32,32,200,0,3,56,7,45,5,38,10,34,9,30
"2017-05-02 21:28:41,475","30,30,30,30,30","30,30,30,30,30",102,4,0,0,True,LinearRegression,43.15,32,32,200,0,6,57,7,42,12,33,11,33,12,33
"2017-05-02 21:30:02,652","30,30,30,30,30","30,30,30,30,30",102,4,0,0,True,LinearRegression,45.91,32,32,200,0,1,59,6,46,9,34,12,29,10,30
"2017-05-02 21:31:20,783","30,30,30,30,30","30,30,30,30,30",102,4,0,0,True,LinearRegression,42.93,32,32,200,0,3,60,3,45,8,35,4,39,6,39
"2017-05-02 21:32:45,458","30,30,30,30,30","30,30,30,30,30",102,4,0,0,True,LinearRegression,48.18,32,32,200,0,2,57,7,43,14,27,12,25,16,21
"2017-05-02 21:34:03,681","30,30,30,30,30","30,30,30,30,30",102,4,0,0,True,LinearRegression,42.92,32,32,200,0,3,68,3,50,3,50,4,40,4,39
"2017-05-02 21:35:22,433","30,30,30,30,30","30,30,30,30,30",102,4,0,0,True,LinearRegression,42.97,32,32,200,0,7,47,10,42,11,33,11,31,12,30
"2017-05-02 20:52:05,268","30,30,30,30,30","30,30,30,30,30",102,4,0,0,True,LinearRegression,48.89,32,32,200,0,1,56,4,42,12,28,11,30,11,30
"2017-05-02 20:53:32,899","30,30,30,30,30","30,30,30,30,30",102,4,0,0,True,LinearRegression,50.97,32,32,200,0,3,66,5,50,10,34,9,34,10,39
"2017-05-02 20:54:57,359","30,30,30,30,30","30,30,30,30,30",102,4,0,0,True,LinearRegression,47.94,32,32,200,0,4,58,11,41,8,34,12,31,13,30
"2017-05-02 20:56:24,153","30,30,30,30,30","30,30,30,30,30",102,4,0,0,True,LinearRegression,49.65,32,32,200,0,7,44,10,37,12,29,13,28,10,30
"2017-05-02 20:57:45,701","30,30,30,30,30","30,30,30,30,30",102,4,0,0,True,LinearRegression,45.53,32,32,200,0,3,55,7,41,12,32,10,39,9,39
"2017-05-02 20:59:09,760","30,30,30,30,30","30,30,30,30,30",102,4,0,0,True,LinearRegression,47.75,32,32,200,0,5,59,4,44,8,40,5,46,8,41
"2017-05-02 21:00:33,910","30,30,30,30,30","30,30,30,30,30",102,4,0,0,True,LinearRegression,47.81,32,32,200,0,6,58,11,36,9,32,9,30,12,26
"2017-05-02 21:01:59,344","30,30,30,30,30","30,30,30,30,30",102,4,0,0,True,LinearRegression,49.63,32,32,200,0,3,62,5,53,7,46,8,47,9,42
"2017-05-02 21:03:25,291","30,30,30,30,30","30,30,30,30,30",102,4,0,0,True,LinearRegression,49.75,32,32,200,0,6,46,6,40,7,39,10,34,10,39
"2017-05-02 21:04:46,030","30,30,30,30,30","30,30,30,30,30",102,4,0,0,True,LinearRegression,45.81,32,32,200,0,3,57,6,44,8,37,11,34,13,29
"2017-05-02 21:06:08,004","30,30,30,30,30","30,30,30,30,30",102,4,0,0,True,LinearRegression,46.93,32,32,200,0,4,58,5,44,11,37,9,34,11,31
"2017-05-02 21:07:31,160","30,30,30,30,30","30,30,30,30,30",102,4,0,0,True,LinearRegression,48.33,32,32,200,0,3,68,7,45,8,39,12,35,11,35
"2017-05-02 21:08:54,620","30,30,30,30,30","30,30,30,30,30",102,4,0,0,True,LinearRegression,48.39,32,32,200,0,3,52,14,26,14,23,18,17,14,25
"2017-05-02 21:10:17,674","30,30,30,30,30","30,30,30,30,30",102,4,0,0,True,LinearRegression,47.99,32,32,200,0,7,44,14,31,13,30,8,31,6,39
"2017-05-02 21:11:40,982","30,30,30,30,30","30,30,30,30,30",102,4,0,0,True,LinearRegression,48.33,32,32,200,0,3,48,7,44,7,40,11,35,13,31
"2017-05-02 21:13:04,435","30,30,30,30,30","30,30,30,30,30",102,4,0,0,True,LinearRegression,48.57,32,32,200,0,4,61,5,44,7,38,8,37,13,30
"2017-05-02 21:14:27,234","30,30,30,30,30","30,30,30,30,30",102,4,0,0,True,LinearRegression,48.07,32,32,200,0,6,48,7,42,13,29,11,33,12,28
"2017-05-02 21:15:50,650","30,30,30,30,30","30,30,30,30,30",102,4,0,0,True,LinearRegression,48.41,32,32,200,0,5,55,3,53,5,45,5,39,8,39
"2017-05-02 21:17:13,672","30,30,30,30,30","30,30,30,30,30",102,4,0,0,True,LinearRegression,48.04,32,32,200,0,5,54,10,42,12,36,10,36,12,30
"2017-05-02 21:18:36,659","30,30,30,30,30","30,30,30,30,30",102,4,0,0,True,LinearRegression,48.05,32,32,200,0,4,56,6,39,14,26,12,26,13,24
"2017-05-02 21:19:59,946","30,30,30,30,30","30,30,30,30,30",102,4,0,0,True,LinearRegression,48.25,32,32,200,0,5,53,11,32,12,28,9,37,12,35
