"2017-05-05 05:20:09,013",Is,Rs,Rule,Input size,Input area,Automaton size,Concat before,Estimator,D,Tot. fit time,Final misclassif.,1 out of,1 misclassif,2 out of,2 misclassif,3 out of,3 misclassif,4 out of,4 misclassif
"2017-05-05 05:26:05,121","20,20,20,20","50,50,50,50",90,12,12,12,True,LinearRegression,4,47.93,82,1480,601,1480,556,1480,535,370,82
"2017-05-05 05:32:02,618","20,20,20,20","50,50,50,50",90,12,12,12,True,LinearRegression,4,47.45,85,1480,614,1480,545,1480,517,370,85
"2017-05-05 05:38:00,420","20,20,20,20","50,50,50,50",90,12,12,12,True,LinearRegression,4,48.06,86,1480,600,1480,562,1480,558,370,86
"2017-05-05 05:43:57,668","20,20,20,20","50,50,50,50",90,12,12,12,True,LinearRegression,4,47.92,85,1480,584,1480,574,1480,566,370,85
"2017-05-05 05:49:54,689","20,20,20,20","50,50,50,50",90,12,12,12,True,LinearRegression,4,47.92,97,1480,609,1480,567,1480,560,370,97
"2017-05-05 05:55:52,107","20,20,20,20","50,50,50,50",90,12,12,12,True,LinearRegression,4,48.47,97,1480,619,1480,545,1480,574,370,97
"2017-05-05 06:01:47,911","20,20,20,20","50,50,50,50",90,12,12,12,True,LinearRegression,4,47.20,91,1480,590,1480,563,1480,508,370,91
"2017-05-05 06:07:46,699","20,20,20,20","50,50,50,50",90,12,12,12,True,LinearRegression,4,47.82,84,1480,607,1480,557,1480,528,370,84
"2017-05-05 06:13:44,508","20,20,20,20","50,50,50,50",90,12,12,12,True,LinearRegression,4,47.87,92,1480,593,1480,566,1480,542,370,92
"2017-05-05 06:19:42,567","20,20,20,20","50,50,50,50",90,12,12,12,True,LinearRegression,4,47.69,83,1480,613,1480,592,1480,567,370,83
"2017-05-05 06:25:42,665","20,20,20,20","50,50,50,50",90,12,12,12,True,LinearRegression,4,48.25,88,1480,613,1480,563,1480,549,370,88
"2017-05-05 06:31:42,824","20,20,20,20","50,50,50,50",90,12,12,12,True,LinearRegression,4,47.92,84,1480,640,1480,574,1480,552,370,84
"2017-05-05 06:37:44,178","20,20,20,20","50,50,50,50",90,12,12,12,True,LinearRegression,4,47.98,101,1480,600,1480,574,1480,539,370,101
"2017-05-05 06:43:41,719","20,20,20,20","50,50,50,50",90,12,12,12,True,LinearRegression,4,48.25,88,1480,611,1480,567,1480,549,370,88
"2017-05-05 06:49:38,684","20,20,20,20","50,50,50,50",90,12,12,12,True,LinearRegression,4,47.80,84,1480,584,1480,557,1480,542,370,84
"2017-05-05 06:55:34,494","20,20,20,20","50,50,50,50",90,12,12,12,True,LinearRegression,4,47.04,89,1480,596,1480,577,1480,547,370,89
"2017-05-05 07:01:37,763","20,20,20,20","50,50,50,50",90,12,12,12,True,LinearRegression,4,47.42,96,1480,623,1480,588,1480,539,370,96
"2017-05-05 07:07:35,969","20,20,20,20","50,50,50,50",90,12,12,12,True,LinearRegression,4,48.16,89,1480,618,1480,548,1480,560,370,89
"2017-05-05 07:13:33,599","20,20,20,20","50,50,50,50",90,12,12,12,True,LinearRegression,4,46.94,85,1480,611,1480,547,1480,561,370,85
"2017-05-05 07:19:33,379","20,20,20,20","50,50,50,50",90,12,12,12,True,LinearRegression,4,47.10,90,1480,620,1480,544,1480,517,370,90
"2017-05-05 07:25:31,700","20,20,20,20","50,50,50,50",90,12,12,12,True,LinearRegression,4,47.79,80,1480,607,1480,578,1480,554,370,80
"2017-05-05 07:31:31,499","20,20,20,20","50,50,50,50",90,12,12,12,True,LinearRegression,4,48.21,94,1480,611,1480,578,1480,569,370,94
"2017-05-05 07:37:28,363","20,20,20,20","50,50,50,50",90,12,12,12,True,LinearRegression,4,48.35,75,1480,610,1480,559,1480,517,370,75
"2017-05-05 07:43:26,858","20,20,20,20","50,50,50,50",90,12,12,12,True,LinearRegression,4,47.92,94,1480,596,1480,573,1480,524,370,94
"2017-05-05 07:49:25,401","20,20,20,20","50,50,50,50",90,12,12,12,True,LinearRegression,4,47.19,86,1480,616,1480,566,1480,536,370,86
"2017-05-05 06:42:12,642","20,20,20,20","50,50,50,50",90,12,12,12,True,LinearRegression,4,87.45,89,1480,598,1480,548,1480,558,370,89
"2017-05-05 06:50:31,581","20,20,20,20","50,50,50,50",90,12,12,12,True,LinearRegression,4,83.20,80,1480,587,1480,549,1480,510,370,80
"2017-05-05 06:58:43,722","20,20,20,20","50,50,50,50",90,12,12,12,True,LinearRegression,4,74.94,83,1480,625,1480,574,1480,554,370,83
"2017-05-05 07:06:52,005","20,20,20,20","50,50,50,50",90,12,12,12,True,LinearRegression,4,73.40,81,1480,610,1480,558,1480,532,370,81
"2017-05-05 07:15:14,798","20,20,20,20","50,50,50,50",90,12,12,12,True,LinearRegression,4,85.10,101,1480,610,1480,581,1480,542,370,101
"2017-05-05 07:23:37,452","20,20,20,20","50,50,50,50",90,12,12,12,True,LinearRegression,4,85.39,83,1480,624,1480,576,1480,545,370,83
"2017-05-05 07:31:56,503","20,20,20,20","50,50,50,50",90,12,12,12,True,LinearRegression,4,78.85,99,1480,591,1480,571,1480,535,370,99
