"2017-05-18 10:52:07,981",Is,Rs,Rule,Input size,Input area,Automaton size,Concat before,Estimator,Tot. fit time,Training sets,Testing sets,Distractor period,Point (success),Fully correct seq.,Mispredicted time steps,2 fully correct seq.,2 mispredicted time steps,3 fully correct seq.,3 mispredicted time steps
"2017-05-18 11:26:14,263","16,16,16","100,100,100","54,54,54",7,7,7,True,LinearRegression,1332.73,500,100,50,0,0,1503,0,1797,0,1454
"2017-05-18 11:59:18,115","16,16,16","100,100,100","54,54,54",7,7,7,True,LinearRegression,1261.01,500,100,50,0,0,1457,0,1809,0,1493
"2017-05-18 12:34:04,248","16,16,16","100,100,100","54,54,54",7,7,7,True,LinearRegression,1310.51,500,100,50,0,0,1465,0,1724,0,1508
"2017-05-18 13:09:34,672","16,16,16","100,100,100","54,54,54",7,7,7,True,LinearRegression,1318.04,500,100,50,0,0,1417,0,1871,0,1407
"2017-05-18 13:47:46,251","16,16,16","100,100,100","54,54,54",7,7,7,True,LinearRegression,1485.75,500,100,50,0,0,1395,0,1611,0,1644
"2017-05-18 14:24:19,473","16,16,16","100,100,100","54,54,54",7,7,7,True,LinearRegression,1422.04,500,100,50,0,0,1450,0,1698,0,1464
"2017-05-18 14:57:33,610","16,16,16","100,100,100","54,54,54",7,7,7,True,LinearRegression,1286.03,500,100,50,0,0,1450,0,1880,0,1517
"2017-05-18 15:29:49,157","16,16,16","100,100,100","54,54,54",7,7,7,True,LinearRegression,1231.49,500,100,50,0,0,1348,0,1683,0,1487
"2017-05-18 16:02:26,621","16,16,16","100,100,100","54,54,54",7,7,7,True,LinearRegression,1213.59,500,100,50,0,0,1424,0,1730,0,1570
"2017-05-18 16:36:09,736","16,16,16","100,100,100","54,54,54",7,7,7,True,LinearRegression,1273.20,500,100,50,0,0,1422,0,1697,0,1527
"2017-05-18 17:13:36,889","16,16,16","100,100,100","54,54,54",7,7,7,True,LinearRegression,1428.36,500,100,50,0,0,1426,0,1952,0,1449
"2017-05-18 17:50:35,928","16,16,16","100,100,100","54,54,54",7,7,7,True,LinearRegression,1425.40,500,100,50,0,0,1445,0,1755,0,1507
"2017-05-18 18:25:08,251","16,16,16","100,100,100","54,54,54",7,7,7,True,LinearRegression,1346.03,500,100,50,0,0,1412,0,1842,0,1509
"2017-05-18 18:59:21,022","16,16,16","100,100,100","54,54,54",7,7,7,True,LinearRegression,1314.12,500,100,50,0,0,1410,0,1768,0,1519
"2017-05-18 19:31:40,020","16,16,16","100,100,100","54,54,54",7,7,7,True,LinearRegression,1227.51,500,100,50,0,0,1469,0,1959,0,1490
"2017-05-18 20:08:56,081","16,16,16","100,100,100","54,54,54",7,7,7,True,LinearRegression,1445.82,500,100,50,0,0,1434,0,1788,0,1525
"2017-05-18 20:43:25,925","16,16,16","100,100,100","54,54,54",7,7,7,True,LinearRegression,1262.70,500,100,50,0,0,1453,0,1655,0,1521
"2017-05-18 21:18:26,805","16,16,16","100,100,100","54,54,54",7,7,7,True,LinearRegression,1332.25,500,100,50,0,0,1397,0,1695,0,1500
"2017-05-18 21:54:23,230","16,16,16","100,100,100","54,54,54",7,7,7,True,LinearRegression,1364.41,500,100,50,0,0,1453,0,1779,0,1593
"2017-05-18 22:29:05,567","16,16,16","100,100,100","54,54,54",7,7,7,True,LinearRegression,1283.23,500,100,50,0,0,1483,0,1757,0,1522
"2017-05-18 23:03:35,188","16,16,16","100,100,100","54,54,54",7,7,7,True,LinearRegression,1278.07,500,100,50,0,0,1395,0,1874,0,1463
"2017-05-18 23:37:43,302","16,16,16","100,100,100","54,54,54",7,7,7,True,LinearRegression,1266.82,500,100,50,0,0,1417,0,1925,0,1444
"2017-05-19 00:09:45,338","16,16,16","100,100,100","54,54,54",7,7,7,True,LinearRegression,1232.31,500,100,50,0,0,1444,0,1749,0,1528
"2017-05-19 00:45:36,503","16,16,16","100,100,100","54,54,54",7,7,7,True,LinearRegression,1389.43,500,100,50,0,0,1414,0,1844,0,1520
"2017-05-19 01:20:51,952","16,16,16","100,100,100","54,54,54",7,7,7,True,LinearRegression,1315.54,500,100,50,0,0,1429,0,1747,0,1560
"2017-05-18 11:51:54,092","16,16,16","100,100,100","54,54,54",7,7,7,True,LinearRegression,1362.66,500,100,50,0,0,1444,0,1874,0,1507
"2017-05-18 12:26:56,510","16,16,16","100,100,100","54,54,54",7,7,7,True,LinearRegression,1311.69,500,100,50,0,0,1440,0,1814,0,1403
"2017-05-18 13:01:51,847","16,16,16","100,100,100","54,54,54",7,7,7,True,LinearRegression,1297.74,500,100,50,0,0,1465,0,1711,0,1501
"2017-05-18 13:38:25,755","16,16,16","100,100,100","54,54,54",7,7,7,True,LinearRegression,1354.04,500,100,50,0,0,1406,0,1867,0,1443
"2017-05-18 14:14:44,788","16,16,16","100,100,100","54,54,54",7,7,7,True,LinearRegression,1357.49,500,100,50,0,0,1407,0,1512,0,1548
"2017-05-18 14:49:33,691","16,16,16","100,100,100","54,54,54",7,7,7,True,LinearRegression,1348.23,500,100,50,0,0,1451,0,1773,0,1542
"2017-05-18 15:23:39,249","16,16,16","100,100,100","54,54,54",7,7,7,True,LinearRegression,1314.03,500,100,50,0,0,1415,0,1782,0,1448
"2017-05-18 15:56:17,879","16,16,16","100,100,100","54,54,54",7,7,7,True,LinearRegression,1203.39,500,100,50,0,0,1427,0,1866,0,1540
"2017-05-18 16:29:23,269","16,16,16","100,100,100","54,54,54",7,7,7,True,LinearRegression,1236.83,500,100,50,0,0,1455,0,1813,0,1519
"2017-05-18 17:08:12,404","16,16,16","100,100,100","54,54,54",7,7,7,True,LinearRegression,1475.53,500,100,50,0,0,1420,0,1833,0,1475
"2017-05-18 17:46:41,722","16,16,16","100,100,100","54,54,54",7,7,7,True,LinearRegression,1476.09,500,100,50,0,0,1388,0,1629,0,1539
"2017-05-18 18:19:51,734","16,16,16","100,100,100","54,54,54",7,7,7,True,LinearRegression,1250.67,500,100,50,0,0,1392,0,1801,0,1519
"2017-05-18 18:53:14,262","16,16,16","100,100,100","54,54,54",7,7,7,True,LinearRegression,1270.12,500,100,50,0,0,1426,0,1845,0,1512
