"2017-05-01 14:16:48,510",Is,Rs,Rule,Input size,Input area,Automaton size,Concat before,Estimator,Tot. fit time,Training sets,Testing sets,Distractor period,Point (success),Fully correct seq.,Mispredicted time steps,2 fully correct seq.,2 mispredicted time steps,3 fully correct seq.,3 mispredicted time steps
"2017-05-01 15:07:49,669","16,16,16","20,20,20",110,7,7,7,True,LinearRegression,38.57,500,100,50,0,0,1001,0,1000,0,1001
"2017-05-01 15:10:36,710","16,16,16","20,20,20",110,7,7,7,True,LinearRegression,38.46,500,100,50,0,0,1000,0,1000,0,1001
"2017-05-01 15:13:22,629","16,16,16","20,20,20",110,7,7,7,True,LinearRegression,38.45,500,100,50,0,0,1000,0,1001,0,1002
"2017-05-01 15:16:08,617","16,16,16","20,20,20",110,7,7,7,True,LinearRegression,38.41,500,100,50,0,0,1001,0,1000,0,1001
"2017-05-01 15:19:32,063","16,16,16","20,20,20",110,7,7,7,True,LinearRegression,45.77,500,100,50,0,0,1001,0,1001,0,1001
"2017-05-01 15:22:58,097","16,16,16","20,20,20",110,7,7,7,True,LinearRegression,45.86,500,100,50,0,0,1000,0,1000,0,1001
"2017-05-01 15:26:24,683","16,16,16","20,20,20",110,7,7,7,True,LinearRegression,46.37,500,100,50,0,0,1001,0,1001,0,1002
"2017-05-01 15:29:52,338","16,16,16","20,20,20",110,7,7,7,True,LinearRegression,46.89,500,100,50,0,0,1001,0,1000,0,1000
"2017-05-01 14:20:54,700","16,16,16","20,20,20",110,7,7,7,True,LinearRegression,39.18,500,100,50,0,0,1000,0,1001,0,1000
"2017-05-01 14:23:42,466","16,16,16","20,20,20",110,7,7,7,True,LinearRegression,38.57,500,100,50,0,0,1001,0,1000,0,1001
"2017-05-01 14:26:30,317","16,16,16","20,20,20",110,7,7,7,True,LinearRegression,38.88,500,100,50,0,0,1001,0,1001,0,1000
"2017-05-01 14:29:17,562","16,16,16","20,20,20",110,7,7,7,True,LinearRegression,38.43,500,100,50,0,0,1001,0,1001,0,1003
"2017-05-01 14:32:05,826","16,16,16","20,20,20",110,7,7,7,True,LinearRegression,38.94,500,100,50,0,0,1000,0,1001,0,1000
"2017-05-01 14:34:53,737","16,16,16","20,20,20",110,7,7,7,True,LinearRegression,38.43,500,100,50,0,0,1001,0,1002,0,1002
"2017-05-01 14:37:39,823","16,16,16","20,20,20",110,7,7,7,True,LinearRegression,38.65,500,100,50,0,0,1001,0,1000,0,1001
"2017-05-01 14:40:27,031","16,16,16","20,20,20",110,7,7,7,True,LinearRegression,38.63,500,100,50,0,0,1000,0,1000,0,1000
"2017-05-01 14:43:16,151","16,16,16","20,20,20",110,7,7,7,True,LinearRegression,38.28,500,100,50,0,0,1000,0,1000,0,1000
"2017-05-01 14:46:02,552","16,16,16","20,20,20",110,7,7,7,True,LinearRegression,38.55,500,100,50,0,0,1003,0,1000,0,1000
"2017-05-01 14:48:51,002","16,16,16","20,20,20",110,7,7,7,True,LinearRegression,39.25,500,100,50,0,0,1000,0,1002,0,1000
"2017-05-01 14:51:37,882","16,16,16","20,20,20",110,7,7,7,True,LinearRegression,38.92,500,100,50,0,0,1001,0,1002,0,1001
"2017-05-01 14:54:24,659","16,16,16","20,20,20",110,7,7,7,True,LinearRegression,38.45,500,100,50,0,0,1002,0,1001,0,1001
"2017-05-01 14:57:11,762","16,16,16","20,20,20",110,7,7,7,True,LinearRegression,38.51,500,100,50,0,0,1001,0,1000,0,1001
"2017-05-01 14:59:58,481","16,16,16","20,20,20",110,7,7,7,True,LinearRegression,38.51,500,100,50,0,0,1001,0,1003,0,1002
"2017-05-01 15:02:45,856","16,16,16","20,20,20",110,7,7,7,True,LinearRegression,38.67,500,100,50,0,0,1000,0,1000,0,1002
"2017-05-01 15:05:34,922","16,16,16","20,20,20",110,7,7,7,True,LinearRegression,38.65,500,100,50,0,0,1000,0,1000,0,1000
"2017-05-01 15:08:21,533","16,16,16","20,20,20",110,7,7,7,True,LinearRegression,38.55,500,100,50,0,0,1001,0,1004,0,1001
"2017-05-01 15:11:08,014","16,16,16","20,20,20",110,7,7,7,True,LinearRegression,38.58,500,100,50,0,0,1000,0,1001,0,1000
"2017-05-01 15:13:55,251","16,16,16","20,20,20",110,7,7,7,True,LinearRegression,38.89,500,100,50,0,0,1000,0,1002,0,1000
"2017-05-01 15:16:48,685","16,16,16","20,20,20",110,7,7,7,True,LinearRegression,40.98,500,100,50,0,0,1000,0,1002,0,1002
"2017-05-01 15:20:14,920","16,16,16","20,20,20",110,7,7,7,True,LinearRegression,46.05,500,100,50,0,0,1001,0,1001,0,1001
"2017-05-01 15:23:41,045","16,16,16","20,20,20",110,7,7,7,True,LinearRegression,45.74,500,100,50,0,0,1001,0,1001,0,1001
"2017-05-01 15:27:06,885","16,16,16","20,20,20",110,7,7,7,True,LinearRegression,46.22,500,100,50,0,0,1000,0,1002,0,1001
"2017-05-01 15:30:33,349","16,16,16","20,20,20",110,7,7,7,True,LinearRegression,46.54,500,100,50,0,0,1000,0,1001,0,1001
"2017-05-01 14:19:28,946","16,16,16","20,20,20",110,7,7,7,True,LinearRegression,39.25,500,100,50,0,0,1001,0,1000,0,1001
"2017-05-01 14:22:20,641","16,16,16","20,20,20",110,7,7,7,True,LinearRegression,38.83,500,100,50,0,0,1001,0,1001,0,1002
"2017-05-01 14:25:08,274","16,16,16","20,20,20",110,7,7,7,True,LinearRegression,38.63,500,100,50,0,0,1002,0,1000,0,1000
"2017-05-01 14:27:56,089","16,16,16","20,20,20",110,7,7,7,True,LinearRegression,38.69,500,100,50,0,0,1002,0,1000,0,1001
"2017-05-01 14:30:42,078","16,16,16","20,20,20",110,7,7,7,True,LinearRegression,38.52,500,100,50,0,0,1000,0,1000,0,1000
"2017-05-01 14:33:29,606","16,16,16","20,20,20",110,7,7,7,True,LinearRegression,38.49,500,100,50,0,0,1002,0,1001,0,1002
"2017-05-01 14:36:18,443","16,16,16","20,20,20",110,7,7,7,True,LinearRegression,38.59,500,100,50,0,0,1002,0,1000,0,1002
"2017-05-01 14:39:06,280","16,16,16","20,20,20",110,7,7,7,True,LinearRegression,39.36,500,100,50,0,0,1000,0,1001,0,1000
"2017-05-01 14:41:53,296","16,16,16","20,20,20",110,7,7,7,True,LinearRegression,38.73,500,100,50,0,0,1001,0,1000,0,1000
"2017-05-01 14:44:39,504","16,16,16","20,20,20",110,7,7,7,True,LinearRegression,38.83,500,100,50,0,0,1000,0,1002,0,1001
"2017-05-01 14:47:25,926","16,16,16","20,20,20",110,7,7,7,True,LinearRegression,38.62,500,100,50,0,0,1001,0,1000,0,1001
"2017-05-01 14:50:10,881","16,16,16","20,20,20",110,7,7,7,True,LinearRegression,38.44,500,100,50,0,0,1001,0,1000,0,1002
"2017-05-01 14:52:58,011","16,16,16","20,20,20",110,7,7,7,True,LinearRegression,38.54,500,100,50,0,0,1002,0,1001,0,1000
"2017-05-01 14:55:44,171","16,16,16","20,20,20",110,7,7,7,True,LinearRegression,38.68,500,100,50,0,0,1001,0,1002,0,1002
"2017-05-01 14:58:31,568","16,16,16","20,20,20",110,7,7,7,True,LinearRegression,38.64,500,100,50,0,0,1000,0,1001,0,1000
"2017-05-01 15:01:18,246","16,16,16","20,20,20",110,7,7,7,True,LinearRegression,38.62,500,100,50,0,0,1000,0,1000,0,1001
"2017-05-01 15:04:04,956","16,16,16","20,20,20",110,7,7,7,True,LinearRegression,38.75,500,100,50,0,0,1000,0,1001,0,1003
"2017-05-01 15:06:50,952","16,16,16","20,20,20",110,7,7,7,True,LinearRegression,38.58,500,100,50,0,0,1000,0,1000,0,1000
"2017-05-01 15:09:37,746","16,16,16","20,20,20",110,7,7,7,True,LinearRegression,38.45,500,100,50,0,0,1000,0,1001,0,1001
"2017-05-01 15:12:23,279","16,16,16","20,20,20",110,7,7,7,True,LinearRegression,38.63,500,100,50,0,0,1002,0,1002,0,1000
"2017-05-01 15:15:08,048","16,16,16","20,20,20",110,7,7,7,True,LinearRegression,38.41,500,100,50,0,0,1000,0,1000,0,1000
"2017-05-01 15:18:18,393","16,16,16","20,20,20",110,7,7,7,True,LinearRegression,43.46,500,100,50,0,0,1000,0,1002,0,1000
"2017-05-01 15:21:47,848","16,16,16","20,20,20",110,7,7,7,True,LinearRegression,47.71,500,100,50,0,0,1000,0,1000,0,1000
"2017-05-01 15:25:18,834","16,16,16","20,20,20",110,7,7,7,True,LinearRegression,47.96,500,100,50,0,0,1000,0,1000,0,1000
"2017-05-01 15:28:48,058","16,16,16","20,20,20",110,7,7,7,True,LinearRegression,47.76,500,100,50,0,0,1000,0,1001,0,1001
