"2017-05-23 18:00:05,035",Is,Rs,Rule,Input size,Input area,Automaton size,Concat before,Estimator,D,Tot. fit time,Final misclassif.,1 out of,1 misclassif,2 out of,2 misclassif,3 out of,3 misclassif
"2017-05-23 19:16:03,127","20,20,20","40,40,40","90,90,90",12,12,12,True,LinearRegression,4,28.79,106,1480,646,1480,595,370,106
"2017-05-23 19:20:01,225","20,20,20","40,40,40","90,90,90",12,12,12,True,LinearRegression,4,24.56,95,1480,656,1480,599,370,95
"2017-05-23 19:23:54,048","20,20,20","40,40,40","90,90,90",12,12,12,True,LinearRegression,4,27.40,95,1480,644,1480,601,370,95
"2017-05-23 19:27:44,511","20,20,20","40,40,40","90,90,90",12,12,12,True,LinearRegression,4,23.73,90,1480,635,1480,622,370,90
"2017-05-23 19:31:30,635","20,20,20","40,40,40","90,90,90",12,12,12,True,LinearRegression,4,23.08,105,1480,632,1480,596,370,105
"2017-05-23 19:35:19,756","20,20,20","40,40,40","90,90,90",12,12,12,True,LinearRegression,4,24.87,105,1480,630,1480,598,370,105
"2017-05-23 19:39:05,981","20,20,20","40,40,40","90,90,90",12,12,12,True,LinearRegression,4,23.73,109,1480,621,1480,600,370,109
"2017-05-23 18:28:35,684","20,20,20","40,40,40","90,90,90",12,12,12,True,LinearRegression,4,58.41,91,1480,648,1480,592,370,91
"2017-05-23 18:33:56,725","20,20,20","40,40,40","90,90,90",12,12,12,True,LinearRegression,4,56.89,102,1480,630,1480,609,370,102
"2017-05-23 18:39:11,573","20,20,20","40,40,40","90,90,90",12,12,12,True,LinearRegression,4,47.67,120,1480,632,1480,601,370,120
"2017-05-23 18:44:49,394","20,20,20","40,40,40","90,90,90",12,12,12,True,LinearRegression,4,57.81,110,1480,634,1480,604,370,110
"2017-05-23 18:50:14,024","20,20,20","40,40,40","90,90,90",12,12,12,True,LinearRegression,4,60.73,108,1480,644,1480,612,370,108
"2017-05-23 18:55:33,366","20,20,20","40,40,40","90,90,90",12,12,12,True,LinearRegression,4,55.10,89,1480,649,1480,586,370,89
"2017-05-23 19:00:51,727","20,20,20","40,40,40","90,90,90",12,12,12,True,LinearRegression,4,56.84,99,1480,671,1480,595,370,99
"2017-05-23 19:06:07,442","20,20,20","40,40,40","90,90,90",12,12,12,True,LinearRegression,4,49.61,109,1480,659,1480,593,370,109
"2017-05-23 19:11:34,576","20,20,20","40,40,40","90,90,90",12,12,12,True,LinearRegression,4,54.91,110,1480,672,1480,607,370,110
"2017-05-23 19:16:44,407","20,20,20","40,40,40","90,90,90",12,12,12,True,LinearRegression,4,45.57,86,1480,657,1480,592,370,86
"2017-05-23 19:22:07,449","20,20,20","40,40,40","90,90,90",12,12,12,True,LinearRegression,4,52.75,109,1480,617,1480,605,370,109
