"2017-05-04 23:35:14,042",Is,Rs,Rule,Input size,Input area,Automaton size,Concat before,Estimator,D,Tot. fit time,Final misclassif.,1 out of,1 misclassif,2 out of,2 misclassif,3 out of,3 misclassif,4 out of,4 misclassif
"2017-05-04 23:42:23,030","20,20,20,20","50,50,50,50",60,12,12,12,True,LinearRegression,4,42.91,81,1480,612,1480,551,1480,509,370,81
"2017-05-04 23:49:30,464","20,20,20,20","50,50,50,50",60,12,12,12,True,LinearRegression,4,41.15,88,1480,616,1480,501,1480,509,370,88
"2017-05-04 23:56:38,432","20,20,20,20","50,50,50,50",60,12,12,12,True,LinearRegression,4,41.85,91,1480,589,1480,538,1480,519,370,91
"2017-05-05 00:03:45,370","20,20,20,20","50,50,50,50",60,12,12,12,True,LinearRegression,4,41.21,97,1480,589,1480,547,1480,512,370,97
"2017-05-05 00:10:50,677","20,20,20,20","50,50,50,50",60,12,12,12,True,LinearRegression,4,40.24,95,1480,617,1480,579,1480,520,370,95
"2017-05-05 00:17:57,175","20,20,20,20","50,50,50,50",60,12,12,12,True,LinearRegression,4,41.75,83,1480,622,1480,557,1480,513,370,83
"2017-05-05 00:25:00,612","20,20,20,20","50,50,50,50",60,12,12,12,True,LinearRegression,4,40.33,88,1480,607,1480,571,1480,525,370,88
"2017-05-05 00:32:07,239","20,20,20,20","50,50,50,50",60,12,12,12,True,LinearRegression,4,41.97,85,1480,584,1480,541,1480,504,370,85
"2017-05-05 00:39:12,980","20,20,20,20","50,50,50,50",60,12,12,12,True,LinearRegression,4,41.34,88,1480,622,1480,519,1480,508,370,88
"2017-05-05 00:46:21,369","20,20,20,20","50,50,50,50",60,12,12,12,True,LinearRegression,4,41.98,101,1480,614,1480,539,1480,535,370,101
"2017-05-05 00:53:24,957","20,20,20,20","50,50,50,50",60,12,12,12,True,LinearRegression,4,40.35,97,1480,610,1480,557,1480,546,370,97
"2017-05-05 01:00:35,283","20,20,20,20","50,50,50,50",60,12,12,12,True,LinearRegression,4,41.61,92,1480,589,1480,539,1480,514,370,92
"2017-05-05 01:07:41,906","20,20,20,20","50,50,50,50",60,12,12,12,True,LinearRegression,4,41.48,98,1480,581,1480,551,1480,518,370,98
"2017-05-05 01:14:47,501","20,20,20,20","50,50,50,50",60,12,12,12,True,LinearRegression,4,40.91,101,1480,614,1480,558,1480,522,370,101
"2017-05-05 01:21:54,373","20,20,20,20","50,50,50,50",60,12,12,12,True,LinearRegression,4,41.13,93,1480,592,1480,535,1480,503,370,93
"2017-05-05 01:29:00,652","20,20,20,20","50,50,50,50",60,12,12,12,True,LinearRegression,4,41.54,85,1480,618,1480,576,1480,503,370,85
"2017-05-05 01:36:10,358","20,20,20,20","50,50,50,50",60,12,12,12,True,LinearRegression,4,40.51,89,1480,574,1480,564,1480,525,370,89
"2017-05-05 01:43:17,749","20,20,20,20","50,50,50,50",60,12,12,12,True,LinearRegression,4,40.98,90,1480,574,1480,516,1480,540,370,90
"2017-05-05 01:50:25,049","20,20,20,20","50,50,50,50",60,12,12,12,True,LinearRegression,4,41.54,89,1480,633,1480,545,1480,546,370,89
"2017-05-05 01:57:32,412","20,20,20,20","50,50,50,50",60,12,12,12,True,LinearRegression,4,41.94,79,1480,612,1480,547,1480,517,370,79
"2017-05-05 02:04:40,592","20,20,20,20","50,50,50,50",60,12,12,12,True,LinearRegression,4,42.15,90,1480,613,1480,562,1480,524,370,90
"2017-05-05 02:11:47,031","20,20,20,20","50,50,50,50",60,12,12,12,True,LinearRegression,4,41.17,83,1480,589,1480,526,1480,519,370,83
"2017-05-05 02:18:55,592","20,20,20,20","50,50,50,50",60,12,12,12,True,LinearRegression,4,41.82,99,1480,598,1480,560,1480,502,370,99
"2017-05-05 02:26:00,523","20,20,20,20","50,50,50,50",60,12,12,12,True,LinearRegression,4,41.83,91,1480,591,1480,550,1480,509,370,91
"2017-05-05 02:33:07,610","20,20,20,20","50,50,50,50",60,12,12,12,True,LinearRegression,4,43.47,82,1480,612,1480,550,1480,528,370,82
"2017-05-04 23:43:35,294","20,20,20,20","50,50,50,50",60,12,12,12,True,LinearRegression,4,87.36,104,1480,596,1480,543,1480,548,370,104
