"2017-05-04 23:59:30,088",Is,Rs,Rule,Input size,Input area,Automaton size,Concat before,Estimator,D,Tot. fit time,Final misclassif.,1 out of,1 misclassif,2 out of,2 misclassif,3 out of,3 misclassif
"2017-05-05 00:05:06,675","20,20,20","50,50,50",90,12,12,12,True,LinearRegression,4,30.96,104,1480,628,1480,557,370,104
"2017-05-05 00:10:39,086","20,20,20","50,50,50",90,12,12,12,True,LinearRegression,4,29.79,94,1480,601,1480,566,370,94
"2017-05-05 00:16:12,747","20,20,20","50,50,50",90,12,12,12,True,LinearRegression,4,28.97,88,1480,602,1480,536,370,88
"2017-05-05 00:21:43,886","20,20,20","50,50,50",90,12,12,12,True,LinearRegression,4,29.47,98,1480,589,1480,537,370,98
"2017-05-05 00:27:16,085","20,20,20","50,50,50",90,12,12,12,True,LinearRegression,4,28.32,89,1480,596,1480,569,370,89
"2017-05-05 00:32:47,491","20,20,20","50,50,50",90,12,12,12,True,LinearRegression,4,27.27,97,1480,592,1480,553,370,97
"2017-05-05 00:38:23,530","20,20,20","50,50,50",90,12,12,12,True,LinearRegression,4,28.68,98,1480,603,1480,555,370,98
"2017-05-05 00:43:57,727","20,20,20","50,50,50",90,12,12,12,True,LinearRegression,4,29.41,88,1480,611,1480,584,370,88
"2017-05-05 00:49:32,741","20,20,20","50,50,50",90,12,12,12,True,LinearRegression,4,28.33,98,1480,634,1480,563,370,98
"2017-05-05 00:55:08,200","20,20,20","50,50,50",90,12,12,12,True,LinearRegression,4,28.46,93,1480,619,1480,562,370,93
"2017-05-05 01:00:42,137","20,20,20","50,50,50",90,12,12,12,True,LinearRegression,4,29.36,98,1480,589,1480,567,370,98
"2017-05-05 01:06:16,078","20,20,20","50,50,50",90,12,12,12,True,LinearRegression,4,29.16,89,1480,619,1480,570,370,89
"2017-05-05 01:11:51,285","20,20,20","50,50,50",90,12,12,12,True,LinearRegression,4,28.81,105,1480,573,1480,556,370,105
"2017-05-05 01:17:27,712","20,20,20","50,50,50",90,12,12,12,True,LinearRegression,4,29.95,111,1480,627,1480,586,370,111
"2017-05-05 01:22:59,632","20,20,20","50,50,50",90,12,12,12,True,LinearRegression,4,28.09,95,1480,602,1480,561,370,95
"2017-05-05 01:28:33,602","20,20,20","50,50,50",90,12,12,12,True,LinearRegression,4,28.10,99,1480,581,1480,557,370,99
"2017-05-05 01:34:10,478","20,20,20","50,50,50",90,12,12,12,True,LinearRegression,4,30.02,107,1480,611,1480,575,370,107
"2017-05-05 01:39:43,745","20,20,20","50,50,50",90,12,12,12,True,LinearRegression,4,28.29,103,1480,577,1480,564,370,103
"2017-05-05 01:45:18,577","20,20,20","50,50,50",90,12,12,12,True,LinearRegression,4,28.57,97,1480,617,1480,568,370,97
"2017-05-05 01:50:51,345","20,20,20","50,50,50",90,12,12,12,True,LinearRegression,4,28.80,94,1480,609,1480,548,370,94
"2017-05-05 01:56:28,374","20,20,20","50,50,50",90,12,12,12,True,LinearRegression,4,28.71,95,1480,585,1480,582,370,95
"2017-05-05 02:02:02,388","20,20,20","50,50,50",90,12,12,12,True,LinearRegression,4,28.72,99,1480,604,1480,568,370,99
"2017-05-05 02:07:35,787","20,20,20","50,50,50",90,12,12,12,True,LinearRegression,4,27.69,103,1480,599,1480,563,370,103
"2017-05-05 02:13:08,379","20,20,20","50,50,50",90,12,12,12,True,LinearRegression,4,27.90,82,1480,610,1480,561,370,82
"2017-05-05 02:18:41,395","20,20,20","50,50,50",90,12,12,12,True,LinearRegression,4,28.82,100,1480,584,1480,599,370,100
"2017-05-05 00:05:06,645","20,20,20","50,50,50",90,12,12,12,True,LinearRegression,4,27.95,96,1480,604,1480,576,370,96
"2017-05-05 00:10:45,272","20,20,20","50,50,50",90,12,12,12,True,LinearRegression,4,29.12,100,1480,601,1480,558,370,100
"2017-05-05 00:16:23,697","20,20,20","50,50,50",90,12,12,12,True,LinearRegression,4,28.18,101,1480,622,1480,566,370,101
"2017-05-05 00:22:01,492","20,20,20","50,50,50",90,12,12,12,True,LinearRegression,4,28.76,100,1480,602,1480,540,370,100
"2017-05-05 00:27:40,987","20,20,20","50,50,50",90,12,12,12,True,LinearRegression,4,28.30,98,1480,610,1480,573,370,98
"2017-05-05 00:33:19,137","20,20,20","50,50,50",90,12,12,12,True,LinearRegression,4,28.28,96,1480,611,1480,577,370,96
"2017-05-05 00:38:58,787","20,20,20","50,50,50",90,12,12,12,True,LinearRegression,4,29.64,109,1480,617,1480,572,370,109
"2017-05-05 00:44:36,172","20,20,20","50,50,50",90,12,12,12,True,LinearRegression,4,28.03,106,1480,621,1480,566,370,106
