"2017-05-04 13:33:04,255",Is,Rs,Rule,Input size,Input area,Automaton size,Concat before,Estimator,D,Tot. fit time,Final misclassif.,1 out of,1 misclassif,2 out of,2 misclassif
"2017-05-04 13:37:49,872","20,20","50,50",90,12,12,12,True,LinearRegression,4,41.06,98,1480,634,370,98
"2017-05-04 13:42:30,891","20,20","50,50",90,12,12,12,True,LinearRegression,4,37.82,101,1480,613,370,101
"2017-05-04 13:47:08,861","20,20","50,50",90,12,12,12,True,LinearRegression,4,32.79,106,1480,612,370,106
"2017-05-04 13:51:48,747","20,20","50,50",90,12,12,12,True,LinearRegression,4,30.09,96,1480,633,370,96
"2017-05-04 13:56:22,176","20,20","50,50",90,12,12,12,True,LinearRegression,4,31.08,100,1480,621,370,100
"2017-05-04 14:00:58,480","20,20","50,50",90,12,12,12,True,LinearRegression,4,28.54,102,1480,625,370,102
"2017-05-04 14:05:31,072","20,20","50,50",90,12,12,12,True,LinearRegression,4,30.62,116,1480,618,370,116
"2017-05-04 14:10:12,196","20,20","50,50",90,12,12,12,True,LinearRegression,4,34.99,116,1480,619,370,116
"2017-05-04 14:15:00,891","20,20","50,50",90,12,12,12,True,LinearRegression,4,41.68,102,1480,590,370,102
"2017-05-04 14:19:38,216","20,20","50,50",90,12,12,12,True,LinearRegression,4,34.15,106,1480,618,370,106
"2017-05-04 14:24:17,958","20,20","50,50",90,12,12,12,True,LinearRegression,4,32.42,92,1480,598,370,92
"2017-05-04 14:28:54,806","20,20","50,50",90,12,12,12,True,LinearRegression,4,34.20,105,1480,603,370,105
"2017-05-04 14:33:35,120","20,20","50,50",90,12,12,12,True,LinearRegression,4,32.53,87,1480,604,370,87
"2017-05-04 14:38:06,750","20,20","50,50",90,12,12,12,True,LinearRegression,4,28.99,106,1480,631,370,106
"2017-05-04 14:42:41,732","20,20","50,50",90,12,12,12,True,LinearRegression,4,28.22,99,1480,617,370,99
"2017-05-04 14:47:24,404","20,20","50,50",90,12,12,12,True,LinearRegression,4,35.70,107,1480,619,370,107
"2017-05-04 14:52:01,434","20,20","50,50",90,12,12,12,True,LinearRegression,4,37.89,94,1480,612,370,94
"2017-05-04 14:56:43,698","20,20","50,50",90,12,12,12,True,LinearRegression,4,38.78,102,1480,627,370,102
"2017-05-04 15:01:24,912","20,20","50,50",90,12,12,12,True,LinearRegression,4,38.96,102,1480,592,370,102
"2017-05-04 15:06:04,566","20,20","50,50",90,12,12,12,True,LinearRegression,4,32.01,94,1480,590,370,94
"2017-05-04 15:10:32,225","20,20","50,50",90,12,12,12,True,LinearRegression,4,24.38,105,1480,597,370,105
"2017-05-04 15:15:10,573","20,20","50,50",90,12,12,12,True,LinearRegression,4,33.75,95,1480,643,370,95
"2017-05-04 15:19:47,662","20,20","50,50",90,12,12,12,True,LinearRegression,4,29.44,107,1480,619,370,107
"2017-05-04 15:24:17,086","20,20","50,50",90,12,12,12,True,LinearRegression,4,26.90,103,1480,613,370,103
"2017-05-04 15:28:57,886","20,20","50,50",90,12,12,12,True,LinearRegression,4,37.63,96,1480,616,370,96
"2017-05-04 10:33:53,770","20,20","50,50",90,12,12,12,True,LinearRegression,4,16.17,103,1480,623,370,103
"2017-05-04 10:37:27,676","20,20","50,50",90,12,12,12,True,LinearRegression,4,14.00,105,1480,616,370,105
"2017-05-04 10:41:13,349","20,20","50,50",90,12,12,12,True,LinearRegression,4,19.61,99,1480,600,370,99
"2017-05-04 10:44:53,131","20,20","50,50",90,12,12,12,True,LinearRegression,4,15.30,105,1480,649,370,105
"2017-05-04 10:48:39,142","20,20","50,50",90,12,12,12,True,LinearRegression,4,16.86,105,1480,605,370,105
"2017-05-04 10:52:20,822","20,20","50,50",90,12,12,12,True,LinearRegression,4,17.04,96,1480,598,370,96
"2017-05-04 10:56:00,944","20,20","50,50",90,12,12,12,True,LinearRegression,4,16.43,104,1480,608,370,104
"2017-05-04 10:59:40,166","20,20","50,50",90,12,12,12,True,LinearRegression,4,14.53,115,1480,626,370,115
"2017-05-04 11:03:18,790","20,20","50,50",90,12,12,12,True,LinearRegression,4,15.13,103,1480,633,370,103
"2017-05-04 11:06:57,648","20,20","50,50",90,12,12,12,True,LinearRegression,4,14.95,111,1480,590,370,111
"2017-05-04 11:10:42,326","20,20","50,50",90,12,12,12,True,LinearRegression,4,19.86,93,1480,568,370,93
"2017-05-04 11:14:19,309","20,20","50,50",90,12,12,12,True,LinearRegression,4,15.84,91,1480,593,370,91
"2017-05-04 11:17:55,588","20,20","50,50",90,12,12,12,True,LinearRegression,4,14.78,108,1480,576,370,108
