"2017-05-04 13:32:15,207",Is,Rs,Rule,Input size,Input area,Automaton size,Concat before,Estimator,D,Tot. fit time,Final misclassif.,1 out of,1 misclassif,2 out of,2 misclassif,3 out of,3 misclassif
"2017-05-04 15:20:54,632","20,20,20","50,50,50",60,12,12,12,True,LinearRegression,4,31.45,85,1480,607,1480,544,370,85
"2017-05-04 15:25:53,873","20,20,20","50,50,50",60,12,12,12,True,LinearRegression,4,32.69,89,1480,602,1480,528,370,89
"2017-05-04 15:30:53,122","20,20,20","50,50,50",60,12,12,12,True,LinearRegression,4,33.44,97,1480,622,1480,573,370,97
"2017-05-04 15:35:54,113","20,20,20","50,50,50",60,12,12,12,True,LinearRegression,4,31.99,86,1480,597,1480,550,370,86
"2017-05-04 13:37:27,881","20,20,20","50,50,50",60,12,12,12,True,LinearRegression,4,32.75,86,1480,591,1480,539,370,86
"2017-05-04 13:42:28,631","20,20,20","50,50,50",60,12,12,12,True,LinearRegression,4,32.21,78,1480,616,1480,541,370,78
"2017-05-04 13:47:32,981","20,20,20","50,50,50",60,12,12,12,True,LinearRegression,4,33.75,88,1480,604,1480,529,370,88
"2017-05-04 13:52:29,094","20,20,20","50,50,50",60,12,12,12,True,LinearRegression,4,29.22,101,1480,600,1480,550,370,101
"2017-05-04 13:57:28,723","20,20,20","50,50,50",60,12,12,12,True,LinearRegression,4,30.50,101,1480,634,1480,560,370,101
"2017-05-04 14:02:25,281","20,20,20","50,50,50",60,12,12,12,True,LinearRegression,4,27.83,81,1480,600,1480,566,370,81
"2017-05-04 14:07:26,605","20,20,20","50,50,50",60,12,12,12,True,LinearRegression,4,30.59,100,1480,599,1480,548,370,100
"2017-05-04 14:12:30,726","20,20,20","50,50,50",60,12,12,12,True,LinearRegression,4,35.99,91,1480,588,1480,550,370,91
"2017-05-04 14:17:29,234","20,20,20","50,50,50",60,12,12,12,True,LinearRegression,4,32.05,82,1480,598,1480,548,370,82
"2017-05-04 14:22:21,128","20,20,20","50,50,50",60,12,12,12,True,LinearRegression,4,29.62,94,1480,556,1480,539,370,94
"2017-05-04 14:27:20,218","20,20,20","50,50,50",60,12,12,12,True,LinearRegression,4,34.59,96,1480,603,1480,536,370,96
"2017-05-04 14:32:26,296","20,20,20","50,50,50",60,12,12,12,True,LinearRegression,4,35.07,91,1480,587,1480,525,370,91
"2017-05-04 14:37:29,953","20,20,20","50,50,50",60,12,12,12,True,LinearRegression,4,33.74,82,1480,588,1480,553,370,82
"2017-05-04 14:42:33,420","20,20,20","50,50,50",60,12,12,12,True,LinearRegression,4,32.38,90,1480,608,1480,528,370,90
"2017-05-04 14:47:31,892","20,20,20","50,50,50",60,12,12,12,True,LinearRegression,4,28.69,91,1480,590,1480,570,370,91
"2017-05-04 14:52:32,356","20,20,20","50,50,50",60,12,12,12,True,LinearRegression,4,30.06,94,1480,587,1480,545,370,94
"2017-05-04 14:57:38,365","20,20,20","50,50,50",60,12,12,12,True,LinearRegression,4,34.45,81,1480,605,1480,538,370,81
"2017-05-04 15:02:38,490","20,20,20","50,50,50",60,12,12,12,True,LinearRegression,4,31.44,92,1480,592,1480,561,370,92
"2017-05-04 15:07:38,026","20,20,20","50,50,50",60,12,12,12,True,LinearRegression,4,29.82,83,1480,604,1480,563,370,83
"2017-05-04 15:12:42,652","20,20,20","50,50,50",60,12,12,12,True,LinearRegression,4,34.14,91,1480,568,1480,573,370,91
"2017-05-04 15:17:48,017","20,20,20","50,50,50",60,12,12,12,True,LinearRegression,4,34.31,96,1480,597,1480,557,370,96
"2017-05-04 15:22:43,823","20,20,20","50,50,50",60,12,12,12,True,LinearRegression,4,28.23,83,1480,603,1480,572,370,83
"2017-05-04 15:27:45,512","20,20,20","50,50,50",60,12,12,12,True,LinearRegression,4,31.78,97,1480,577,1480,563,370,97
"2017-05-04 15:32:45,686","20,20,20","50,50,50",60,12,12,12,True,LinearRegression,4,28.55,92,1480,587,1480,574,370,92
