"2017-05-17 20:23:26,845",Is,Rs,Rule,Input size,Input area,Automaton size,Concat before,Estimator,Tot. fit time,Training sets,Testing sets,Distractor period,Point (success),Fully correct seq.,Mispredicted time steps,2 fully correct seq.,2 mispredicted time steps,3 fully correct seq.,3 mispredicted time steps
"2017-05-20 23:52:50,481","16,16,16","100,100,100","62,62,62",7,7,7,True,LinearRegression,1287.50,500,100,50,0,0,1392,0,1479,0,1527
"2017-05-21 00:24:12,849","16,16,16","100,100,100","62,62,62",7,7,7,True,LinearRegression,1278.23,500,100,50,0,0,1401,0,1491,0,1474
"2017-05-21 00:55:46,988","16,16,16","100,100,100","62,62,62",7,7,7,True,LinearRegression,1285.02,500,100,50,0,0,1422,0,1464,0,1467
"2017-05-21 01:26:59,716","16,16,16","100,100,100","62,62,62",7,7,7,True,LinearRegression,1277.69,500,100,50,0,0,1398,0,1465,0,1476
"2017-05-21 01:58:16,693","16,16,16","100,100,100","62,62,62",7,7,7,True,LinearRegression,1272.31,500,100,50,0,0,1433,0,1535,0,1472
"2017-05-21 02:29:55,018","16,16,16","100,100,100","62,62,62",7,7,7,True,LinearRegression,1288.94,500,100,50,0,0,1420,0,1505,0,1463
"2017-05-21 03:01:28,832","16,16,16","100,100,100","62,62,62",7,7,7,True,LinearRegression,1295.60,500,100,50,0,0,1454,0,1491,0,1462
"2017-05-21 03:32:51,397","16,16,16","100,100,100","62,62,62",7,7,7,True,LinearRegression,1284.11,500,100,50,0,0,1428,0,1519,0,1516
"2017-05-21 04:04:20,696","16,16,16","100,100,100","62,62,62",7,7,7,True,LinearRegression,1285.81,500,100,50,0,0,1405,0,1503,0,1479
"2017-05-21 04:35:47,728","16,16,16","100,100,100","62,62,62",7,7,7,True,LinearRegression,1279.94,500,100,50,0,0,1447,0,1539,0,1410
"2017-05-21 05:07:16,879","16,16,16","100,100,100","62,62,62",7,7,7,True,LinearRegression,1287.47,500,100,50,0,0,1413,0,1412,0,1464
"2017-05-17 20:59:46,562","16,16,16","100,100,100","62,62,62",7,7,7,True,LinearRegression,1492.85,500,100,50,0,0,1453,0,1464,0,1445
"2017-05-17 21:34:43,806","16,16,16","100,100,100","62,62,62",7,7,7,True,LinearRegression,1364.79,500,100,50,0,0,1391,0,1468,0,1508
"2017-05-17 22:07:31,774","16,16,16","100,100,100","62,62,62",7,7,7,True,LinearRegression,1240.13,500,100,50,0,0,1379,0,1507,0,1528
"2017-05-17 22:42:52,776","16,16,16","100,100,100","62,62,62",7,7,7,True,LinearRegression,1371.40,500,100,50,0,0,1433,0,1484,0,1450
"2017-05-17 23:16:51,354","16,16,16","100,100,100","62,62,62",7,7,7,True,LinearRegression,1306.87,500,100,50,0,0,1440,0,1521,0,1466
"2017-05-17 23:52:34,637","16,16,16","100,100,100","62,62,62",7,7,7,True,LinearRegression,1360.75,500,100,50,0,0,1436,0,1513,0,1432
"2017-05-18 00:30:19,912","16,16,16","100,100,100","62,62,62",7,7,7,True,LinearRegression,1508.61,500,100,50,0,0,1431,0,1479,0,1467
"2017-05-18 01:08:15,252","16,16,16","100,100,100","62,62,62",7,7,7,True,LinearRegression,1511.48,500,100,50,0,0,1405,0,1493,0,1447
"2017-05-18 01:46:16,166","16,16,16","100,100,100","62,62,62",7,7,7,True,LinearRegression,1516.28,500,100,50,0,0,1379,0,1455,0,1441
"2017-05-18 02:23:10,169","16,16,16","100,100,100","62,62,62",7,7,7,True,LinearRegression,1475.82,500,100,50,0,0,1413,0,1505,0,1448
"2017-05-18 03:01:45,847","16,16,16","100,100,100","62,62,62",7,7,7,True,LinearRegression,1546.73,500,100,50,0,0,1422,0,1446,0,1481
"2017-05-18 03:36:57,453","16,16,16","100,100,100","62,62,62",7,7,7,True,LinearRegression,1374.75,500,100,50,0,0,1411,0,1452,0,1430
"2017-05-18 04:15:44,211","16,16,16","100,100,100","62,62,62",7,7,7,True,LinearRegression,1552.29,500,100,50,0,0,1431,0,1448,0,1460
"2017-05-18 04:55:14,798","16,16,16","100,100,100","62,62,62",7,7,7,True,LinearRegression,1562.46,500,100,50,0,0,1434,0,1499,0,1483
"2017-05-18 05:35:13,398","16,16,16","100,100,100","62,62,62",7,7,7,True,LinearRegression,1617.11,500,100,50,0,0,1430,0,1441,0,1477
"2017-05-18 06:09:27,450","16,16,16","100,100,100","62,62,62",7,7,7,True,LinearRegression,1344.87,500,100,50,0,0,1415,0,1505,0,1495
"2017-05-18 06:41:24,457","16,16,16","100,100,100","62,62,62",7,7,7,True,LinearRegression,1216.72,500,100,50,0,0,1455,0,1545,0,1493
"2017-05-18 07:15:03,414","16,16,16","100,100,100","62,62,62",7,7,7,True,LinearRegression,1301.47,500,100,50,0,0,1399,0,1487,0,1469
"2017-05-18 07:50:11,355","16,16,16","100,100,100","62,62,62",7,7,7,True,LinearRegression,1393.18,500,100,50,0,0,1425,0,1479,0,1461
"2017-05-18 08:23:28,030","16,16,16","100,100,100","62,62,62",7,7,7,True,LinearRegression,1285.38,500,100,50,0,0,1423,0,1511,0,1487
"2017-05-18 08:59:31,684","16,16,16","100,100,100","62,62,62",7,7,7,True,LinearRegression,1394.54,500,100,50,0,0,1391,0,1426,0,1587
"2017-05-18 09:36:32,947","16,16,16","100,100,100","62,62,62",7,7,7,True,LinearRegression,1455.08,500,100,50,0,0,1439,0,1494,0,1457
"2017-05-18 10:12:58,601","16,16,16","100,100,100","62,62,62",7,7,7,True,LinearRegression,1431.71,500,100,50,0,0,1403,0,1494,0,1490
"2017-05-18 10:44:38,710","16,16,16","100,100,100","62,62,62",7,7,7,True,LinearRegression,1193.27,500,100,50,0,0,1446,0,1420,0,1465
"2017-05-18 11:16:31,923","16,16,16","100,100,100","62,62,62",7,7,7,True,LinearRegression,1225.06,500,100,50,0,0,1394,0,1473,0,1475
"2017-05-17 20:57:18,516","16,16,16","100,100,100","62,62,62",7,7,7,True,LinearRegression,1339.05,500,100,50,0,0,1418,0,1495,0,1432
"2017-05-17 21:29:33,175","16,16,16","100,100,100","62,62,62",7,7,7,True,LinearRegression,1229.35,500,100,50,0,0,1439,0,1450,0,1469
