"2017-05-05 02:33:08,977",Is,Rs,Rule,Input size,Input area,Automaton size,Concat before,Estimator,D,Tot. fit time,Final misclassif.,1 out of,1 misclassif,2 out of,2 misclassif,3 out of,3 misclassif,4 out of,4 misclassif
"2017-05-05 04:26:32,613","20,20,20,20","50,50,50,50",102,12,12,12,True,LinearRegression,4,47.57,99,1480,620,1480,553,1480,521,370,99
"2017-05-05 04:32:31,268","20,20,20,20","50,50,50,50",102,12,12,12,True,LinearRegression,4,47.84,90,1480,594,1480,532,1480,549,370,90
"2017-05-05 04:38:26,770","20,20,20,20","50,50,50,50",102,12,12,12,True,LinearRegression,4,47.31,112,1480,602,1480,559,1480,557,370,112
"2017-05-05 04:44:23,878","20,20,20,20","50,50,50,50",102,12,12,12,True,LinearRegression,4,46.95,93,1480,598,1480,552,1480,514,370,93
"2017-05-05 04:50:24,124","20,20,20,20","50,50,50,50",102,12,12,12,True,LinearRegression,4,47.22,94,1480,593,1480,569,1480,533,370,94
"2017-05-05 04:56:18,651","20,20,20,20","50,50,50,50",102,12,12,12,True,LinearRegression,4,47.15,88,1480,591,1480,545,1480,519,370,88
"2017-05-05 05:02:16,819","20,20,20,20","50,50,50,50",102,12,12,12,True,LinearRegression,4,47.71,86,1480,629,1480,550,1480,543,370,86
"2017-05-05 05:08:11,969","20,20,20,20","50,50,50,50",102,12,12,12,True,LinearRegression,4,47.81,105,1480,590,1480,551,1480,544,370,105
"2017-05-05 05:14:09,312","20,20,20,20","50,50,50,50",102,12,12,12,True,LinearRegression,4,46.94,74,1480,602,1480,529,1480,514,370,74
"2017-05-05 05:20:07,906","20,20,20,20","50,50,50,50",102,12,12,12,True,LinearRegression,4,47.61,82,1480,617,1480,566,1480,536,370,82
"2017-05-05 03:13:01,981","20,20,20,20","50,50,50,50",102,12,12,12,True,LinearRegression,4,87.73,95,1480,618,1480,571,1480,559,370,95
"2017-05-05 03:21:26,503","20,20,20,20","50,50,50,50",102,12,12,12,True,LinearRegression,4,85.91,73,1480,573,1480,546,1480,525,370,73
"2017-05-05 03:29:52,141","20,20,20,20","50,50,50,50",102,12,12,12,True,LinearRegression,4,97.26,90,1480,600,1480,575,1480,517,370,90
"2017-05-05 03:38:05,355","20,20,20,20","50,50,50,50",102,12,12,12,True,LinearRegression,4,79.57,90,1480,583,1480,560,1480,541,370,90
"2017-05-05 03:46:27,494","20,20,20,20","50,50,50,50",102,12,12,12,True,LinearRegression,4,92.14,85,1480,600,1480,543,1480,534,370,85
"2017-05-05 03:54:39,468","20,20,20,20","50,50,50,50",102,12,12,12,True,LinearRegression,4,76.30,89,1480,593,1480,572,1480,527,370,89
"2017-05-05 04:03:06,496","20,20,20,20","50,50,50,50",102,12,12,12,True,LinearRegression,4,94.63,93,1480,599,1480,566,1480,518,370,93
"2017-05-05 04:11:36,319","20,20,20,20","50,50,50,50",102,12,12,12,True,LinearRegression,4,87.21,84,1480,618,1480,536,1480,547,370,84
"2017-05-05 04:19:53,657","20,20,20,20","50,50,50,50",102,12,12,12,True,LinearRegression,4,84.95,109,1480,577,1480,1305,1480,1305,370,109
"2017-05-05 04:28:28,533","20,20,20,20","50,50,50,50",102,12,12,12,True,LinearRegression,4,101.97,93,1480,583,1480,552,1480,541,370,93
"2017-05-05 04:36:45,779","20,20,20,20","50,50,50,50",102,12,12,12,True,LinearRegression,4,81.11,101,1480,610,1480,574,1480,526,370,101
"2017-05-05 04:45:16,039","20,20,20,20","50,50,50,50",102,12,12,12,True,LinearRegression,4,91.54,84,1480,613,1480,562,1480,496,370,84
"2017-05-05 04:53:48,500","20,20,20,20","50,50,50,50",102,12,12,12,True,LinearRegression,4,98.87,103,1480,618,1480,565,1480,519,370,103
"2017-05-05 05:02:03,598","20,20,20,20","50,50,50,50",102,12,12,12,True,LinearRegression,4,75.66,87,1480,599,1480,571,1480,525,370,87
"2017-05-05 05:10:26,685","20,20,20,20","50,50,50,50",102,12,12,12,True,LinearRegression,4,88.44,84,1480,591,1480,555,1480,515,370,84
"2017-05-05 05:18:52,990","20,20,20,20","50,50,50,50",102,12,12,12,True,LinearRegression,4,85.97,98,1480,604,1480,586,1480,520,370,98
"2017-05-05 05:27:06,011","20,20,20,20","50,50,50,50",102,12,12,12,True,LinearRegression,4,78.77,80,1480,587,1480,577,1480,527,370,80
"2017-05-05 05:35:31,584","20,20,20,20","50,50,50,50",102,12,12,12,True,LinearRegression,4,90.17,89,1480,588,1480,556,1480,517,370,89
"2017-05-05 05:43:38,925","20,20,20,20","50,50,50,50",102,12,12,12,True,LinearRegression,4,71.51,102,1480,576,1480,555,1480,522,370,102
"2017-05-05 05:52:16,059","20,20,20,20","50,50,50,50",102,12,12,12,True,LinearRegression,4,100.96,84,1480,625,1480,540,1480,530,370,84
"2017-05-05 06:00:16,848","20,20,20,20","50,50,50,50",102,12,12,12,True,LinearRegression,4,66.93,92,1480,606,1480,561,1480,527,370,92
"2017-05-05 06:08:49,851","20,20,20,20","50,50,50,50",102,12,12,12,True,LinearRegression,4,96.23,88,1480,591,1480,543,1480,533,370,88
"2017-05-05 06:17:01,603","20,20,20,20","50,50,50,50",102,12,12,12,True,LinearRegression,4,76.16,97,1480,590,1480,563,1480,537,370,97
"2017-05-05 06:25:30,016","20,20,20,20","50,50,50,50",102,12,12,12,True,LinearRegression,4,88.57,76,1480,591,1480,544,1480,545,370,76
"2017-05-05 06:33:44,979","20,20,20,20","50,50,50,50",102,12,12,12,True,LinearRegression,4,83.21,89,1480,639,1480,544,1480,527,370,89
"2017-05-05 02:42:10,071","20,20,20,20","50,50,50,50",102,12,12,12,True,LinearRegression,4,45.54,98,1480,601,1480,575,1480,536,370,98
"2017-05-05 02:49:20,181","20,20,20,20","50,50,50,50",102,12,12,12,True,LinearRegression,4,40.79,98,1480,608,1480,555,1480,526,370,98
"2017-05-05 02:56:23,058","20,20,20,20","50,50,50,50",102,12,12,12,True,LinearRegression,4,41.34,91,1480,610,1480,536,1480,520,370,91
"2017-05-05 03:03:25,809","20,20,20,20","50,50,50,50",102,12,12,12,True,LinearRegression,4,40.15,78,1480,580,1480,541,1480,523,370,78
"2017-05-05 03:10:31,832","20,20,20,20","50,50,50,50",102,12,12,12,True,LinearRegression,4,41.45,86,1480,608,1480,534,1480,523,370,86
"2017-05-05 03:17:37,162","20,20,20,20","50,50,50,50",102,12,12,12,True,LinearRegression,4,42.57,84,1480,604,1480,572,1480,509,370,84
"2017-05-05 03:24:42,007","20,20,20,20","50,50,50,50",102,12,12,12,True,LinearRegression,4,41.77,108,1480,596,1480,556,1480,509,370,108
"2017-05-05 03:31:46,757","20,20,20,20","50,50,50,50",102,12,12,12,True,LinearRegression,4,40.99,96,1480,593,1480,556,1480,514,370,96
"2017-05-05 03:38:51,437","20,20,20,20","50,50,50,50",102,12,12,12,True,LinearRegression,4,40.84,100,1480,609,1480,535,1480,541,370,100
"2017-05-05 03:45:57,531","20,20,20,20","50,50,50,50",102,12,12,12,True,LinearRegression,4,41.79,86,1480,597,1480,562,1480,544,370,86
