"2017-05-02 19:57:25,339",I,R,Rule,Input size,Input area,Automaton size,Concat before,Estimator,Tot. fit time,Training sets,Testing sets,Distractor period,Point (success),1 fully correct seq.,1 mispredicted time steps
"2017-05-02 19:58:12,754","32","40",110,4,0,0,True,LinearRegression,37.44,32,32,200,1,32,0
"2017-05-02 19:58:59,681","32","40",110,4,0,0,True,LinearRegression,36.96,32,32,200,1,32,0
"2017-05-02 19:59:46,782","32","40",110,4,0,0,True,LinearRegression,37.25,32,32,200,1,32,0
"2017-05-02 20:00:33,949","32","40",110,4,0,0,True,LinearRegression,37.21,32,32,200,1,32,0
"2017-05-02 20:01:21,011","32","40",110,4,0,0,True,LinearRegression,37.30,32,32,200,1,32,0
"2017-05-02 20:02:08,109","32","40",110,4,0,0,True,LinearRegression,37.14,32,32,200,1,32,0
"2017-05-02 20:02:56,848","32","40",110,4,0,0,True,LinearRegression,38.85,32,32,200,1,32,0
"2017-05-02 20:03:44,333","32","40",110,4,0,0,True,LinearRegression,37.55,32,32,200,1,32,0
"2017-05-02 20:04:31,423","32","40",110,4,0,0,True,LinearRegression,37.37,32,32,200,1,32,0
"2017-05-02 20:05:18,587","32","40",110,4,0,0,True,LinearRegression,37.23,32,32,200,1,32,0
"2017-05-02 20:06:05,609","32","40",110,4,0,0,True,LinearRegression,37.11,32,32,200,1,32,0
"2017-05-02 20:06:52,529","32","40",110,4,0,0,True,LinearRegression,36.99,32,32,200,1,32,0
"2017-05-02 20:07:39,625","32","40",110,4,0,0,True,LinearRegression,37.14,32,32,200,1,32,0
"2017-05-02 20:08:26,816","32","40",110,4,0,0,True,LinearRegression,37.27,32,32,200,1,32,0
"2017-05-02 20:09:13,991","32","40",110,4,0,0,True,LinearRegression,37.34,32,32,200,1,32,0
"2017-05-02 20:10:00,981","32","40",110,4,0,0,True,LinearRegression,37.02,32,32,200,1,32,0
"2017-05-02 20:10:47,819","32","40",110,4,0,0,True,LinearRegression,37.00,32,32,200,1,32,0
"2017-05-02 20:11:34,962","32","40",110,4,0,0,True,LinearRegression,37.19,32,32,200,1,32,0
"2017-05-02 20:12:22,172","32","40",110,4,0,0,True,LinearRegression,37.17,32,32,200,1,32,0
"2017-05-02 20:13:09,110","32","40",110,4,0,0,True,LinearRegression,36.90,32,32,200,1,32,0
"2017-05-02 20:13:56,329","32","40",110,4,0,0,True,LinearRegression,37.22,32,32,200,1,32,0
"2017-05-02 20:14:43,474","32","40",110,4,0,0,True,LinearRegression,37.22,32,32,200,1,32,0
"2017-05-02 20:15:30,504","32","40",110,4,0,0,True,LinearRegression,36.93,32,32,200,1,32,0
"2017-05-02 20:16:17,516","32","40",110,4,0,0,True,LinearRegression,36.93,32,32,200,1,32,0
"2017-05-02 20:17:05,542","32","40",110,4,0,0,True,LinearRegression,38.13,32,32,200,1,32,0
"2017-05-02 19:56:04,314","32","40",110,4,0,0,True,LinearRegression,37.03,32,32,200,1,32,0
"2017-05-02 19:56:51,274","32","40",110,4,0,0,True,LinearRegression,36.81,32,32,200,1,32,0
"2017-05-02 19:57:38,223","32","40",110,4,0,0,True,LinearRegression,36.71,32,32,200,1,32,0
"2017-05-02 19:58:25,175","32","40",110,4,0,0,True,LinearRegression,36.84,32,32,200,1,32,0
"2017-05-02 19:59:12,393","32","40",110,4,0,0,True,LinearRegression,37.30,32,32,200,1,32,0
"2017-05-02 20:00:02,281","32","40",110,4,0,0,True,LinearRegression,39.87,32,32,200,1,32,0
"2017-05-02 20:00:49,648","32","40",110,4,0,0,True,LinearRegression,37.35,32,32,200,1,32,0
"2017-05-02 20:01:36,765","32","40",110,4,0,0,True,LinearRegression,36.87,32,32,200,1,32,0
"2017-05-02 20:02:25,073","32","40",110,4,0,0,True,LinearRegression,38.02,32,32,200,1,32,0
"2017-05-02 20:03:12,193","32","40",110,4,0,0,True,LinearRegression,37.00,32,32,200,1,32,0
"2017-05-02 20:03:59,034","32","40",110,4,0,0,True,LinearRegression,36.75,32,32,200,1,32,0
"2017-05-02 20:04:46,033","32","40",110,4,0,0,True,LinearRegression,36.78,32,32,200,1,32,0
"2017-05-02 20:05:32,926","32","40",110,4,0,0,True,LinearRegression,36.83,32,32,200,1,32,0
"2017-05-02 20:06:19,659","32","40",110,4,0,0,True,LinearRegression,36.78,32,32,200,1,32,0
"2017-05-02 20:07:06,885","32","40",110,4,0,0,True,LinearRegression,37.00,32,32,200,1,32,0
"2017-05-02 20:07:54,148","32","40",110,4,0,0,True,LinearRegression,37.15,32,32,200,1,32,0
"2017-05-02 20:08:41,423","32","40",110,4,0,0,True,LinearRegression,37.35,32,32,200,1,32,0
"2017-05-02 20:09:28,454","32","40",110,4,0,0,True,LinearRegression,36.87,32,32,200,1,32,0
"2017-05-02 20:10:15,824","32","40",110,4,0,0,True,LinearRegression,37.17,32,32,200,1,32,0
"2017-05-02 20:11:03,225","32","40",110,4,0,0,True,LinearRegression,37.29,32,32,200,1,32,0
"2017-05-02 20:11:50,178","32","40",110,4,0,0,True,LinearRegression,36.89,32,32,200,1,32,0
"2017-05-02 20:12:37,128","32","40",110,4,0,0,True,LinearRegression,36.92,32,32,200,1,32,0
"2017-05-02 20:13:24,522","32","40",110,4,0,0,True,LinearRegression,37.35,32,32,200,1,32,0
"2017-05-02 20:14:11,493","32","40",110,4,0,0,True,LinearRegression,36.78,32,32,200,1,32,0
"2017-05-02 20:14:58,268","32","40",110,4,0,0,True,LinearRegression,36.75,32,32,200,1,32,0
"2017-05-02 19:58:14,967","32","40",110,4,0,0,True,LinearRegression,37.20,32,32,200,1,32,0
"2017-05-02 19:59:01,673","32","40",110,4,0,0,True,LinearRegression,36.52,32,32,200,1,32,0
"2017-05-02 19:59:48,981","32","40",110,4,0,0,True,LinearRegression,36.94,32,32,200,1,32,0
"2017-05-02 20:00:36,111","32","40",110,4,0,0,True,LinearRegression,36.68,32,32,200,1,32,0
"2017-05-02 20:01:23,284","32","40",110,4,0,0,True,LinearRegression,36.89,32,32,200,1,32,0
"2017-05-02 20:02:10,493","32","40",110,4,0,0,True,LinearRegression,37.03,32,32,200,1,32,0
"2017-05-02 20:02:58,795","32","40",110,4,0,0,True,LinearRegression,38.13,32,32,200,1,32,0
"2017-05-02 20:03:46,747","32","40",110,4,0,0,True,LinearRegression,37.15,32,32,200,1,32,0
"2017-05-02 20:04:33,662","32","40",110,4,0,0,True,LinearRegression,37.00,32,32,200,1,32,0
"2017-05-02 20:05:20,571","32","40",110,4,0,0,True,LinearRegression,36.73,32,32,200,1,32,0
"2017-05-02 20:06:07,584","32","40",110,4,0,0,True,LinearRegression,36.79,32,32,200,1,32,0
"2017-05-02 20:06:54,292","32","40",110,4,0,0,True,LinearRegression,36.58,32,32,200,1,32,0
"2017-05-02 20:07:41,172","32","40",110,4,0,0,True,LinearRegression,36.67,32,32,200,1,32,0
"2017-05-02 20:08:28,118","32","40",110,4,0,0,True,LinearRegression,36.88,32,32,200,1,32,0
"2017-05-02 20:09:15,171","32","40",110,4,0,0,True,LinearRegression,36.87,32,32,200,1,32,0
"2017-05-02 20:10:02,076","32","40",110,4,0,0,True,LinearRegression,36.69,32,32,200,1,32,0
"2017-05-02 20:10:48,847","32","40",110,4,0,0,True,LinearRegression,36.77,32,32,200,1,32,0
"2017-05-02 20:11:35,825","32","40",110,4,0,0,True,LinearRegression,36.80,32,32,200,1,32,0
"2017-05-02 20:12:22,804","32","40",110,4,0,0,True,LinearRegression,36.82,32,32,200,1,32,0
"2017-05-02 20:13:09,729","32","40",110,4,0,0,True,LinearRegression,36.71,32,32,200,1,32,0
"2017-05-02 20:13:56,774","32","40",110,4,0,0,True,LinearRegression,37.11,32,32,200,1,32,0
"2017-05-02 20:14:43,883","32","40",110,4,0,0,True,LinearRegression,37.05,32,32,200,1,32,0
"2017-05-02 20:15:30,760","32","40",110,4,0,0,True,LinearRegression,36.75,32,32,200,1,32,0
"2017-05-02 20:16:17,811","32","40",110,4,0,0,True,LinearRegression,36.77,32,32,200,1,32,0
"2017-05-02 20:17:05,677","32","40",110,4,0,0,True,LinearRegression,37.89,32,32,200,1,32,0
"2017-05-02 19:56:51,325","32","40",110,4,0,0,True,LinearRegression,36.80,32,32,200,1,32,0
"2017-05-02 19:57:38,165","32","40",110,4,0,0,True,LinearRegression,36.83,32,32,200,1,32,0
"2017-05-02 19:58:25,223","32","40",110,4,0,0,True,LinearRegression,36.88,32,32,200,1,32,0
"2017-05-02 19:59:12,747","32","40",110,4,0,0,True,LinearRegression,37.24,32,32,200,1,32,0
"2017-05-02 20:00:03,072","32","40",110,4,0,0,True,LinearRegression,40.19,32,32,200,1,32,0
"2017-05-02 20:00:50,335","32","40",110,4,0,0,True,LinearRegression,37.13,32,32,200,1,32,0
"2017-05-02 20:01:37,265","32","40",110,4,0,0,True,LinearRegression,36.77,32,32,200,1,32,0
"2017-05-02 20:02:25,441","32","40",110,4,0,0,True,LinearRegression,37.74,32,32,200,1,32,0
"2017-05-02 20:03:12,475","32","40",110,4,0,0,True,LinearRegression,37.04,32,32,200,1,32,0
"2017-05-02 20:03:59,242","32","40",110,4,0,0,True,LinearRegression,36.71,32,32,200,1,32,0
"2017-05-02 20:04:46,039","32","40",110,4,0,0,True,LinearRegression,36.70,32,32,200,1,32,0
"2017-05-02 20:05:33,026","32","40",110,4,0,0,True,LinearRegression,36.78,32,32,200,1,32,0
"2017-05-02 20:06:19,694","32","40",110,4,0,0,True,LinearRegression,36.79,32,32,200,1,32,0
"2017-05-02 20:07:06,704","32","40",110,4,0,0,True,LinearRegression,37.07,32,32,200,1,32,0
