"2017-05-05 02:22:31,405",Is,Rs,Rule,Input size,Input area,Automaton size,Concat before,Estimator,D,Tot. fit time,Final misclassif.,1 out of,1 misclassif,2 out of,2 misclassif,3 out of,3 misclassif
"2017-05-05 02:28:04,659","20,20,20","50,50,50",106,12,12,12,True,LinearRegression,4,29.15,79,1480,643,1480,561,370,79
"2017-05-05 02:33:39,339","20,20,20","50,50,50",106,12,12,12,True,LinearRegression,4,29.59,73,1480,681,1480,575,370,73
"2017-05-05 02:39:13,685","20,20,20","50,50,50",106,12,12,12,True,LinearRegression,4,27.94,72,1480,675,1480,616,370,72
"2017-05-05 02:44:45,496","20,20,20","50,50,50",106,12,12,12,True,LinearRegression,4,28.12,88,1480,639,1480,555,370,88
"2017-05-05 02:50:18,783","20,20,20","50,50,50",106,12,12,12,True,LinearRegression,4,29.00,77,1480,643,1480,583,370,77
"2017-05-05 02:55:49,838","20,20,20","50,50,50",106,12,12,12,True,LinearRegression,4,27.84,76,1480,641,1480,593,370,76
"2017-05-05 03:01:23,451","20,20,20","50,50,50",106,12,12,12,True,LinearRegression,4,29.20,93,1480,647,1480,577,370,93
"2017-05-05 03:07:01,012","20,20,20","50,50,50",106,12,12,12,True,LinearRegression,4,30.23,84,1480,669,1480,584,370,84
"2017-05-05 03:12:32,544","20,20,20","50,50,50",106,12,12,12,True,LinearRegression,4,27.33,88,1480,637,1480,585,370,88
"2017-05-05 03:18:04,618","20,20,20","50,50,50",106,12,12,12,True,LinearRegression,4,28.20,83,1480,679,1480,577,370,83
"2017-05-05 03:23:38,615","20,20,20","50,50,50",106,12,12,12,True,LinearRegression,4,28.62,75,1480,681,1480,596,370,75
"2017-05-05 03:29:12,142","20,20,20","50,50,50",106,12,12,12,True,LinearRegression,4,29.05,76,1480,668,1480,588,370,76
"2017-05-05 03:34:47,861","20,20,20","50,50,50",106,12,12,12,True,LinearRegression,4,28.62,80,1480,656,1480,559,370,80
"2017-05-05 03:40:26,147","20,20,20","50,50,50",106,12,12,12,True,LinearRegression,4,30.10,83,1480,678,1480,570,370,83
"2017-05-05 03:45:33,689","20,20,20","50,50,50",106,12,12,12,True,LinearRegression,4,32.51,88,1480,636,1480,633,370,88
"2017-05-05 03:50:08,237","20,20,20","50,50,50",106,12,12,12,True,LinearRegression,4,32.72,73,1480,668,1480,590,370,73
"2017-05-05 03:54:45,238","20,20,20","50,50,50",106,12,12,12,True,LinearRegression,4,33.79,74,1480,659,1480,601,370,74
"2017-05-05 03:59:21,061","20,20,20","50,50,50",106,12,12,12,True,LinearRegression,4,33.56,90,1480,643,1480,581,370,90
"2017-05-05 04:03:56,830","20,20,20","50,50,50",106,12,12,12,True,LinearRegression,4,33.43,79,1480,686,1480,604,370,79
"2017-05-05 04:08:32,170","20,20,20","50,50,50",106,12,12,12,True,LinearRegression,4,32.71,85,1480,658,1480,583,370,85
"2017-05-05 04:13:07,601","20,20,20","50,50,50",106,12,12,12,True,LinearRegression,4,33.19,95,1480,653,1480,630,370,95
"2017-05-05 04:17:44,072","20,20,20","50,50,50",106,12,12,12,True,LinearRegression,4,33.64,88,1480,647,1480,594,370,88
