"2017-05-16 22:47:11,436",I,R,Rule,Input size,Input area,Automaton size,Concat before,Estimator,Tot. fit time,Training sets,Testing sets,Distractor period,Point (success),1 fully correct seq.,1 mispredicted time steps,2 fully correct seq.,2 mispredicted time steps,3 fully correct seq.,3 mispredicted time steps,4 fully correct seq.,4 mispredicted time steps
"2017-05-16 22:48:30,952","30,30,30,30","30,35,35,35","165,165,165,165",4,0,0,True,LinearRegression,47.27,32,32,200,0,5,52,14,27,21,11,28,4
"2017-05-16 22:49:49,562","30,30,30,30","30,35,35,35","165,165,165,165",4,0,0,True,LinearRegression,46.40,32,32,200,0,3,64,12,29,16,22,21,12
"2017-05-16 22:51:10,489","30,30,30,30","30,35,35,35","165,165,165,165",4,0,0,True,LinearRegression,48.27,32,32,200,0,2,57,18,21,23,12,30,3
"2017-05-16 22:52:28,814","30,30,30,30","30,35,35,35","165,165,165,165",4,0,0,True,LinearRegression,46.22,32,32,200,0,4,52,13,23,22,12,26,7
"2017-05-16 22:53:48,640","30,30,30,30","30,35,35,35","165,165,165,165",4,0,0,True,LinearRegression,47.25,32,32,200,0,4,48,14,22,26,7,29,3
"2017-05-16 22:55:06,743","30,30,30,30","30,35,35,35","165,165,165,165",4,0,0,True,LinearRegression,46.12,32,32,200,0,4,50,15,20,20,14,27,5
"2017-05-16 22:56:23,825","30,30,30,30","30,35,35,35","165,165,165,165",4,0,0,True,LinearRegression,44.96,32,32,200,0,1,62,14,24,20,16,22,11
"2017-05-16 22:57:42,834","30,30,30,30","30,35,35,35","165,165,165,165",4,0,0,True,LinearRegression,46.86,32,32,200,0,2,60,12,26,21,12,23,9
"2017-05-16 22:59:05,502","30,30,30,30","30,35,35,35","165,165,165,165",4,0,0,True,LinearRegression,51.11,32,32,200,0,1,64,12,26,23,9,28,4
"2017-05-16 23:00:29,028","30,30,30,30","30,35,35,35","165,165,165,165",4,0,0,True,LinearRegression,52.31,32,32,200,0,2,57,12,21,21,11,26,6
"2017-05-16 23:01:52,206","30,30,30,30","30,35,35,35","165,165,165,165",4,0,0,True,LinearRegression,52.77,32,32,200,0,3,58,17,20,23,9,27,5
"2017-05-16 23:03:16,098","30,30,30,30","30,35,35,35","165,165,165,165",4,0,0,True,LinearRegression,52.47,32,32,200,0,3,65,11,25,17,16,27,6
"2017-05-16 23:04:41,045","30,30,30,30","30,35,35,35","165,165,165,165",4,0,0,True,LinearRegression,53.72,32,32,200,0,8,45,18,14,26,6,28,4
"2017-05-16 23:06:01,649","30,30,30,30","30,35,35,35","165,165,165,165",4,0,0,True,LinearRegression,49.47,32,32,200,0,1,61,17,18,28,4,29,3
"2017-05-16 23:07:20,185","30,30,30,30","30,35,35,35","165,165,165,165",4,0,0,True,LinearRegression,46.89,32,32,200,0,2,65,17,23,20,15,24,8
"2017-05-16 23:08:38,893","30,30,30,30","30,35,35,35","165,165,165,165",4,0,0,True,LinearRegression,46.49,32,32,200,0,1,60,14,25,22,12,25,9
"2017-05-16 23:09:58,221","30,30,30,30","30,35,35,35","165,165,165,165",4,0,0,True,LinearRegression,47.03,32,32,200,0,3,62,17,19,30,2,30,2
"2017-05-16 23:11:16,375","30,30,30,30","30,35,35,35","165,165,165,165",4,0,0,True,LinearRegression,45.88,32,32,200,0,3,57,12,28,20,15,23,10
"2017-05-16 23:12:37,937","30,30,30,30","30,35,35,35","165,165,165,165",4,0,0,True,LinearRegression,48.90,32,32,200,0,4,56,18,17,24,8,27,5
"2017-05-16 23:13:59,498","30,30,30,30","30,35,35,35","165,165,165,165",4,0,0,True,LinearRegression,50.08,32,32,200,0,5,54,15,30,22,12,26,8
"2017-05-16 23:15:24,161","30,30,30,30","30,35,35,35","165,165,165,165",4,0,0,True,LinearRegression,52.88,32,32,200,0,2,64,17,18,22,10,27,5
"2017-05-16 23:16:42,102","30,30,30,30","30,35,35,35","165,165,165,165",4,0,0,True,LinearRegression,47.21,32,32,200,0,4,53,20,16,21,13,25,7
"2017-05-16 23:17:58,888","30,30,30,30","30,35,35,35","165,165,165,165",4,0,0,True,LinearRegression,45.77,32,32,200,0,2,62,8,29,19,14,28,5
"2017-05-16 23:19:17,205","30,30,30,30","30,35,35,35","165,165,165,165",4,0,0,True,LinearRegression,47.45,32,32,200,0,7,49,20,15,22,13,25,7
"2017-05-16 23:20:32,392","30,30,30,30","30,35,35,35","165,165,165,165",4,0,0,True,LinearRegression,44.69,32,32,200,0,3,63,13,23,22,10,25,7
"2017-05-16 22:49:01,901","30,30,30,30","30,35,35,35","165,165,165,165",4,0,0,True,LinearRegression,45.37,32,32,200,0,0,70,11,31,18,15,23,9
