"2017-05-02 18:49:49,156",I,R,Rule,Input size,Input area,Automaton size,Concat before,Estimator,Tot. fit time,Training sets,Testing sets,Distractor period,Point (success),1 fully correct seq.,1 mispredicted time steps,2 fully correct seq.,2 mispredicted time steps,3 fully correct seq.,3 mispredicted time steps
"2017-05-02 18:50:28,036","30,30,30","30,20,20",62,4,0,0,True,LinearRegression,21.03,32,32,200,0,1,66,2,62,0,80
"2017-05-02 18:51:05,111","30,30,30","30,20,20",62,4,0,0,True,LinearRegression,19.96,32,32,200,0,2,69,2,74,0,88
"2017-05-02 18:51:43,378","30,30,30","30,20,20",62,4,0,0,True,LinearRegression,20.47,32,32,200,0,1,66,1,74,1,76
"2017-05-02 18:52:21,659","30,30,30","30,20,20",62,4,0,0,True,LinearRegression,20.38,32,32,200,0,2,62,1,68,3,67
"2017-05-02 18:53:00,245","30,30,30","30,20,20",62,4,0,0,True,LinearRegression,20.86,32,32,200,0,2,73,1,89,1,72
"2017-05-02 18:53:39,087","30,30,30","30,20,20",62,4,0,0,True,LinearRegression,20.79,32,32,200,0,3,54,4,62,3,71
"2017-05-02 18:54:17,188","30,30,30","30,20,20",62,4,0,0,True,LinearRegression,20.16,32,32,200,0,2,56,3,55,0,77
"2017-05-02 18:54:55,051","30,30,30","30,20,20",62,4,0,0,True,LinearRegression,19.92,32,32,200,0,6,52,5,54,5,61
"2017-05-02 18:55:33,056","30,30,30","30,20,20",62,4,0,0,True,LinearRegression,20.35,32,32,200,0,3,60,3,60,1,80
"2017-05-02 18:56:12,551","30,30,30","30,20,20",62,4,0,0,True,LinearRegression,21.86,32,32,200,0,4,52,2,76,1,80
"2017-05-02 18:56:52,516","30,30,30","30,20,20",62,4,0,0,True,LinearRegression,21.64,32,32,200,0,4,67,3,62,0,81
"2017-05-02 18:57:32,093","30,30,30","30,20,20",62,4,0,0,True,LinearRegression,21.80,32,32,200,0,5,51,7,43,1,79
"2017-05-02 18:58:10,402","30,30,30","30,20,20",62,4,0,0,True,LinearRegression,20.74,32,32,200,0,7,43,4,59,4,65
"2017-05-02 18:58:49,751","30,30,30","30,20,20",62,4,0,0,True,LinearRegression,21.25,32,32,200,0,5,52,2,62,0,77
"2017-05-02 18:59:27,380","30,30,30","30,20,20",62,4,0,0,True,LinearRegression,20.00,32,32,200,0,3,62,1,69,2,80
"2017-05-02 19:00:06,324","30,30,30","30,20,20",62,4,0,0,True,LinearRegression,21.00,32,32,200,0,0,63,3,71,1,75
"2017-05-02 19:00:46,504","30,30,30","30,20,20",62,4,0,0,True,LinearRegression,22.31,32,32,200,0,3,55,2,71,2,79
"2017-05-02 19:01:26,506","30,30,30","30,20,20",62,4,0,0,True,LinearRegression,22.17,32,32,200,0,5,58,3,61,1,97
"2017-05-02 19:02:06,383","30,30,30","30,20,20",62,4,0,0,True,LinearRegression,21.91,32,32,200,0,2,57,0,99,0,106
"2017-05-02 19:02:46,515","30,30,30","30,20,20",62,4,0,0,True,LinearRegression,22.07,32,32,200,0,2,60,2,75,1,84
"2017-05-02 19:03:25,509","30,30,30","30,20,20",62,4,0,0,True,LinearRegression,21.50,32,32,200,0,4,57,5,54,3,64
"2017-05-02 19:04:04,383","30,30,30","30,20,20",62,4,0,0,True,LinearRegression,21.26,32,32,200,0,2,64,4,74,2,79
"2017-05-02 19:04:44,196","30,30,30","30,20,20",62,4,0,0,True,LinearRegression,21.96,32,32,200,0,3,63,0,83,0,103
"2017-05-02 19:05:23,916","30,30,30","30,20,20",62,4,0,0,True,LinearRegression,22.01,32,32,200,0,3,64,3,62,4,62
"2017-05-02 19:06:04,142","30,30,30","30,20,20",62,4,0,0,True,LinearRegression,22.07,32,32,200,0,2,66,0,80,0,86
"2017-05-02 18:50:28,148","30,30,30","30,20,20",62,4,0,0,True,LinearRegression,20.79,32,32,200,0,5,58,1,73,2,78
"2017-05-02 18:51:06,874","30,30,30","30,20,20",62,4,0,0,True,LinearRegression,20.84,32,32,200,0,7,50,5,47,3,66
"2017-05-02 18:51:45,836","30,30,30","30,20,20",62,4,0,0,True,LinearRegression,21.01,32,32,200,0,3,69,2,89,1,99
"2017-05-02 18:52:24,603","30,30,30","30,20,20",62,4,0,0,True,LinearRegression,20.24,32,32,200,0,6,49,6,49,1,68
"2017-05-02 18:53:03,384","30,30,30","30,20,20",62,4,0,0,True,LinearRegression,20.81,32,32,200,0,1,71,0,68,1,78
"2017-05-02 18:53:43,079","30,30,30","30,20,20",62,4,0,0,True,LinearRegression,21.49,32,32,200,0,3,64,0,77,0,87
"2017-05-02 18:54:21,890","30,30,30","30,20,20",62,4,0,0,True,LinearRegression,20.97,32,32,200,0,1,70,4,65,4,70
"2017-05-02 18:55:01,505","30,30,30","30,20,20",62,4,0,0,True,LinearRegression,21.36,32,32,200,0,6,54,4,56,1,88
"2017-05-02 18:55:40,978","30,30,30","30,20,20",62,4,0,0,True,LinearRegression,21.06,32,32,200,0,4,51,1,73,4,74
"2017-05-02 18:56:18,449","30,30,30","30,20,20",62,4,0,0,True,LinearRegression,19.62,32,32,200,0,6,56,4,62,2,76
"2017-05-02 18:56:56,308","30,30,30","30,20,20",62,4,0,0,True,LinearRegression,19.79,32,32,200,0,4,61,3,78,0,77
"2017-05-02 18:57:33,441","30,30,30","30,20,20",62,4,0,0,True,LinearRegression,19.70,32,32,200,0,8,49,0,84,1,101
"2017-05-02 18:58:11,180","30,30,30","30,20,20",62,4,0,0,True,LinearRegression,20.03,32,32,200,0,3,57,2,62,0,90
"2017-05-02 18:58:48,371","30,30,30","30,20,20",62,4,0,0,True,LinearRegression,19.55,32,32,200,0,2,73,1,61,3,63
"2017-05-02 18:59:25,452","30,30,30","30,20,20",62,4,0,0,True,LinearRegression,19.53,32,32,200,0,3,61,6,57,1,82
"2017-05-02 19:00:02,722","30,30,30","30,20,20",62,4,0,0,True,LinearRegression,19.54,32,32,200,0,4,56,4,56,2,70
"2017-05-02 19:00:40,068","30,30,30","30,20,20",62,4,0,0,True,LinearRegression,19.62,32,32,200,0,3,55,1,82,1,93
"2017-05-02 19:01:17,652","30,30,30","30,20,20",62,4,0,0,True,LinearRegression,19.89,32,32,200,0,4,68,0,82,0,89
"2017-05-02 19:01:55,683","30,30,30","30,20,20",62,4,0,0,True,LinearRegression,20.28,32,32,200,0,6,58,3,61,5,61
"2017-05-02 19:02:35,104","30,30,30","30,20,20",62,4,0,0,True,LinearRegression,21.18,32,32,200,0,3,52,5,58,3,67
"2017-05-02 19:03:14,122","30,30,30","30,20,20",62,4,0,0,True,LinearRegression,21.18,32,32,200,0,4,58,5,62,0,85
"2017-05-02 19:03:52,928","30,30,30","30,20,20",62,4,0,0,True,LinearRegression,20.92,32,32,200,0,1,64,0,95,0,88
"2017-05-02 19:04:32,633","30,30,30","30,20,20",62,4,0,0,True,LinearRegression,21.53,32,32,200,0,4,57,2,79,2,79
"2017-05-02 19:05:12,215","30,30,30","30,20,20",62,4,0,0,True,LinearRegression,21.42,32,32,200,0,1,74,0,83,0,90
"2017-05-02 19:05:51,408","30,30,30","30,20,20",62,4,0,0,True,LinearRegression,21.24,32,32,200,0,0,60,3,62,3,60
"2017-05-02 18:50:31,351","30,30,30","30,20,20",62,4,0,0,True,LinearRegression,22.50,32,32,200,0,1,68,0,96,0,97
"2017-05-02 18:51:09,928","30,30,30","30,20,20",62,4,0,0,True,LinearRegression,20.90,32,32,200,0,2,64,1,83,1,88
"2017-05-02 18:51:49,506","30,30,30","30,20,20",62,4,0,0,True,LinearRegression,21.68,32,32,200,0,6,51,0,79,0,90
"2017-05-02 18:52:29,871","30,30,30","30,20,20",62,4,0,0,True,LinearRegression,22.08,32,32,200,0,3,52,1,68,0,97
"2017-05-02 18:53:10,455","30,30,30","30,20,20",62,4,0,0,True,LinearRegression,22.64,32,32,200,0,3,62,0,90,0,105
"2017-05-02 18:53:50,360","30,30,30","30,20,20",62,4,0,0,True,LinearRegression,21.86,32,32,200,0,5,52,5,58,2,62
"2017-05-02 18:54:30,241","30,30,30","30,20,20",62,4,0,0,True,LinearRegression,21.41,32,32,200,0,5,62,4,59,3,65
"2017-05-02 18:55:10,164","30,30,30","30,20,20",62,4,0,0,True,LinearRegression,21.94,32,32,200,0,4,61,3,73,0,88
"2017-05-02 18:55:50,950","30,30,30","30,20,20",62,4,0,0,True,LinearRegression,22.50,32,32,200,0,6,49,4,56,1,74
"2017-05-02 18:56:30,839","30,30,30","30,20,20",62,4,0,0,True,LinearRegression,22.13,32,32,200,0,2,63,1,78,6,60
"2017-05-02 18:57:11,312","30,30,30","30,20,20",62,4,0,0,True,LinearRegression,22.31,32,32,200,0,2,61,0,90,2,82
"2017-05-02 18:57:50,808","30,30,30","30,20,20",62,4,0,0,True,LinearRegression,21.80,32,32,200,0,4,58,4,62,2,73
"2017-05-02 18:58:31,646","30,30,30","30,20,20",62,4,0,0,True,LinearRegression,22.83,32,32,200,0,5,61,1,83,1,99
"2017-05-02 18:59:11,649","30,30,30","30,20,20",62,4,0,0,True,LinearRegression,21.75,32,32,200,0,3,58,4,66,5,61
"2017-05-02 18:59:49,305","30,30,30","30,20,20",62,4,0,0,True,LinearRegression,20.20,32,32,200,0,7,52,3,73,4,69
"2017-05-02 19:00:27,114","30,30,30","30,20,20",62,4,0,0,True,LinearRegression,20.39,32,32,200,0,6,63,1,65,2,73
"2017-05-02 19:01:05,626","30,30,30","30,20,20",62,4,0,0,True,LinearRegression,20.45,32,32,200,0,2,66,0,70,0,77
"2017-05-02 19:01:44,471","30,30,30","30,20,20",62,4,0,0,True,LinearRegression,20.80,32,32,200,0,2,65,4,59,5,50
"2017-05-02 19:02:23,282","30,30,30","30,20,20",62,4,0,0,True,LinearRegression,20.65,32,32,200,0,2,70,0,95,0,95
"2017-05-02 19:03:05,052","30,30,30","30,20,20",62,4,0,0,True,LinearRegression,22.87,32,32,200,0,6,44,3,62,1,95
"2017-05-02 19:03:45,949","30,30,30","30,20,20",62,4,0,0,True,LinearRegression,22.89,32,32,200,0,1,60,0,68,1,87
"2017-05-02 19:04:25,284","30,30,30","30,20,20",62,4,0,0,True,LinearRegression,21.66,32,32,200,0,2,50,5,54,0,65
"2017-05-02 19:05:05,508","30,30,30","30,20,20",62,4,0,0,True,LinearRegression,22.19,32,32,200,0,2,62,1,70,2,79
"2017-05-02 19:05:45,425","30,30,30","30,20,20",62,4,0,0,True,LinearRegression,22.36,32,32,200,0,3,63,0,67,3,80
"2017-05-02 19:06:24,504","30,30,30","30,20,20",62,4,0,0,True,LinearRegression,21.40,32,32,200,0,4,58,4,58,3,68
"2017-05-02 18:50:31,397","30,30,30","30,20,20",62,4,0,0,True,LinearRegression,24.96,32,32,200,0,2,68,2,69,2,74
"2017-05-02 18:51:07,455","30,30,30","30,20,20",62,4,0,0,True,LinearRegression,19.32,32,32,200,0,1,74,1,79,1,88
"2017-05-02 18:51:45,090","30,30,30","30,20,20",62,4,0,0,True,LinearRegression,19.79,32,32,200,0,7,53,5,55,2,65
"2017-05-02 18:52:21,925","30,30,30","30,20,20",62,4,0,0,True,LinearRegression,19.63,32,32,200,0,3,58,3,66,2,79
"2017-05-02 18:52:56,718","30,30,30","30,20,20",62,4,0,0,True,LinearRegression,19.12,32,32,200,0,3,53,2,73,3,77
"2017-05-02 18:53:33,982","30,30,30","30,20,20",62,4,0,0,True,LinearRegression,20.17,32,32,200,0,3,66,0,79,0,96
"2017-05-02 18:54:10,985","30,30,30","30,20,20",62,4,0,0,True,LinearRegression,19.38,32,32,200,0,4,54,3,77,1,81
"2017-05-02 18:54:46,597","30,30,30","30,20,20",62,4,0,0,True,LinearRegression,18.87,32,32,200,0,5,54,3,58,5,53
"2017-05-02 18:55:21,679","30,30,30","30,20,20",62,4,0,0,True,LinearRegression,19.23,32,32,200,0,7,51,1,67,1,61
"2017-05-02 18:56:00,997","30,30,30","30,20,20",62,4,0,0,True,LinearRegression,21.65,32,32,200,0,6,53,4,58,0,77
"2017-05-02 18:56:40,640","30,30,30","30,20,20",62,4,0,0,True,LinearRegression,21.65,32,32,200,0,3,59,3,73,3,65
"2017-05-02 18:57:20,864","30,30,30","30,20,20",62,4,0,0,True,LinearRegression,22.24,32,32,200,0,1,56,1,81,2,82
"2017-05-02 18:58:05,506","30,30,30","30,20,20",62,4,0,0,True,LinearRegression,26.30,32,32,200,0,1,64,1,66,1,78
"2017-05-02 18:58:50,473","30,30,30","30,20,20",62,4,0,0,True,LinearRegression,26.18,32,32,200,0,11,48,7,64,3,67
"2017-05-02 18:59:35,429","30,30,30","30,20,20",62,4,0,0,True,LinearRegression,26.53,32,32,200,0,1,60,7,45,4,62
"2017-05-02 19:00:22,157","30,30,30","30,20,20",62,4,0,0,True,LinearRegression,27.71,32,32,200,0,3,55,2,63,3,58
"2017-05-02 19:01:06,853","30,30,30","30,20,20",62,4,0,0,True,LinearRegression,26.47,32,32,200,0,0,67,0,73,0,90
"2017-05-02 19:01:43,863","30,30,30","30,20,20",62,4,0,0,True,LinearRegression,19.94,32,32,200,0,7,58,7,58,2,67
"2017-05-02 19:02:21,537","30,30,30","30,20,20",62,4,0,0,True,LinearRegression,20.08,32,32,200,0,3,67,0,89,0,98
"2017-05-02 19:02:57,397","30,30,30","30,20,20",62,4,0,0,True,LinearRegression,18.96,32,32,200,0,3,60,0,91,0,105
"2017-05-02 19:03:32,982","30,30,30","30,20,20",62,4,0,0,True,LinearRegression,19.63,32,32,200,0,3,63,0,76,2,87
"2017-05-02 19:04:11,805","30,30,30","30,20,20",62,4,0,0,True,LinearRegression,20.76,32,32,200,0,4,63,1,85,0,97
"2017-05-02 19:04:51,498","30,30,30","30,20,20",62,4,0,0,True,LinearRegression,21.30,32,32,200,0,6,45,4,47,0,89
"2017-05-02 19:05:29,551","30,30,30","30,20,20",62,4,0,0,True,LinearRegression,20.50,32,32,200,0,4,50,5,67,6,60
"2017-05-02 19:06:09,095","30,30,30","30,20,20",62,4,0,0,True,LinearRegression,21.48,32,32,200,0,0,65,3,63,1,65
