"2017-05-17 16:06:22,142",I,R,Rule,Input size,Input area,Automaton size,Concat before,Estimator,Tot. fit time,Training sets,Testing sets,Distractor period,Point (success),1 fully correct seq.,1 mispredicted time steps,2 fully correct seq.,2 mispredicted time steps,3 fully correct seq.,3 mispredicted time steps,4 fully correct seq.,4 mispredicted time steps,5 fully correct seq.,5 mispredicted time steps
"2017-05-17 16:07:39,126","30,30,30,30,30","30,30,30,30,30","165,62,62,62,62",4,0,0,True,LinearRegression,45.17,32,32,200,0,2,68,13,23,18,15,21,12,24,9
"2017-05-17 16:08:51,194","30,30,30,30,30","30,30,30,30,30","165,62,62,62,62",4,0,0,True,LinearRegression,40.59,32,32,200,0,6,56,18,21,26,7,28,5,29,3
"2017-05-17 16:10:06,015","30,30,30,30,30","30,30,30,30,30","165,62,62,62,62",4,0,0,True,LinearRegression,42.82,32,32,200,0,2,58,14,24,22,12,22,12,23,11
"2017-05-17 16:11:21,510","30,30,30,30,30","30,30,30,30,30","165,62,62,62,62",4,0,0,True,LinearRegression,42.94,32,32,200,0,5,55,14,25,20,14,25,8,28,5
"2017-05-17 16:12:35,734","30,30,30,30,30","30,30,30,30,30","165,62,62,62,62",4,0,0,True,LinearRegression,41.60,32,32,200,0,4,56,19,16,25,7,27,5,25,7
"2017-05-17 16:13:53,968","30,30,30,30,30","30,30,30,30,30","165,62,62,62,62",4,0,0,True,LinearRegression,46.15,32,32,200,0,7,46,14,23,22,11,25,8,29,3
"2017-05-17 16:15:09,242","30,30,30,30,30","30,30,30,30,30","165,62,62,62,62",4,0,0,True,LinearRegression,43.06,32,32,200,0,7,58,19,20,23,16,19,18,24,11
"2017-05-17 16:16:22,137","30,30,30,30,30","30,30,30,30,30","165,62,62,62,62",4,0,0,True,LinearRegression,41.05,32,32,200,0,4,51,13,28,17,18,25,8,27,6
"2017-05-17 16:17:33,846","30,30,30,30,30","30,30,30,30,30","165,62,62,62,62",4,0,0,True,LinearRegression,38.96,32,32,200,0,2,66,14,30,19,14,25,8,30,2
"2017-05-17 16:18:44,543","30,30,30,30,30","30,30,30,30,30","165,62,62,62,62",4,0,0,True,LinearRegression,39.17,32,32,200,0,4,68,8,34,13,24,22,13,24,9
"2017-05-17 16:19:57,753","30,30,30,30,30","30,30,30,30,30","165,62,62,62,62",4,0,0,True,LinearRegression,41.17,32,32,200,0,1,66,12,29,20,14,27,6,26,7
"2017-05-17 16:21:12,601","30,30,30,30,30","30,30,30,30,30","165,62,62,62,62",4,0,0,True,LinearRegression,43.14,32,32,200,0,3,59,16,24,18,19,20,16,21,15
"2017-05-17 16:22:26,912","30,30,30,30,30","30,30,30,30,30","165,62,62,62,62",4,0,0,True,LinearRegression,42.36,32,32,200,0,4,56,17,22,20,13,26,7,27,5
"2017-05-17 16:23:41,868","30,30,30,30,30","30,30,30,30,30","165,62,62,62,62",4,0,0,True,LinearRegression,43.08,32,32,200,0,6,55,16,21,22,11,25,7,28,5
"2017-05-17 16:24:54,865","30,30,30,30,30","30,30,30,30,30","165,62,62,62,62",4,0,0,True,LinearRegression,41.23,32,32,200,0,6,56,19,14,27,5,27,6,28,4
"2017-05-17 16:26:07,315","30,30,30,30,30","30,30,30,30,30","165,62,62,62,62",4,0,0,True,LinearRegression,40.30,32,32,200,0,1,64,14,23,22,14,24,10,24,9
"2017-05-17 16:27:26,450","30,30,30,30,30","30,30,30,30,30","165,62,62,62,62",4,0,0,True,LinearRegression,47.23,32,32,200,0,9,44,17,21,23,12,24,9,27,5
"2017-05-17 16:28:44,255","30,30,30,30,30","30,30,30,30,30","165,62,62,62,62",4,0,0,True,LinearRegression,45.01,32,32,200,0,3,62,15,24,21,14,25,7,25,7
"2017-05-17 16:30:01,465","30,30,30,30,30","30,30,30,30,30","165,62,62,62,62",4,0,0,True,LinearRegression,44.37,32,32,200,0,8,45,23,12,26,8,26,8,28,5
