"2017-05-04 05:53:22,071",Is,Rs,Rule,Input size,Input area,Automaton size,Concat before,Estimator,D,Tot. fit time,Final misclassif.,1 out of,1 misclassif
"2017-05-04 05:55:34,809","20","50",60,12,12,12,True,LinearRegression,4,8.55,42,370,42
"2017-05-04 05:57:54,755","20","50",60,12,12,12,True,LinearRegression,4,13.57,56,370,56
"2017-05-04 06:00:18,932","20","50",60,12,12,12,True,LinearRegression,4,15.46,53,370,53
"2017-05-04 06:02:40,638","20","50",60,12,12,12,True,LinearRegression,4,15.00,56,370,56
"2017-05-04 06:04:52,856","20","50",60,12,12,12,True,LinearRegression,4,8.90,56,370,56
"2017-05-04 06:07:17,011","20","50",60,12,12,12,True,LinearRegression,4,16.61,54,370,54
"2017-05-04 06:09:32,134","20","50",60,12,12,12,True,LinearRegression,4,8.59,59,370,59
"2017-05-04 06:11:46,643","20","50",60,12,12,12,True,LinearRegression,4,8.36,56,370,56
"2017-05-04 06:14:06,963","20","50",60,12,12,12,True,LinearRegression,4,13.25,56,370,56
"2017-05-04 06:16:29,435","20","50",60,12,12,12,True,LinearRegression,4,15.42,55,370,55
"2017-05-04 06:18:52,372","20","50",60,12,12,12,True,LinearRegression,4,15.29,49,370,49
"2017-05-04 06:21:04,175","20","50",60,12,12,12,True,LinearRegression,4,8.20,54,370,54
"2017-05-04 06:23:27,800","20","50",60,12,12,12,True,LinearRegression,4,15.86,57,370,57
"2017-05-04 06:25:44,177","20","50",60,12,12,12,True,LinearRegression,4,8.82,53,370,53
"2017-05-04 06:27:58,168","20","50",60,12,12,12,True,LinearRegression,4,8.43,57,370,57
"2017-05-04 06:30:18,802","20","50",60,12,12,12,True,LinearRegression,4,11.99,57,370,57
"2017-05-04 06:32:42,243","20","50",60,12,12,12,True,LinearRegression,4,15.27,59,370,59
"2017-05-04 06:35:07,703","20","50",60,12,12,12,True,LinearRegression,4,16.13,54,370,54
"2017-05-04 06:37:18,180","20","50",60,12,12,12,True,LinearRegression,4,7.87,50,370,50
"2017-05-04 06:39:41,129","20","50",60,12,12,12,True,LinearRegression,4,15.78,66,370,66
"2017-05-04 06:41:56,497","20","50",60,12,12,12,True,LinearRegression,4,8.61,50,370,50
"2017-05-04 06:44:13,340","20","50",60,12,12,12,True,LinearRegression,4,10.45,50,370,50
"2017-05-04 06:46:32,254","20","50",60,12,12,12,True,LinearRegression,4,9.57,55,370,55
"2017-05-04 06:48:55,126","20","50",60,12,12,12,True,LinearRegression,4,15.35,50,370,50
"2017-05-04 06:51:12,461","20","50",60,12,12,12,True,LinearRegression,4,11.02,45,370,45
"2017-05-04 04:28:44,638","20","50",60,12,12,12,True,LinearRegression,4,7.01,59,370,59
"2017-05-04 04:30:33,374","20","50",60,12,12,12,True,LinearRegression,4,4.56,52,370,52
"2017-05-04 04:32:24,384","20","50",60,12,12,12,True,LinearRegression,4,5.80,51,370,51
"2017-05-04 04:34:14,405","20","50",60,12,12,12,True,LinearRegression,4,6.61,49,370,49
"2017-05-04 04:36:04,394","20","50",60,12,12,12,True,LinearRegression,4,5.69,53,370,53
"2017-05-04 04:37:55,355","20","50",60,12,12,12,True,LinearRegression,4,6.76,55,370,55
"2017-05-04 04:39:45,180","20","50",60,12,12,12,True,LinearRegression,4,5.56,57,370,57
"2017-05-04 04:41:35,608","20","50",60,12,12,12,True,LinearRegression,4,6.88,51,370,51
"2017-05-04 04:43:25,659","20","50",60,12,12,12,True,LinearRegression,4,6.66,50,370,50
"2017-05-04 04:45:16,049","20","50",60,12,12,12,True,LinearRegression,4,6.76,48,370,48
"2017-05-04 04:47:07,991","20","50",60,12,12,12,True,LinearRegression,4,5.55,60,370,60
"2017-05-04 04:49:00,677","20","50",60,12,12,12,True,LinearRegression,4,5.67,54,370,54
"2017-05-04 04:50:51,715","20","50",60,12,12,12,True,LinearRegression,4,6.19,61,370,61
"2017-05-04 04:52:44,646","20","50",60,12,12,12,True,LinearRegression,4,6.56,59,370,59
"2017-05-04 04:54:34,164","20","50",60,12,12,12,True,LinearRegression,4,5.69,52,370,52
"2017-05-04 04:56:24,765","20","50",60,12,12,12,True,LinearRegression,4,5.58,47,370,47
"2017-05-04 04:58:12,697","20","50",60,12,12,12,True,LinearRegression,4,4.84,50,370,50
"2017-05-04 05:00:00,492","20","50",60,12,12,12,True,LinearRegression,4,5.09,53,370,53
"2017-05-04 05:01:50,667","20","50",60,12,12,12,True,LinearRegression,4,6.86,60,370,60
"2017-05-04 05:03:38,705","20","50",60,12,12,12,True,LinearRegression,4,6.61,55,370,55
"2017-05-04 05:05:29,960","20","50",60,12,12,12,True,LinearRegression,4,6.52,55,370,55
"2017-05-04 05:07:24,223","20","50",60,12,12,12,True,LinearRegression,4,6.85,51,370,51
"2017-05-04 05:09:15,110","20","50",60,12,12,12,True,LinearRegression,4,4.98,47,370,47
"2017-05-04 05:11:04,486","20","50",60,12,12,12,True,LinearRegression,4,4.76,54,370,54
"2017-05-04 05:12:52,675","20","50",60,12,12,12,True,LinearRegression,4,5.35,59,370,59
"2017-05-04 04:29:07,843","20","50",60,12,12,12,True,LinearRegression,4,6.53,52,370,52
"2017-05-04 04:30:59,653","20","50",60,12,12,12,True,LinearRegression,4,6.63,57,370,57
"2017-05-04 04:32:51,036","20","50",60,12,12,12,True,LinearRegression,4,7.10,51,370,51
"2017-05-04 04:34:41,352","20","50",60,12,12,12,True,LinearRegression,4,6.84,56,370,56
"2017-05-04 04:36:33,270","20","50",60,12,12,12,True,LinearRegression,4,7.01,48,370,48
"2017-05-04 04:38:22,928","20","50",60,12,12,12,True,LinearRegression,4,4.50,57,370,57
"2017-05-04 04:40:11,183","20","50",60,12,12,12,True,LinearRegression,4,4.63,56,370,56
"2017-05-04 04:42:01,540","20","50",60,12,12,12,True,LinearRegression,4,6.82,54,370,54
"2017-05-04 04:43:52,378","20","50",60,12,12,12,True,LinearRegression,4,6.64,60,370,60
"2017-05-04 04:45:43,106","20","50",60,12,12,12,True,LinearRegression,4,5.74,52,370,52
"2017-05-04 04:47:37,095","20","50",60,12,12,12,True,LinearRegression,4,7.10,52,370,52
"2017-05-04 04:49:30,818","20","50",60,12,12,12,True,LinearRegression,4,6.70,57,370,57
"2017-05-04 04:51:25,309","20","50",60,12,12,12,True,LinearRegression,4,7.21,46,370,46
"2017-05-04 04:53:18,605","20","50",60,12,12,12,True,LinearRegression,4,6.72,60,370,60
"2017-05-04 04:55:11,492","20","50",60,12,12,12,True,LinearRegression,4,6.75,57,370,57
"2017-05-04 04:57:04,532","20","50",60,12,12,12,True,LinearRegression,4,7.27,65,370,65
"2017-05-04 04:58:57,208","20","50",60,12,12,12,True,LinearRegression,4,6.40,63,370,63
"2017-05-04 05:00:50,774","20","50",60,12,12,12,True,LinearRegression,4,6.67,48,370,48
"2017-05-04 05:02:42,738","20","50",60,12,12,12,True,LinearRegression,4,6.77,56,370,56
"2017-05-04 05:04:37,005","20","50",60,12,12,12,True,LinearRegression,4,6.80,55,370,55
"2017-05-04 05:06:24,777","20","50",60,12,12,12,True,LinearRegression,4,4.69,55,370,55
"2017-05-04 05:08:11,185","20","50",60,12,12,12,True,LinearRegression,4,4.49,57,370,57
"2017-05-04 05:09:59,176","20","50",60,12,12,12,True,LinearRegression,4,4.49,50,370,50
"2017-05-04 05:11:50,041","20","50",60,12,12,12,True,LinearRegression,4,5.65,49,370,49
"2017-05-04 05:13:42,596","20","50",60,12,12,12,True,LinearRegression,4,5.59,49,370,49
"2017-05-04 04:28:53,122","20","50",60,12,12,12,True,LinearRegression,4,5.64,52,370,52
"2017-05-04 04:30:45,635","20","50",60,12,12,12,True,LinearRegression,4,6.70,42,370,42
"2017-05-04 04:32:36,214","20","50",60,12,12,12,True,LinearRegression,4,4.58,57,370,57
"2017-05-04 04:34:25,842","20","50",60,12,12,12,True,LinearRegression,4,4.59,54,370,54
"2017-05-04 04:36:17,059","20","50",60,12,12,12,True,LinearRegression,4,5.32,57,370,57
"2017-05-04 04:38:10,785","20","50",60,12,12,12,True,LinearRegression,4,6.55,48,370,48
"2017-05-04 04:40:00,184","20","50",60,12,12,12,True,LinearRegression,4,4.56,48,370,48
"2017-05-04 04:41:50,786","20","50",60,12,12,12,True,LinearRegression,4,5.70,56,370,56
"2017-05-04 04:43:41,494","20","50",60,12,12,12,True,LinearRegression,4,4.95,61,370,61
"2017-05-04 04:45:33,435","20","50",60,12,12,12,True,LinearRegression,4,6.65,53,370,53
"2017-05-04 04:47:22,244","20","50",60,12,12,12,True,LinearRegression,4,5.63,49,370,49
"2017-05-04 04:49:10,750","20","50",60,12,12,12,True,LinearRegression,4,4.60,58,370,58
"2017-05-04 04:50:58,966","20","50",60,12,12,12,True,LinearRegression,4,4.70,52,370,52
"2017-05-04 04:52:45,572","20","50",60,12,12,12,True,LinearRegression,4,4.94,74,370,74
"2017-05-04 04:54:34,174","20","50",60,12,12,12,True,LinearRegression,4,4.93,53,370,53
"2017-05-04 04:56:23,330","20","50",60,12,12,12,True,LinearRegression,4,5.44,47,370,47
"2017-05-04 04:58:15,816","20","50",60,12,12,12,True,LinearRegression,4,5.13,57,370,57
"2017-05-04 05:00:07,574","20","50",60,12,12,12,True,LinearRegression,4,5.68,65,370,65
"2017-05-04 05:01:59,948","20","50",60,12,12,12,True,LinearRegression,4,6.92,53,370,53
"2017-05-04 05:03:53,386","20","50",60,12,12,12,True,LinearRegression,4,6.50,54,370,54
"2017-05-04 05:05:45,409","20","50",60,12,12,12,True,LinearRegression,4,5.48,52,370,52
"2017-05-04 05:07:38,257","20","50",60,12,12,12,True,LinearRegression,4,6.33,50,370,50
"2017-05-04 05:09:32,270","20","50",60,12,12,12,True,LinearRegression,4,6.86,57,370,57
"2017-05-04 05:11:24,959","20","50",60,12,12,12,True,LinearRegression,4,7.11,47,370,47
"2017-05-04 05:13:16,234","20","50",60,12,12,12,True,LinearRegression,4,6.95,53,370,53
