"2017-05-05 10:01:24,192",Is,Rs,Rule,Input size,Input area,Automaton size,Concat before,Estimator,D,Tot. fit time,Final misclassif.,1 out of,1 misclassif,2 out of,2 misclassif,3 out of,3 misclassif,4 out of,4 misclassif
"2017-05-05 10:09:44,482","20,20,20,20","50,50,50,50",106,12,12,12,True,LinearRegression,4,87.00,90,1480,683,1480,593,1480,612,370,90
"2017-05-05 10:18:14,241","20,20,20,20","50,50,50,50",106,12,12,12,True,LinearRegression,4,89.15,72,1480,653,1480,575,1480,655,370,72
"2017-05-05 10:26:25,181","20,20,20,20","50,50,50,50",106,12,12,12,True,LinearRegression,4,77.60,85,1480,656,1480,596,1480,651,370,85
"2017-05-05 10:34:55,304","20,20,20,20","50,50,50,50",106,12,12,12,True,LinearRegression,4,94.64,61,1480,659,1480,594,1480,629,370,61
"2017-05-05 10:43:02,487","20,20,20,20","50,50,50,50",106,12,12,12,True,LinearRegression,4,75.46,77,1480,677,1480,604,1480,614,370,77
"2017-05-05 10:51:33,721","20,20,20,20","50,50,50,50",106,12,12,12,True,LinearRegression,4,92.70,89,1480,626,1480,575,1480,617,370,89
"2017-05-05 10:59:55,740","20,20,20,20","50,50,50,50",106,12,12,12,True,LinearRegression,4,91.77,75,1480,659,1480,561,1480,610,370,75
"2017-05-05 11:08:16,745","20,20,20,20","50,50,50,50",106,12,12,12,True,LinearRegression,4,82.00,89,1480,674,1480,560,1480,601,370,89
"2017-05-05 11:16:42,380","20,20,20,20","50,50,50,50",106,12,12,12,True,LinearRegression,4,96.45,74,1480,638,1480,580,1480,598,370,74
"2017-05-05 11:25:11,128","20,20,20,20","50,50,50,50",106,12,12,12,True,LinearRegression,4,92.06,106,1480,666,1480,611,1480,632,370,106
"2017-05-05 11:33:27,782","20,20,20,20","50,50,50,50",106,12,12,12,True,LinearRegression,4,78.30,85,1480,682,1480,593,1480,643,370,85
"2017-05-05 11:42:06,183","20,20,20,20","50,50,50,50",106,12,12,12,True,LinearRegression,4,99.54,65,1480,665,1480,557,1480,625,370,65
"2017-05-05 11:50:35,487","20,20,20,20","50,50,50,50",106,12,12,12,True,LinearRegression,4,92.12,80,1480,679,1480,578,1480,604,370,80
"2017-05-05 11:58:50,474","20,20,20,20","50,50,50,50",106,12,12,12,True,LinearRegression,4,82.70,94,1480,665,1480,602,1480,641,370,94
"2017-05-05 12:07:28,500","20,20,20,20","50,50,50,50",106,12,12,12,True,LinearRegression,4,100.87,76,1480,654,1480,594,1480,622,370,76
"2017-05-05 12:15:38,891","20,20,20,20","50,50,50,50",106,12,12,12,True,LinearRegression,4,81.53,80,1480,635,1480,573,1480,585,370,80
"2017-05-05 12:23:59,571","20,20,20,20","50,50,50,50",106,12,12,12,True,LinearRegression,4,88.19,70,1480,635,1480,598,1480,614,370,70
"2017-05-05 12:32:09,254","20,20,20,20","50,50,50,50",106,12,12,12,True,LinearRegression,4,76.93,82,1480,686,1480,583,1480,612,370,82
"2017-05-05 12:40:40,134","20,20,20,20","50,50,50,50",106,12,12,12,True,LinearRegression,4,94.88,91,1480,645,1480,573,1480,583,370,91
"2017-05-05 12:49:07,069","20,20,20,20","50,50,50,50",106,12,12,12,True,LinearRegression,4,92.24,84,1480,658,1480,566,1480,624,370,84
"2017-05-05 12:57:24,010","20,20,20,20","50,50,50,50",106,12,12,12,True,LinearRegression,4,78.85,87,1480,666,1480,598,1480,615,370,87
"2017-05-05 13:05:51,242","20,20,20,20","50,50,50,50",106,12,12,12,True,LinearRegression,4,93.04,80,1480,667,1480,572,1480,599,370,80
"2017-05-05 13:14:26,650","20,20,20,20","50,50,50,50",106,12,12,12,True,LinearRegression,4,98.40,86,1480,679,1480,608,1480,647,370,86
"2017-05-05 13:22:37,995","20,20,20,20","50,50,50,50",106,12,12,12,True,LinearRegression,4,76.65,88,1480,644,1480,594,1480,619,370,88
"2017-05-05 13:31:04,390","20,20,20,20","50,50,50,50",106,12,12,12,True,LinearRegression,4,93.67,77,1480,652,1480,617,1480,637,370,77
"2017-05-05 07:54:00,349","20,20,20,20","50,50,50,50",106,12,12,12,True,LinearRegression,4,47.64,98,1480,656,1480,583,1480,673,370,98
"2017-05-05 07:59:58,188","20,20,20,20","50,50,50,50",106,12,12,12,True,LinearRegression,4,48.58,89,1480,632,1480,569,1480,591,370,89
"2017-05-05 08:05:54,921","20,20,20,20","50,50,50,50",106,12,12,12,True,LinearRegression,4,47.32,92,1480,653,1480,560,1480,625,370,92
"2017-05-05 08:11:49,923","20,20,20,20","50,50,50,50",106,12,12,12,True,LinearRegression,4,47.47,88,1480,676,1480,569,1480,612,370,88
"2017-05-05 08:17:44,836","20,20,20,20","50,50,50,50",106,12,12,12,True,LinearRegression,4,47.85,95,1480,635,1480,564,1480,632,370,95
"2017-05-05 08:23:38,744","20,20,20,20","50,50,50,50",106,12,12,12,True,LinearRegression,4,47.32,98,1480,686,1480,611,1480,633,370,98
"2017-05-05 08:29:34,954","20,20,20,20","50,50,50,50",106,12,12,12,True,LinearRegression,4,47.37,91,1480,679,1480,580,1480,616,370,91
"2017-05-05 08:35:33,548","20,20,20,20","50,50,50,50",106,12,12,12,True,LinearRegression,4,47.10,80,1480,667,1480,552,1480,619,370,80
"2017-05-05 08:41:28,226","20,20,20,20","50,50,50,50",106,12,12,12,True,LinearRegression,4,47.41,98,1480,653,1480,565,1480,611,370,98
"2017-05-05 08:47:24,082","20,20,20,20","50,50,50,50",106,12,12,12,True,LinearRegression,4,46.52,100,1480,637,1480,572,1480,586,370,100
"2017-05-05 08:53:20,757","20,20,20,20","50,50,50,50",106,12,12,12,True,LinearRegression,4,47.46,80,1480,702,1480,592,1480,628,370,80
"2017-05-05 08:59:18,103","20,20,20,20","50,50,50,50",106,12,12,12,True,LinearRegression,4,46.92,74,1480,652,1480,563,1480,636,370,74
"2017-05-05 09:05:15,262","20,20,20,20","50,50,50,50",106,12,12,12,True,LinearRegression,4,47.28,95,1480,670,1480,604,1480,624,370,95
"2017-05-05 09:11:11,143","20,20,20,20","50,50,50,50",106,12,12,12,True,LinearRegression,4,46.67,85,1480,654,1480,560,1480,602,370,85
"2017-05-05 09:17:07,183","20,20,20,20","50,50,50,50",106,12,12,12,True,LinearRegression,4,47.87,78,1480,661,1480,584,1480,609,370,78
"2017-05-05 09:23:03,375","20,20,20,20","50,50,50,50",106,12,12,12,True,LinearRegression,4,47.37,97,1480,648,1480,604,1480,604,370,97
"2017-05-05 09:29:01,600","20,20,20,20","50,50,50,50",106,12,12,12,True,LinearRegression,4,47.32,80,1480,663,1480,592,1480,627,370,80
"2017-05-05 09:34:57,569","20,20,20,20","50,50,50,50",106,12,12,12,True,LinearRegression,4,46.82,81,1480,670,1480,588,1480,607,370,81
"2017-05-05 09:40:54,034","20,20,20,20","50,50,50,50",106,12,12,12,True,LinearRegression,4,48.00,84,1480,653,1480,580,1480,636,370,84
"2017-05-05 09:46:50,867","20,20,20,20","50,50,50,50",106,12,12,12,True,LinearRegression,4,47.95,94,1480,671,1480,590,1480,614,370,94
"2017-05-05 09:52:48,287","20,20,20,20","50,50,50,50",106,12,12,12,True,LinearRegression,4,46.98,75,1480,637,1480,570,1480,631,370,75
"2017-05-05 09:58:42,867","20,20,20,20","50,50,50,50",106,12,12,12,True,LinearRegression,4,46.81,77,1480,651,1480,604,1480,636,370,77
"2017-05-05 10:04:40,762","20,20,20,20","50,50,50,50",106,12,12,12,True,LinearRegression,4,47.29,82,1480,626,1480,572,1480,612,370,82
"2017-05-05 10:10:36,190","20,20,20,20","50,50,50,50",106,12,12,12,True,LinearRegression,4,47.48,84,1480,651,1480,612,1480,617,370,84
"2017-05-05 10:16:32,581","20,20,20,20","50,50,50,50",106,12,12,12,True,LinearRegression,4,47.07,90,1480,647,1480,556,1480,584,370,90
"2017-05-05 07:51:16,658","20,20,20,20","50,50,50,50",106,12,12,12,True,LinearRegression,4,47.41,75,1480,645,1480,575,1480,592,370,75
"2017-05-05 07:57:12,301","20,20,20,20","50,50,50,50",106,12,12,12,True,LinearRegression,4,47.81,67,1480,666,1480,603,1480,604,370,67
"2017-05-05 08:03:05,692","20,20,20,20","50,50,50,50",106,12,12,12,True,LinearRegression,4,48.04,95,1480,649,1480,573,1480,648,370,95
"2017-05-05 08:08:58,193","20,20,20,20","50,50,50,50",106,12,12,12,True,LinearRegression,4,47.06,82,1480,680,1480,589,1480,584,370,82
"2017-05-05 08:14:52,091","20,20,20,20","50,50,50,50",106,12,12,12,True,LinearRegression,4,46.87,76,1480,647,1480,591,1480,612,370,76
"2017-05-05 08:20:43,920","20,20,20,20","50,50,50,50",106,12,12,12,True,LinearRegression,4,47.36,74,1480,646,1480,593,1480,589,370,74
"2017-05-05 08:26:37,622","20,20,20,20","50,50,50,50",106,12,12,12,True,LinearRegression,4,47.21,79,1480,656,1480,597,1480,614,370,79
"2017-05-05 08:32:31,864","20,20,20,20","50,50,50,50",106,12,12,12,True,LinearRegression,4,47.29,93,1480,647,1480,565,1480,641,370,93
"2017-05-05 08:38:23,686","20,20,20,20","50,50,50,50",106,12,12,12,True,LinearRegression,4,48.04,81,1480,692,1480,581,1480,601,370,81
"2017-05-05 08:44:16,226","20,20,20,20","50,50,50,50",106,12,12,12,True,LinearRegression,4,47.58,70,1480,651,1480,596,1480,621,370,70
"2017-05-05 08:50:09,936","20,20,20,20","50,50,50,50",106,12,12,12,True,LinearRegression,4,47.60,79,1480,692,1480,592,1480,621,370,79
"2017-05-05 08:56:04,812","20,20,20,20","50,50,50,50",106,12,12,12,True,LinearRegression,4,48.07,94,1480,685,1480,622,1480,633,370,94
"2017-05-05 09:01:56,986","20,20,20,20","50,50,50,50",106,12,12,12,True,LinearRegression,4,47.22,93,1480,650,1480,591,1480,641,370,93
"2017-05-05 09:07:49,617","20,20,20,20","50,50,50,50",106,12,12,12,True,LinearRegression,4,48.14,87,1480,676,1480,592,1480,608,370,87
"2017-05-05 09:13:43,758","20,20,20,20","50,50,50,50",106,12,12,12,True,LinearRegression,4,47.81,88,1480,648,1480,574,1480,631,370,88
"2017-05-05 09:19:36,888","20,20,20,20","50,50,50,50",106,12,12,12,True,LinearRegression,4,47.08,101,1480,669,1480,595,1480,637,370,101
"2017-05-05 09:25:30,524","20,20,20,20","50,50,50,50",106,12,12,12,True,LinearRegression,4,47.16,84,1480,665,1480,591,1480,619,370,84
"2017-05-05 09:31:22,833","20,20,20,20","50,50,50,50",106,12,12,12,True,LinearRegression,4,47.85,84,1480,652,1480,559,1480,638,370,84
"2017-05-05 09:37:15,000","20,20,20,20","50,50,50,50",106,12,12,12,True,LinearRegression,4,47.87,78,1480,658,1480,602,1480,628,370,78
"2017-05-05 09:43:06,307","20,20,20,20","50,50,50,50",106,12,12,12,True,LinearRegression,4,47.54,73,1480,656,1480,618,1480,642,370,73
"2017-05-05 09:49:00,545","20,20,20,20","50,50,50,50",106,12,12,12,True,LinearRegression,4,48.40,76,1480,656,1480,580,1480,615,370,76
"2017-05-05 09:54:54,749","20,20,20,20","50,50,50,50",106,12,12,12,True,LinearRegression,4,47.89,91,1480,655,1480,585,1480,615,370,91
"2017-05-05 10:00:49,104","20,20,20,20","50,50,50,50",106,12,12,12,True,LinearRegression,4,46.63,80,1480,649,1480,591,1480,627,370,80
"2017-05-05 10:06:40,121","20,20,20,20","50,50,50,50",106,12,12,12,True,LinearRegression,4,46.84,84,1480,676,1480,592,1480,632,370,84
"2017-05-05 10:12:33,865","20,20,20,20","50,50,50,50",106,12,12,12,True,LinearRegression,4,47.42,76,1480,646,1480,579,1480,598,370,76
"2017-05-05 07:55:21,568","20,20,20,20","50,50,50,50",106,12,12,12,True,LinearRegression,4,47.75,81,1480,680,1480,581,1480,625,370,81
"2017-05-05 08:01:15,748","20,20,20,20","50,50,50,50",106,12,12,12,True,LinearRegression,4,47.27,71,1480,688,1480,563,1480,616,370,71
"2017-05-05 08:07:08,538","20,20,20,20","50,50,50,50",106,12,12,12,True,LinearRegression,4,47.12,79,1480,666,1480,571,1480,614,370,79
"2017-05-05 08:13:02,412","20,20,20,20","50,50,50,50",106,12,12,12,True,LinearRegression,4,47.64,97,1480,685,1480,612,1480,641,370,97
"2017-05-05 08:18:55,997","20,20,20,20","50,50,50,50",106,12,12,12,True,LinearRegression,4,47.93,85,1480,655,1480,600,1480,626,370,85
"2017-05-05 08:24:49,668","20,20,20,20","50,50,50,50",106,12,12,12,True,LinearRegression,4,48.05,101,1480,635,1480,581,1480,602,370,101
"2017-05-05 08:30:44,082","20,20,20,20","50,50,50,50",106,12,12,12,True,LinearRegression,4,48.21,96,1480,669,1480,571,1480,628,370,96
"2017-05-05 08:36:37,862","20,20,20,20","50,50,50,50",106,12,12,12,True,LinearRegression,4,47.61,73,1480,635,1480,585,1480,624,370,73
"2017-05-05 08:42:31,494","20,20,20,20","50,50,50,50",106,12,12,12,True,LinearRegression,4,47.54,95,1480,650,1480,588,1480,634,370,95
