"2016-11-16 06:23:06,453",I,R,Rule,Input size,Input area,Automaton size,Concat before,Training sets,Testing sets,Distractor period,Successful,Wrong bits
"2016-11-16 08:26:35,537",8,8,150,4,40,40,True,32,32,200,0,96
"2016-11-16 08:28:08,435",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 08:29:46,327",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 08:31:11,482",8,8,150,4,40,40,True,32,32,200,31,1
"2016-11-16 08:32:43,737",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 08:34:15,075",8,8,150,4,40,40,True,32,32,200,0,139
"2016-11-16 08:35:50,262",8,8,150,4,40,40,True,32,32,200,0,121
"2016-11-16 08:37:30,569",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 08:39:04,465",8,8,150,4,40,40,True,32,32,200,0,128
"2016-11-16 08:40:38,271",8,8,150,4,40,40,True,32,32,200,0,157
"2016-11-16 08:42:11,972",8,8,150,4,40,40,True,32,32,200,0,131
"2016-11-16 08:43:45,041",8,8,150,4,40,40,True,32,32,200,1,31
"2016-11-16 08:45:20,772",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 08:46:51,814",8,8,150,4,40,40,True,32,32,200,32,0
"2016-11-16 08:48:37,011",8,8,150,4,40,40,True,32,32,200,0,153
"2016-11-16 08:50:12,778",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 08:51:49,388",8,8,150,4,40,40,True,32,32,200,0,145
"2016-11-16 08:53:45,235",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 08:55:13,383",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 08:56:37,994",8,8,150,4,40,40,True,32,32,200,0,128
"2016-11-16 08:58:09,450",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 08:59:45,972",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 09:01:09,436",8,8,150,4,40,40,True,32,32,200,32,0
"2016-11-16 09:02:39,763",8,8,150,4,40,40,True,32,32,200,0,150
"2016-11-16 09:04:09,904",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 09:05:38,246",8,8,150,4,40,40,True,32,32,200,0,159
"2016-11-16 09:07:06,434",8,8,150,4,40,40,True,32,32,200,0,139
"2016-11-16 09:08:44,321",8,8,150,4,40,40,True,32,32,200,2,65
"2016-11-16 09:10:06,864",8,8,150,4,40,40,True,32,32,200,31,1
"2016-11-16 09:11:38,163",8,8,150,4,40,40,True,32,32,200,24,8
"2016-11-16 09:13:10,559",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 09:14:42,791",8,8,150,4,40,40,True,32,32,200,0,78
"2016-11-16 09:16:12,038",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 09:17:50,518",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 09:19:20,623",8,8,150,4,40,40,True,32,32,200,0,156
"2016-11-16 09:21:14,902",8,8,150,4,40,40,True,32,32,200,0,160
