"2016-11-17 02:49:23,765",I,R,Rule,Input size,Input area,Automaton size,Concat before,Estimator,Training sets,Testing sets,Distractor period,R1 successful,R1 wrong bits,R2 successful,R2 wrong bits
"2016-11-17 02:49:31,980",4,4,182,4,40,40,True,LinearRegression,32,32,200,1,87,16,20
"2016-11-17 02:49:40,535",4,4,182,4,40,40,True,LinearRegression,32,32,200,1,93,19,16
"2016-11-17 02:49:48,605",4,4,182,4,40,40,True,LinearRegression,32,32,200,0,112,17,20
"2016-11-17 02:49:56,910",4,4,182,4,40,40,True,LinearRegression,32,32,200,1,106,15,22
"2016-11-17 02:50:05,111",4,4,182,4,40,40,True,LinearRegression,32,32,200,7,58,20,15
"2016-11-17 02:50:12,901",4,4,182,4,40,40,True,LinearRegression,32,32,200,1,94,17,24
"2016-11-17 02:50:21,055",4,4,182,4,40,40,True,LinearRegression,32,32,200,3,97,21,13
"2016-11-17 02:50:29,041",4,4,182,4,40,40,True,LinearRegression,32,32,200,0,148,12,44
"2016-11-17 02:50:37,434",4,4,182,4,40,40,True,LinearRegression,32,32,200,0,148,4,44
"2016-11-17 02:50:45,468",4,4,182,4,40,40,True,LinearRegression,32,32,200,1,121,14,29
"2016-11-17 02:50:53,978",4,4,182,4,40,40,True,LinearRegression,32,32,200,0,139,13,33
"2016-11-17 02:51:02,015",4,4,182,4,40,40,True,LinearRegression,32,32,200,0,124,15,29
"2016-11-17 02:51:10,066",4,4,182,4,40,40,True,LinearRegression,32,32,200,5,82,24,10
"2016-11-17 02:51:18,061",4,4,182,4,40,40,True,LinearRegression,32,32,200,10,32,26,7
"2016-11-17 02:51:26,141",4,4,182,4,40,40,True,LinearRegression,32,32,200,9,41,24,11
"2016-11-17 02:51:34,138",4,4,182,4,40,40,True,LinearRegression,32,32,200,0,149,3,106
"2016-11-17 02:51:42,155",4,4,182,4,40,40,True,LinearRegression,32,32,200,2,84,17,19
"2016-11-17 02:51:50,486",4,4,182,4,40,40,True,LinearRegression,32,32,200,0,124,12,38
"2016-11-17 02:51:59,362",4,4,182,4,40,40,True,LinearRegression,32,32,200,0,132,9,43
"2016-11-17 02:52:07,519",4,4,182,4,40,40,True,LinearRegression,32,32,200,15,33,28,5
"2016-11-17 02:52:15,582",4,4,182,4,40,40,True,LinearRegression,32,32,200,0,109,19,18
"2016-11-17 02:52:23,709",4,4,182,4,40,40,True,LinearRegression,32,32,200,0,115,17,26
"2016-11-17 02:52:31,833",4,4,182,4,40,40,True,LinearRegression,32,32,200,2,87,22,11
"2016-11-17 02:52:40,247",4,4,182,4,40,40,True,LinearRegression,32,32,200,0,87,20,16
"2016-11-17 02:52:48,584",4,4,182,4,40,40,True,LinearRegression,32,32,200,0,145,4,66
"2016-11-17 02:52:56,619",4,4,182,4,40,40,True,LinearRegression,32,32,200,0,143,7,52
"2016-11-17 02:53:04,756",4,4,182,4,40,40,True,LinearRegression,32,32,200,1,115,9,34
"2016-11-17 02:53:12,922",4,4,182,4,40,40,True,LinearRegression,32,32,200,0,124,11,25
"2016-11-17 02:53:20,954",4,4,182,4,40,40,True,LinearRegression,32,32,200,0,119,9,36
"2016-11-17 02:53:29,592",4,4,182,4,40,40,True,LinearRegression,32,32,200,2,93,12,35
"2016-11-17 02:53:37,523",4,4,182,4,40,40,True,LinearRegression,32,32,200,0,91,20,19
"2016-11-17 02:53:45,819",4,4,182,4,40,40,True,LinearRegression,32,32,200,2,79,23,11
"2016-11-17 02:53:53,761",4,4,182,4,40,40,True,LinearRegression,32,32,200,1,82,23,14
"2016-11-17 02:54:01,830",4,4,182,4,40,40,True,LinearRegression,32,32,200,0,132,17,24
"2016-11-17 02:54:09,955",4,4,182,4,40,40,True,LinearRegression,32,32,200,1,83,24,10
"2016-11-17 02:54:18,292",4,4,182,4,40,40,True,LinearRegression,32,32,200,1,135,10,40
"2016-11-17 02:54:26,460",4,4,182,4,40,40,True,LinearRegression,32,32,200,1,74,18,16
"2016-11-17 02:54:34,468",4,4,182,4,40,40,True,LinearRegression,32,32,200,6,54,25,8
"2016-11-17 02:54:42,520",4,4,182,4,40,40,True,LinearRegression,32,32,200,3,88,17,23
"2016-11-17 02:54:50,647",4,4,182,4,40,40,True,LinearRegression,32,32,200,3,86,22,13
"2016-11-17 02:54:58,874",4,4,182,4,40,40,True,LinearRegression,32,32,200,0,123,16,23
"2016-11-17 02:55:07,009",4,4,182,4,40,40,True,LinearRegression,32,32,200,0,114,20,14
"2016-11-17 02:55:15,133",4,4,182,4,40,40,True,LinearRegression,32,32,200,1,101,14,25
"2016-11-17 02:55:23,527",4,4,182,4,40,40,True,LinearRegression,32,32,200,0,102,21,12
"2016-11-17 02:55:31,634",4,4,182,4,40,40,True,LinearRegression,32,32,200,0,129,13,32
"2016-11-17 02:55:39,428",4,4,182,4,40,40,True,LinearRegression,32,32,200,6,46,21,13
"2016-11-17 02:55:47,580",4,4,182,4,40,40,True,LinearRegression,32,32,200,0,99,14,23
"2016-11-17 02:55:55,506",4,4,182,4,40,40,True,LinearRegression,32,32,200,3,95,20,16
"2016-11-17 02:56:03,643",4,4,182,4,40,40,True,LinearRegression,32,32,200,2,104,12,30
"2016-11-17 02:56:11,658",4,4,182,4,40,40,True,LinearRegression,32,32,200,1,99,21,12
"2016-11-17 02:56:19,699",4,4,182,4,40,40,True,LinearRegression,32,32,200,0,149,11,39
"2016-11-17 02:56:27,953",4,4,182,4,40,40,True,LinearRegression,32,32,200,1,96,18,20
"2016-11-17 02:56:36,228",4,4,182,4,40,40,True,LinearRegression,32,32,200,0,118,18,22
"2016-11-17 02:56:44,553",4,4,182,4,40,40,True,LinearRegression,32,32,200,0,101,17,21
"2016-11-17 02:56:53,060",4,4,182,4,40,40,True,LinearRegression,32,32,200,0,138,7,41
"2016-11-17 02:57:01,218",4,4,182,4,40,40,True,LinearRegression,32,32,200,3,72,18,17
"2016-11-17 02:57:09,105",4,4,182,4,40,40,True,LinearRegression,32,32,200,0,106,12,30
"2016-11-17 02:57:17,169",4,4,182,4,40,40,True,LinearRegression,32,32,200,0,123,14,39
"2016-11-17 02:57:25,127",4,4,182,4,40,40,True,LinearRegression,32,32,200,2,93,15,26
"2016-11-17 02:57:33,169",4,4,182,4,40,40,True,LinearRegression,32,32,200,0,149,9,58
"2016-11-17 02:57:41,298",4,4,182,4,40,40,True,LinearRegression,32,32,200,3,53,20,14
"2016-11-17 02:57:49,475",4,4,182,4,40,40,True,LinearRegression,32,32,200,4,69,19,16
"2016-11-17 02:57:57,637",4,4,182,4,40,40,True,LinearRegression,32,32,200,4,56,19,19
"2016-11-17 02:58:06,078",4,4,182,4,40,40,True,LinearRegression,32,32,200,1,91,17,23
"2016-11-17 02:58:14,201",4,4,182,4,40,40,True,LinearRegression,32,32,200,3,59,18,18
"2016-11-17 02:58:22,360",4,4,182,4,40,40,True,LinearRegression,32,32,200,0,126,13,34
"2016-11-17 02:58:30,553",4,4,182,4,40,40,True,LinearRegression,32,32,200,0,122,17,29
"2016-11-17 02:58:38,743",4,4,182,4,40,40,True,LinearRegression,32,32,200,2,89,18,29
"2016-11-17 02:58:46,902",4,4,182,4,40,40,True,LinearRegression,32,32,200,0,110,18,19
"2016-11-17 02:58:55,094",4,4,182,4,40,40,True,LinearRegression,32,32,200,0,137,10,52
"2016-11-17 02:59:03,535",4,4,182,4,40,40,True,LinearRegression,32,32,200,0,92,21,13
"2016-11-17 02:59:11,724",4,4,182,4,40,40,True,LinearRegression,32,32,200,0,133,7,38
"2016-11-17 02:59:19,738",4,4,182,4,40,40,True,LinearRegression,32,32,200,0,123,7,40
"2016-11-17 02:59:27,757",4,4,182,4,40,40,True,LinearRegression,32,32,200,0,132,7,48
"2016-11-17 02:59:35,835",4,4,182,4,40,40,True,LinearRegression,32,32,200,1,136,15,29
"2016-11-17 02:59:44,066",4,4,182,4,40,40,True,LinearRegression,32,32,200,4,83,24,11
"2016-11-17 02:59:52,085",4,4,182,4,40,40,True,LinearRegression,32,32,200,3,100,24,12
"2016-11-17 03:00:00,066",4,4,182,4,40,40,True,LinearRegression,32,32,200,0,129,10,33
"2016-11-17 03:00:07,902",4,4,182,4,40,40,True,LinearRegression,32,32,200,0,76,25,7
"2016-11-17 03:00:16,209",4,4,182,4,40,40,True,LinearRegression,32,32,200,0,105,13,31
"2016-11-17 03:00:24,331",4,4,182,4,40,40,True,LinearRegression,32,32,200,0,119,17,20
"2016-11-17 03:00:32,601",4,4,182,4,40,40,True,LinearRegression,32,32,200,9,35,30,2
"2016-11-17 03:00:40,784",4,4,182,4,40,40,True,LinearRegression,32,32,200,4,57,24,10
"2016-11-17 03:00:49,254",4,4,182,4,40,40,True,LinearRegression,32,32,200,0,149,6,56
"2016-11-17 03:00:57,665",4,4,182,4,40,40,True,LinearRegression,32,32,200,1,108,17,20
"2016-11-17 03:01:05,598",4,4,182,4,40,40,True,LinearRegression,32,32,200,0,99,18,19
"2016-11-17 03:01:13,544",4,4,182,4,40,40,True,LinearRegression,32,32,200,0,110,13,26
"2016-11-17 03:01:21,716",4,4,182,4,40,40,True,LinearRegression,32,32,200,2,83,18,20
"2016-11-17 03:01:30,063",4,4,182,4,40,40,True,LinearRegression,32,32,200,3,81,24,11
"2016-11-17 03:01:37,962",4,4,182,4,40,40,True,LinearRegression,32,32,200,0,146,13,39
"2016-11-17 03:01:46,096",4,4,182,4,40,40,True,LinearRegression,32,32,200,0,103,15,25
"2016-11-17 03:01:54,619",4,4,182,4,40,40,True,LinearRegression,32,32,200,0,131,16,24
"2016-11-17 03:02:02,872",4,4,182,4,40,40,True,LinearRegression,32,32,200,1,96,23,10
"2016-11-17 03:02:11,077",4,4,182,4,40,40,True,LinearRegression,32,32,200,0,100,13,26
"2016-11-17 03:02:19,154",4,4,182,4,40,40,True,LinearRegression,32,32,200,0,149,8,45
"2016-11-17 03:02:27,096",4,4,182,4,40,40,True,LinearRegression,32,32,200,0,108,17,21
"2016-11-17 03:02:34,920",4,4,182,4,40,40,True,LinearRegression,32,32,200,0,129,14,28
"2016-11-17 03:02:43,056",4,4,182,4,40,40,True,LinearRegression,32,32,200,0,133,12,49
"2016-11-17 03:02:51,591",4,4,182,4,40,40,True,LinearRegression,32,32,200,0,148,9,56
"2016-11-17 03:02:59,993",4,4,182,4,40,40,True,LinearRegression,32,32,200,0,131,12,39
"2016-11-17 03:03:08,476",4,4,182,4,40,40,True,LinearRegression,32,32,200,0,99,19,20
"2016-11-17 03:03:16,376",4,4,182,4,40,40,True,LinearRegression,32,32,200,4,61,27,7
"2016-11-17 03:03:24,508",4,4,182,4,40,40,True,LinearRegression,32,32,200,0,104,20,13
"2016-11-17 03:03:32,964",4,4,182,4,40,40,True,LinearRegression,32,32,200,0,143,11,30
"2016-11-17 03:03:40,871",4,4,182,4,40,40,True,LinearRegression,32,32,200,2,67,19,15
"2016-11-17 03:03:48,982",4,4,182,4,40,40,True,LinearRegression,32,32,200,0,120,10,34
"2016-11-17 03:03:57,431",4,4,182,4,40,40,True,LinearRegression,32,32,200,0,77,19,15
"2016-11-17 03:04:05,591",4,4,182,4,40,40,True,LinearRegression,32,32,200,0,108,18,23
"2016-11-17 03:04:14,418",4,4,182,4,40,40,True,LinearRegression,32,32,200,4,69,18,25
"2016-11-17 03:04:22,377",4,4,182,4,40,40,True,LinearRegression,32,32,200,1,126,10,37
"2016-11-17 03:04:30,681",4,4,182,4,40,40,True,LinearRegression,32,32,200,2,100,21,13
"2016-11-17 03:04:38,951",4,4,182,4,40,40,True,LinearRegression,32,32,200,0,136,10,41
"2016-11-17 03:04:47,354",4,4,182,4,40,40,True,LinearRegression,32,32,200,1,98,18,17
"2016-11-17 03:04:55,331",4,4,182,4,40,40,True,LinearRegression,32,32,200,5,76,21,14
"2016-11-17 03:05:03,703",4,4,182,4,40,40,True,LinearRegression,32,32,200,0,117,21,13
"2016-11-17 03:05:11,917",4,4,182,4,40,40,True,LinearRegression,32,32,200,0,140,14,32
"2016-11-17 03:05:20,234",4,4,182,4,40,40,True,LinearRegression,32,32,200,0,95,16,20
"2016-11-17 03:05:28,795",4,4,182,4,40,40,True,LinearRegression,32,32,200,0,119,11,32
"2016-11-17 03:05:36,687",4,4,182,4,40,40,True,LinearRegression,32,32,200,2,90,23,12
"2016-11-17 03:05:44,792",4,4,182,4,40,40,True,LinearRegression,32,32,200,0,99,13,27
