"2016-11-23 04:37:08,011",I,R,Rule,Input size,Input area,Automaton size,Concat before,Estimator,Training sets,Testing sets,Distractor period,Point (success),R1 correct,R1 wrong bits,R2 correct,R2 wrong bits
"2016-11-23 04:37:25,612",4,8,105,4,40,40,True,LinearRegression,32,32,200,0,15,19,19,16
"2016-11-23 04:37:44,143",4,8,105,4,40,40,True,LinearRegression,32,32,200,1,16,16,32,0
"2016-11-23 04:38:01,005",4,8,105,4,40,40,True,LinearRegression,32,32,200,0,17,18,18,17
"2016-11-23 04:38:19,140",4,8,105,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-23 04:38:38,079",4,8,105,4,40,40,True,LinearRegression,32,32,200,0,23,9,22,10
"2016-11-23 04:38:55,746",4,8,105,4,40,40,True,LinearRegression,32,32,200,0,31,1,31,1
"2016-11-23 04:39:11,762",4,8,105,4,40,40,True,LinearRegression,32,32,200,0,11,23,16,16
"2016-11-23 04:39:29,693",4,8,105,4,40,40,True,LinearRegression,32,32,200,0,15,21,13,19
"2016-11-23 04:39:47,329",4,8,105,4,40,40,True,LinearRegression,32,32,200,0,10,28,24,8
"2016-11-23 04:40:03,051",4,8,105,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-23 04:40:22,034",4,8,105,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-23 04:40:38,842",4,8,105,4,40,40,True,LinearRegression,32,32,200,1,16,16,32,0
"2016-11-23 04:40:54,952",4,8,105,4,40,40,True,LinearRegression,32,32,200,0,15,18,30,2
"2016-11-23 04:41:12,704",4,8,105,4,40,40,True,LinearRegression,32,32,200,0,30,2,30,2
"2016-11-23 04:41:32,690",4,8,105,4,40,40,True,LinearRegression,32,32,200,0,16,16,14,18
"2016-11-23 04:41:50,902",4,8,105,4,40,40,True,LinearRegression,32,32,200,1,31,1,32,0
"2016-11-23 04:42:08,630",4,8,105,4,40,40,True,LinearRegression,32,32,200,0,27,5,30,2
"2016-11-23 04:42:26,836",4,8,105,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-23 04:42:43,406",4,8,105,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-23 04:43:01,108",4,8,105,4,40,40,True,LinearRegression,32,32,200,0,21,11,29,3
"2016-11-23 04:43:16,451",4,8,105,4,40,40,True,LinearRegression,32,32,200,0,8,28,7,27
"2016-11-23 04:43:34,277",4,8,105,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-23 04:43:50,406",4,8,105,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-23 04:44:07,414",4,8,105,4,40,40,True,LinearRegression,32,32,200,0,28,4,28,4
"2016-11-23 04:44:24,346",4,8,105,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-23 04:44:40,291",4,8,105,4,40,40,True,LinearRegression,32,32,200,0,17,22,30,2
"2016-11-23 04:44:58,883",4,8,105,4,40,40,True,LinearRegression,32,32,200,0,26,6,30,2
"2016-11-23 04:45:17,029",4,8,105,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-23 04:45:34,956",4,8,105,4,40,40,True,LinearRegression,32,32,200,0,31,1,31,1
"2016-11-23 04:45:53,714",4,8,105,4,40,40,True,LinearRegression,32,32,200,0,8,34,27,7
"2016-11-23 04:46:11,316",4,8,105,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-23 04:46:29,473",4,8,105,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-23 04:46:47,137",4,8,105,4,40,40,True,LinearRegression,32,32,200,0,16,32,9,34
"2016-11-23 04:47:05,621",4,8,105,4,40,40,True,LinearRegression,32,32,200,0,28,4,30,2
"2016-11-23 04:47:25,658",4,8,105,4,40,40,True,LinearRegression,32,32,200,0,20,14,25,7
"2016-11-23 04:47:43,569",4,8,105,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-23 04:48:01,781",4,8,105,4,40,40,True,LinearRegression,32,32,200,0,11,21,29,3
"2016-11-23 04:48:19,770",4,8,105,4,40,40,True,LinearRegression,32,32,200,0,16,16,14,18
"2016-11-23 04:48:37,680",4,8,105,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-23 04:48:55,574",4,8,105,4,40,40,True,LinearRegression,32,32,200,0,28,5,27,5
"2016-11-23 04:49:11,829",4,8,105,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-23 04:49:28,214",4,8,105,4,40,40,True,LinearRegression,32,32,200,0,27,5,27,5
"2016-11-23 04:49:45,179",4,8,105,4,40,40,True,LinearRegression,32,32,200,0,30,2,29,3
"2016-11-23 04:50:01,021",4,8,105,4,40,40,True,LinearRegression,32,32,200,0,27,5,27,5
"2016-11-23 04:50:19,653",4,8,105,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-23 04:50:36,346",4,8,105,4,40,40,True,LinearRegression,32,32,200,0,23,9,25,7
"2016-11-23 04:50:53,831",4,8,105,4,40,40,True,LinearRegression,32,32,200,0,27,5,27,5
"2016-11-23 04:51:11,551",4,8,105,4,40,40,True,LinearRegression,32,32,200,0,11,26,14,24
"2016-11-23 04:51:27,685",4,8,105,4,40,40,True,LinearRegression,32,32,200,0,16,16,12,20
"2016-11-23 04:51:43,329",4,8,105,4,40,40,True,LinearRegression,32,32,200,1,24,8,32,0
"2016-11-23 04:52:00,531",4,8,105,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-23 04:52:16,670",4,8,105,4,40,40,True,LinearRegression,32,32,200,0,16,16,12,20
"2016-11-23 04:52:33,591",4,8,105,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-23 04:52:52,720",4,8,105,4,40,40,True,LinearRegression,32,32,200,0,18,17,24,8
"2016-11-23 04:53:10,942",4,8,105,4,40,40,True,LinearRegression,32,32,200,0,29,3,29,3
"2016-11-23 04:53:27,685",4,8,105,4,40,40,True,LinearRegression,32,32,200,0,10,22,29,3
"2016-11-23 04:53:45,213",4,8,105,4,40,40,True,LinearRegression,32,32,200,0,12,22,17,23
"2016-11-23 04:54:02,638",4,8,105,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-23 04:54:19,874",4,8,105,4,40,40,True,LinearRegression,32,32,200,0,31,1,31,1
"2016-11-23 04:54:36,239",4,8,105,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-23 04:54:54,377",4,8,105,4,40,40,True,LinearRegression,32,32,200,0,11,21,24,8
"2016-11-23 04:55:11,328",4,8,105,4,40,40,True,LinearRegression,32,32,200,0,26,6,30,2
"2016-11-23 04:55:29,207",4,8,105,4,40,40,True,LinearRegression,32,32,200,0,23,9,26,6
"2016-11-23 04:55:46,763",4,8,105,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
