"2016-11-16 01:18:13,385",I,R,Rule,Input size,Input area,Automaton size,Concat before,Training sets,Testing sets,Distractor period,Successful,Soft successful
"2016-11-16 02:56:19,107",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 02:57:50,458",8,8,90,4,40,40,True,32,32,200,26,7
"2016-11-16 02:59:04,739",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 03:00:15,458",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 03:01:30,200",8,8,90,4,40,40,True,32,32,200,15,20
"2016-11-16 03:02:40,298",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 03:03:46,483",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 03:05:06,112",8,8,90,4,40,40,True,32,32,200,0,64
"2016-11-16 03:06:26,772",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 03:07:33,852",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 03:08:49,701",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 03:09:57,396",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 03:11:24,962",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 03:12:47,647",8,8,90,4,40,40,True,32,32,200,1,59
"2016-11-16 03:14:06,228",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 03:15:23,796",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 03:16:39,529",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 03:17:47,108",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 03:18:46,072",8,8,90,4,40,40,True,32,32,200,31,1
"2016-11-16 03:19:56,444",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 03:20:56,792",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 03:22:15,195",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 03:23:15,160",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 03:24:22,508",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 03:25:36,922",8,8,90,4,40,40,True,32,32,200,30,2
"2016-11-16 03:26:54,795",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 03:28:06,513",8,8,90,4,40,40,True,32,32,200,24,8
"2016-11-16 03:29:28,164",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 03:30:51,497",8,8,90,4,40,40,True,32,32,200,27,7
"2016-11-16 03:32:03,809",8,8,90,4,40,40,True,32,32,200,24,8
"2016-11-16 03:33:21,217",8,8,90,4,40,40,True,32,32,200,11,30
"2016-11-16 03:34:35,423",8,8,90,4,40,40,True,32,32,200,13,27
"2016-11-16 03:35:47,253",8,8,90,4,40,40,True,32,32,200,30,2
"2016-11-16 03:37:10,462",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 03:38:28,019",8,8,90,4,40,40,True,32,32,200,29,3
"2016-11-16 03:39:48,043",8,8,90,4,40,40,True,32,32,200,23,12
"2016-11-16 03:40:54,969",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 03:42:01,862",8,8,90,4,40,40,True,32,32,200,32,0
