"2016-11-14 12:28:48,834",I,R,Rule,Input size,Input area,Automaton size,Training sets,Testing sets,Distractor period,Successful
"2016-11-14 12:29:08,045",8,8,90,4,20,20,32,32,200,0.000000
"2016-11-14 12:29:25,390",8,8,90,4,20,20,32,32,200,62.500000
"2016-11-14 12:29:47,750",8,8,90,4,20,20,32,32,200,50.000000
"2016-11-14 12:30:04,798",8,8,90,4,20,20,32,32,200,100.000000
"2016-11-14 12:30:23,920",8,8,90,4,20,20,32,32,200,31.250000
"2016-11-14 12:30:46,061",8,8,90,4,20,20,32,32,200,100.000000
"2016-11-14 12:31:03,817",8,8,90,4,20,20,32,32,200,87.500000
"2016-11-14 12:31:23,467",8,8,90,4,20,20,32,32,200,0.000000
"2016-11-14 12:31:43,129",8,8,90,4,20,20,32,32,200,100.000000
"2016-11-14 12:32:03,994",8,8,90,4,20,20,32,32,200,75.000000
