"2016-11-16 23:43:14,084",I,R,Rule,Input size,Input area,Automaton size,Concat before,Estimator,Training sets,Testing sets,Distractor period,R1 successful,R1 wrong bits,R2 successful,R2 wrong bits
"2016-11-16 23:51:22,694",4,4,102,4,40,40,True,LinearRegression,32,32,200,31,1,31,1
"2016-11-16 23:51:30,613",4,4,102,4,40,40,True,LinearRegression,32,32,200,2,44,17,18
"2016-11-16 23:51:38,687",4,4,102,4,40,40,True,LinearRegression,32,32,200,32,0,32,0
"2016-11-16 23:51:46,605",4,4,102,4,40,40,True,LinearRegression,32,32,200,16,16,32,0
"2016-11-16 23:51:54,480",4,4,102,4,40,40,True,LinearRegression,32,32,200,16,16,16,16
"2016-11-16 23:52:02,461",4,4,102,4,40,40,True,LinearRegression,32,32,200,8,32,16,16
"2016-11-16 23:52:10,177",4,4,102,4,40,40,True,LinearRegression,32,32,200,8,32,12,20
"2016-11-16 23:52:18,096",4,4,102,4,40,40,True,LinearRegression,32,32,200,32,0,32,0
"2016-11-16 23:52:26,309",4,4,102,4,40,40,True,LinearRegression,32,32,200,22,10,24,8
"2016-11-16 23:52:34,455",4,4,102,4,40,40,True,LinearRegression,32,32,200,32,0,32,0
"2016-11-16 23:52:42,530",4,4,102,4,40,40,True,LinearRegression,32,32,200,21,11,22,10
"2016-11-16 23:52:50,544",4,4,102,4,40,40,True,LinearRegression,32,32,200,20,12,28,4
"2016-11-16 23:52:58,459",4,4,102,4,40,40,True,LinearRegression,32,32,200,16,16,32,0
"2016-11-16 23:53:06,488",4,4,102,4,40,40,True,LinearRegression,32,32,200,10,22,16,18
"2016-11-16 23:53:14,560",4,4,102,4,40,40,True,LinearRegression,32,32,200,32,0,32,0
"2016-11-16 23:53:22,644",4,4,102,4,40,40,True,LinearRegression,32,32,200,32,0,32,0
"2016-11-16 23:53:30,609",4,4,102,4,40,40,True,LinearRegression,32,32,200,23,11,23,11
"2016-11-16 23:53:38,690",4,4,102,4,40,40,True,LinearRegression,32,32,200,18,14,18,14
"2016-11-16 23:53:46,974",4,4,102,4,40,40,True,LinearRegression,32,32,200,22,10,24,8
"2016-11-16 23:53:54,878",4,4,102,4,40,40,True,LinearRegression,32,32,200,11,25,26,6
"2016-11-16 23:54:02,887",4,4,102,4,40,40,True,LinearRegression,32,32,200,3,49,6,41
"2016-11-16 23:54:10,670",4,4,102,4,40,40,True,LinearRegression,32,32,200,32,0,32,0
"2016-11-16 23:54:18,782",4,4,102,4,40,40,True,LinearRegression,32,32,200,24,9,24,9
"2016-11-16 23:54:26,820",4,4,102,4,40,40,True,LinearRegression,32,32,200,17,17,18,15
"2016-11-16 23:54:34,798",4,4,102,4,40,40,True,LinearRegression,32,32,200,2,64,1,65
"2016-11-16 23:54:42,734",4,4,102,4,40,40,True,LinearRegression,32,32,200,32,0,32,0
"2016-11-16 23:54:50,761",4,4,102,4,40,40,True,LinearRegression,32,32,200,14,20,20,12
"2016-11-16 23:54:58,768",4,4,102,4,40,40,True,LinearRegression,32,32,200,15,21,17,18
"2016-11-16 23:55:07,075",4,4,102,4,40,40,True,LinearRegression,32,32,200,32,0,32,0
"2016-11-16 23:55:15,043",4,4,102,4,40,40,True,LinearRegression,32,32,200,13,34,18,16
"2016-11-16 23:55:23,128",4,4,102,4,40,40,True,LinearRegression,32,32,200,32,0,32,0
"2016-11-16 23:55:30,947",4,4,102,4,40,40,True,LinearRegression,32,32,200,26,6,26,6
"2016-11-16 23:55:38,769",4,4,102,4,40,40,True,LinearRegression,32,32,200,16,16,16,16
"2016-11-16 23:55:46,657",4,4,102,4,40,40,True,LinearRegression,32,32,200,16,16,15,17
"2016-11-16 23:55:54,808",4,4,102,4,40,40,True,LinearRegression,32,32,200,16,16,8,24
"2016-11-16 23:56:02,883",4,4,102,4,40,40,True,LinearRegression,32,32,200,5,51,6,27
"2016-11-16 23:56:10,907",4,4,102,4,40,40,True,LinearRegression,32,32,200,31,1,31,1
"2016-11-16 23:56:19,001",4,4,102,4,40,40,True,LinearRegression,32,32,200,10,22,16,16
"2016-11-16 23:56:26,988",4,4,102,4,40,40,True,LinearRegression,32,32,200,16,16,16,16
"2016-11-16 23:56:35,075",4,4,102,4,40,40,True,LinearRegression,32,32,200,8,32,16,16
"2016-11-16 23:56:43,085",4,4,102,4,40,40,True,LinearRegression,32,32,200,17,16,20,12
"2016-11-16 23:56:51,080",4,4,102,4,40,40,True,LinearRegression,32,32,200,16,18,16,16
"2016-11-16 23:56:58,998",4,4,102,4,40,40,True,LinearRegression,32,32,200,16,16,16,16
"2016-11-16 23:57:07,079",4,4,102,4,40,40,True,LinearRegression,32,32,200,23,9,23,9
"2016-11-16 23:57:14,935",4,4,102,4,40,40,True,LinearRegression,32,32,200,16,16,14,18
"2016-11-16 23:57:22,893",4,4,102,4,40,40,True,LinearRegression,32,32,200,1,33,6,31
"2016-11-16 23:57:31,009",4,4,102,4,40,40,True,LinearRegression,32,32,200,32,0,32,0
"2016-11-16 23:57:38,946",4,4,102,4,40,40,True,LinearRegression,32,32,200,8,32,8,32
"2016-11-16 23:57:47,290",4,4,102,4,40,40,True,LinearRegression,32,32,200,2,51,18,14
"2016-11-16 23:57:55,282",4,4,102,4,40,40,True,LinearRegression,32,32,200,14,22,11,22
"2016-11-16 23:58:03,283",4,4,102,4,40,40,True,LinearRegression,32,32,200,32,0,32,0
"2016-11-16 23:58:11,227",4,4,102,4,40,40,True,LinearRegression,32,32,200,8,31,11,29
"2016-11-16 23:58:19,243",4,4,102,4,40,40,True,LinearRegression,32,32,200,15,24,14,20
"2016-11-16 23:58:27,430",4,4,102,4,40,40,True,LinearRegression,32,32,200,24,8,24,8
"2016-11-16 23:58:35,367",4,4,102,4,40,40,True,LinearRegression,32,32,200,32,0,32,0
"2016-11-16 23:58:43,256",4,4,102,4,40,40,True,LinearRegression,32,32,200,16,16,16,16
